workload_id,run_id,thread_count,repeat,wall_seconds,cpu_seconds,cpu_core_equivalent,peak_rss_mib,candidate_order_sha256,selected_candidate_sha256
split_001__strict_current_baseline,split_001__strict_current_baseline__1t__r0,1,0,12.339686999999685,16.8125,1.3624737807369367,533.28515625,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__1t__r1,1,1,11.97177229999943,16.265625,1.3586647484099557,538.984375,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__2t__r0,2,0,7.587436899999375,18.609375,2.4526563113825084,546.49609375,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__2t__r1,2,1,6.913460499999928,17.125,2.4770518324361843,550.15625,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__4t__r0,4,0,4.579272900000433,19.734375,4.309499658777299,556.38671875,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__4t__r1,4,1,4.537917300000117,20.0625,4.421081010004189,565.23046875,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__8t__r0,8,0,3.7099023000009765,27.3125,7.362053712302022,572.39453125,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__strict_current_baseline,split_001__strict_current_baseline__8t__r1,8,1,3.7137793999991118,27.359375,7.366989810974379,578.30078125,5d5472498c0e2ea53a25faa92e87f899bcb1ef8fefe852380f3dbf9625c1c4a5,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__1t__r0,1,0,18.878908499998943,28.03125,1.484791877666104,861.6875,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
split_001__current_plus_existing_conditional_signal,split_001__current_plus_existing_conditional_signal__1t__r1,1,1,19.16214679999939,28.046875,1.463660376508591,916.2734375,f518c456d4a3ee5c9bcde1dd98a226f121b9e6b538a869aa9f2b507e9f55d047,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6
