stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,cache_key,repeat,input_date_count,cache_status
feature_loading,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,,,,,,,,2.6038305000001856,2.578125,163.7890625,168.8203125,168.8203125,float64,,,,,,,
projection_spool_cache_validation,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,,0.7968620999999985,0.75,166.578125,188.96875,188.96875,float64,,True,,f8a814fd83170c15ec08b1ba87657b67124726ea1a539ec26247031182d6966b,,,
projection_spool_cache_hit,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,239362.0,1.340000017080456e-05,0.0,188.96875,188.96875,188.96875,float64,,True,,f8a814fd83170c15ec08b1ba87657b67124726ea1a539ec26247031182d6966b,,,
projection_spool_cache_validation,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,,,,,,,,,0.45069210000110616,0.453125,189.796875,189.421875,189.796875,float64,,True,,025262f4a1797eac225351ee3b675d7cd3685b2c7645d2a5f4fee83072728e48,,,
projection_spool_cache_hit,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,,,,,,,,153643.0,1.3199998647905886e-05,0.0,189.421875,189.421875,189.421875,float64,,True,,025262f4a1797eac225351ee3b675d7cd3685b2c7645d2a5f4fee83072728e48,,,
preprocessing_fit,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,,1.1388709000002564,1.375,189.98046875,250.15625,250.15625,float64,,,,,,,
train_transform,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,train,,,,,,,,,0.2861888000006729,0.703125,250.15625,416.98828125,416.98828125,float64,,,,,,,
validation_transform,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,validation,,,,,,,,,0.20231310000053782,0.25,416.98828125,495.0625,495.0625,float64,,,,,,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.24185039999974833,2.296875,498.09375,512.8359375,512.8359375,float64,1.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,3.3666252000002714,3.609375,512.90234375,511.93359375,512.90234375,float64,1.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.24974359999941953,2.4375,501.0625,518.6796875,518.6796875,float64,1.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,4.609898900000189,4.609375,518.7421875,517.21484375,518.7421875,float64,1.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.2493395999990753,2.203125,505.16015625,523.2421875,523.2421875,float64,1.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,3.3963514999995823,3.40625,523.3046875,519.87109375,523.3046875,float64,1.0,,,,1.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.24915209999926446,2.515625,507.4375,525.5703125,525.5703125,float64,1.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,4.346601799999917,4.375,525.62890625,523.58984375,525.62890625,float64,1.0,,,,1.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.25088400000095135,2.3125,511.59375,526.41796875,526.41796875,float64,2.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,2.520629000000554,4.90625,526.4765625,525.5390625,526.4765625,float64,2.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.2665169000010792,2.609375,513.88671875,532.48828125,532.48828125,float64,2.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,2.321988200001215,4.671875,532.55078125,528.97265625,532.55078125,float64,2.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.23981520000052114,2.234375,517.578125,533.59765625,533.59765625,float64,2.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,1.8615903999998409,3.734375,533.65625,531.609375,533.65625,float64,2.0,,,,1.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.24923630000012054,2.3125,519.60546875,536.24609375,536.24609375,float64,2.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,2.3386766000003263,4.71875,536.3046875,538.03515625,538.03515625,float64,2.0,,,,1.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.2464034000004176,2.25,523.73828125,542.125,542.125,float64,4.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,1.1443480999987514,4.5625,542.19140625,538.3671875,542.19140625,float64,4.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.23884240000006685,2.265625,526.91796875,542.22265625,542.22265625,float64,4.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,1.4379690000005212,5.71875,542.2890625,544.38671875,544.38671875,float64,4.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.2716331000010541,2.4375,530.953125,548.421875,548.421875,float64,4.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,1.1214263000001665,4.671875,548.48046875,545.35546875,548.48046875,float64,4.0,,,,1.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.23708629999964614,2.359375,532.3984375,550.76171875,550.76171875,float64,4.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,1.426332099999854,5.671875,550.8203125,551.2578125,551.2578125,float64,4.0,,,,1.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.2389062999991438,2.171875,538.02734375,553.984375,553.984375,float64,8.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,0.8738828999994439,6.96875,554.04296875,562.56640625,562.56640625,float64,8.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.23978570000144828,2.40625,540.0,557.046875,557.046875,float64,8.0,,,,0.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,1.0841318999991927,8.53125,557.10546875,568.9453125,568.9453125,float64,8.0,,,,0.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,,,239362.0,,,0.23812260000158858,2.296875,546.984375,559.23046875,559.23046875,float64,8.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_01,,200.0,,239362.0,,,0.8879808000001503,7.078125,559.2890625,568.68359375,568.68359375,float64,8.0,,,,1.0,,
lightgbm_dataset_build,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,,,239362.0,,,0.23838119999891205,2.15625,545.921875,562.76953125,562.76953125,float64,8.0,,,,1.0,,
lightgbm_training,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,strict_current_baseline,,,structure_04,,200.0,,239362.0,,,1.0825743999994302,8.5625,562.828125,577.15625,577.15625,float64,8.0,,,,1.0,,
feature_loading,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,current_plus_existing_conditional_signal,,,,,,,,,,4.12990439999885,4.09375,409.0546875,410.50390625,410.50390625,float64,,,,,,,
projection_spool_cache_validation,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,current_plus_existing_conditional_signal,train,,,,,,,,,0.7093024999994668,0.703125,410.51171875,422.3828125,422.3828125,float64,,True,,452ebc9df08e547bc87f7bfeb9e9cd4faaeedfd719d8d41518f4eedf7ebe8d16,,,
projection_spool_cache_hit,diagnostic_thread_audit,lightgbm_thread_determinism_audit_v1,split_001,current_plus_existing_conditional_signal,train,,,,,,,,239362.0,1.3499999113264494e-05,0.0,422.3828125,422.3828125,422.3828125,float64,,True,,452ebc9df08e547bc87f7bfeb9e9cd4faaeedfd719d8d41518f4eedf7ebe8d16,,,
