selection_date,effective_date,lookback_start,lookback_end,active_count,listing_eligible_count,liquidity_eligible_count,selected_count,max_source_date
2024-01-31,2024-02-01,2023-01-30,2024-01-31,5101,5024,4935,200,2024-01-31
2024-02-29,2024-03-01,2023-02-20,2024-02-29,5106,5043,4956,200,2024-02-29
2024-03-29,2024-04-01,2023-03-21,2024-03-29,5111,5055,4986,200,2024-03-29
2024-04-30,2024-05-06,2023-04-19,2024-04-30,5111,5062,5012,200,2024-04-30
2024-05-31,2024-06-03,2023-05-22,2024-05-31,5108,5065,5032,200,2024-05-31
