instrument,start_date,end_date,selection_date,effective_date,selection_reason
SH600028,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600030,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600031,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600036,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600048,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600050,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600089,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600100,2024-02-01,2024-04-30,2024-01-31,2024-02-01,top_median_amount
SH600150,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600188,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600256,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600276,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600309,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600415,2024-02-01,2024-05-31,2024-01-31,2024-02-01,top_median_amount
SH600418,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600438,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600487,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SH600519,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600522,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600536,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600547,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SH600570,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600584,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600602,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600633,2024-02-01,2024-05-31,2024-01-31,2024-02-01,top_median_amount
SH600690,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600702,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600703,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SH600732,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600733,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SH600745,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600809,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600839,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600887,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600895,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600900,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600919,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600938,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600941,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH600958,2024-02-01,2024-03-29,2024-01-31,2024-02-01,top_median_amount
SH601012,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601059,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601088,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601099,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601127,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601136,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601138,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601166,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601186,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601225,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601288,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601318,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601328,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601360,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601390,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601398,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601456,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SH601600,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601601,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601658,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601668,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601669,2024-02-01,2024-04-30,2024-01-31,2024-02-01,top_median_amount
SH601688,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601689,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601698,2024-02-01,2024-04-30,2024-01-31,2024-02-01,top_median_amount
SH601728,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601788,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601857,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601858,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601881,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
