parent_role,stage_id,artifact_id,manifest_path,artifact_status,lineage_status,direct_parent
research_model_protocol_v1_1,research_model_protocol_v1_1,research_model_protocol_v1_1:ae43f92603de397c8249c8c50ea6db2b0001fabeaabb98f00a183f1d34c7401c,E:/qlib_prj/qlib_baseline/outputs/research_model_protocol_v1_1/current/artifact_manifest.json,pass,complete,True
ridge_solver_canary,research_linear_models_v1,research_linear_models_v1:1289518d45f773355a10e7b3ece2bf47d2d41b6a29a012be9624d44b4f73b00b,E:/qlib_prj/qlib_baseline/outputs/research_linear_models_v1/canary/artifact_manifest.json,pass,complete,True
