outer_split_id,method,factor,feature_order,coefficient,coefficient_nonzero
split_003,elastic_net,kunquant_alpha101_alpha024,38,-0.0022195750493521817,True
split_003,elastic_net,kunquant_alpha101_alpha026,39,0.0015941974260163458,True
split_003,elastic_net,kunquant_alpha101_alpha043,40,0.0009621901920252308,True
split_003,elastic_net,kunquant_alpha101_alpha050,41,-0.0006873498823984347,True
split_003,elastic_net,kunquant_alpha101_alpha055,42,-0.0006545423646345093,True
split_003,elastic_net,kunquant_alpha101_alpha062,43,-0.0003278077160048232,True
split_003,elastic_net,kunquant_alpha101_alpha071,44,-0.0011543953232226777,True
split_003,elastic_net,kunquant_alpha101_alpha072,45,-0.00040192265445683994,True
split_003,elastic_net,kunquant_alpha101_alpha094,46,0.007427782382675096,True
split_003,elastic_net,ta_trend_adx_pos,47,0.006507530297392038,True
split_003,elastic_net,ta_trend_dpo,48,0.0007256771207233701,True
split_003,elastic_net,ta_trend_mass_index,49,-0.001448643879785477,True
split_003,elastic_net,ta_volatility_bbhi,50,0.002789509909889679,True
split_003,elastic_net,ta_volume_em,51,-0.00026512814310579013,True
