outer_split_id,method,alpha,l1_ratio,fit_intercept,max_iter,tol,selection,random_state,candidate_sha256
split_002,elastic_net,0.001,0.1,True,5000,1e-05,cyclic,20260725,471d9723d2459a3350c16a163c2ffeed430b7e152926919da555610cd68947fe
split_002,elastic_net,0.001,0.5,True,5000,1e-05,cyclic,20260725,8cd56efb44e657b7c00babaf9140c54a692f8f2789b8055e5ced8c5caa67a703
split_002,elastic_net,0.001,0.9,True,5000,1e-05,cyclic,20260725,3cd9b889d12e0506b04e27bd4a03c3a80dc83432feaaae7d1026d843d109c34e
split_002,elastic_net,0.01,0.1,True,5000,1e-05,cyclic,20260725,6b1f946f4c6862d74d2279d201152451c733840d696754e1c4f7dcfd0e784c4b
split_002,elastic_net,0.01,0.5,True,5000,1e-05,cyclic,20260725,6203286bc0077b5eb48b61a527accaa85afb169620cc0d61ce25a9b96ef6cf2e
split_002,elastic_net,0.01,0.9,True,5000,1e-05,cyclic,20260725,0e7c270ac33bad6b82fbd8ab55a384d7b25efa422b408f9c027c28651448441e
split_002,elastic_net,0.1,0.1,True,5000,1e-05,cyclic,20260725,13c7dbf711c912910f931c6a6d1bb99bc46fb9a1754f9f5b6961358ed690f947
split_002,elastic_net,0.1,0.5,True,5000,1e-05,cyclic,20260725,37d9fb6f5f28818bc5d3591f13ed7b7dd86f94d4def5b71a3d18e23c5c83d3fc
split_002,elastic_net,0.1,0.9,True,5000,1e-05,cyclic,20260725,c891c198432fc59c7a779566dfc8940ab3c0cf8c790eb87039e132bd08315f7a
split_002,elastic_net,1.0,0.1,True,5000,1e-05,cyclic,20260725,ceb83873efcb8fa4dfe58f52a7b515870ce436336b3b67f08d52c5012bce8f02
split_002,elastic_net,1.0,0.5,True,5000,1e-05,cyclic,20260725,4d3e603114dc6226568895af1c406b7396422dc6eae9078b02e8dadc78aaba23
split_002,elastic_net,1.0,0.9,True,5000,1e-05,cyclic,20260725,4e49409db3e80ccbc3c4c7219e30205f921acfc89436a04d50b454465d792785
split_002,elastic_net,10.0,0.1,True,5000,1e-05,cyclic,20260725,cddc983e6b3ba27bae6bca62a110eb8639e58302144b9ab69529c60cfb765cbc
split_002,elastic_net,10.0,0.5,True,5000,1e-05,cyclic,20260725,e735ece9635045981b4fb97f0795b31cbb6cb2f4090d59ada2fe2a60cc27d37c
split_002,elastic_net,10.0,0.9,True,5000,1e-05,cyclic,20260725,bc8ee7e9834d449791f81667597aba78def971924c114a1b1cc1286086dd8d79
split_003,elastic_net,0.001,0.1,True,5000,1e-05,cyclic,20260725,471d9723d2459a3350c16a163c2ffeed430b7e152926919da555610cd68947fe
split_003,elastic_net,0.001,0.5,True,5000,1e-05,cyclic,20260725,8cd56efb44e657b7c00babaf9140c54a692f8f2789b8055e5ced8c5caa67a703
split_003,elastic_net,0.001,0.9,True,5000,1e-05,cyclic,20260725,3cd9b889d12e0506b04e27bd4a03c3a80dc83432feaaae7d1026d843d109c34e
split_003,elastic_net,0.01,0.1,True,5000,1e-05,cyclic,20260725,6b1f946f4c6862d74d2279d201152451c733840d696754e1c4f7dcfd0e784c4b
split_003,elastic_net,0.01,0.5,True,5000,1e-05,cyclic,20260725,6203286bc0077b5eb48b61a527accaa85afb169620cc0d61ce25a9b96ef6cf2e
split_003,elastic_net,0.01,0.9,True,5000,1e-05,cyclic,20260725,0e7c270ac33bad6b82fbd8ab55a384d7b25efa422b408f9c027c28651448441e
split_003,elastic_net,0.1,0.1,True,5000,1e-05,cyclic,20260725,13c7dbf711c912910f931c6a6d1bb99bc46fb9a1754f9f5b6961358ed690f947
split_003,elastic_net,0.1,0.5,True,5000,1e-05,cyclic,20260725,37d9fb6f5f28818bc5d3591f13ed7b7dd86f94d4def5b71a3d18e23c5c83d3fc
split_003,elastic_net,0.1,0.9,True,5000,1e-05,cyclic,20260725,c891c198432fc59c7a779566dfc8940ab3c0cf8c790eb87039e132bd08315f7a
split_003,elastic_net,1.0,0.1,True,5000,1e-05,cyclic,20260725,ceb83873efcb8fa4dfe58f52a7b515870ce436336b3b67f08d52c5012bce8f02
split_003,elastic_net,1.0,0.5,True,5000,1e-05,cyclic,20260725,4d3e603114dc6226568895af1c406b7396422dc6eae9078b02e8dadc78aaba23
split_003,elastic_net,1.0,0.9,True,5000,1e-05,cyclic,20260725,4e49409db3e80ccbc3c4c7219e30205f921acfc89436a04d50b454465d792785
split_003,elastic_net,10.0,0.1,True,5000,1e-05,cyclic,20260725,cddc983e6b3ba27bae6bca62a110eb8639e58302144b9ab69529c60cfb765cbc
split_003,elastic_net,10.0,0.5,True,5000,1e-05,cyclic,20260725,e735ece9635045981b4fb97f0795b31cbb6cb2f4090d59ada2fe2a60cc27d37c
split_003,elastic_net,10.0,0.9,True,5000,1e-05,cyclic,20260725,bc8ee7e9834d449791f81667597aba78def971924c114a1b1cc1286086dd8d79
