factor,source_catalog_present,promoted,reason
kunquant_alpha101_alpha004,True,True,required_systems_passed_allowed_partials_only
kunquant_alpha101_alpha009,True,True,required_systems_passed_allowed_partials_only
kunquant_alpha101_alpha012,True,True,required_systems_passed_allowed_partials_only
kunquant_alpha101_alpha033,True,True,required_systems_passed_allowed_partials_only
kunquant_alpha101_alpha101,True,True,required_systems_passed_allowed_partials_only
