period,arm,features,mean_ic,icir,valid_dates,prediction_dates,mature_dates,canonical_count,mature_canonical_count,finite_label_count,common_count,engineering_coverage,finite_label_coverage,common_coverage,mature_common_coverage,common_over_finite_label,worst_year_ic,negative_ic_years
overall,B,494,0.1390790336059197,1.0936800820314598,2168,2189,2168,4377824,4335824,4144939,4144939,1.0,0.9559749196461849,0.9468034804505617,0.9559749196461849,1.0,0.09309068198599588,0.0
overall,S,332,0.13368629243850572,1.0093955742375111,2168,2189,2168,4377824,4335824,4144939,4144939,1.0,0.9559749196461849,0.9468034804505617,0.9559749196461849,1.0,0.0861086341227798,0.0
overall,R,218,0.13997834833537312,1.0938807734925888,2168,2189,2168,4377824,4335824,4144939,4144939,1.0,0.9559749196461849,0.9468034804505617,0.9559749196461849,1.0,0.09259565355950772,0.0
overall,C,201,0.13620087840150003,0.977430246603383,2168,2189,2168,4377824,4335824,4144939,4144939,1.0,0.9559749196461849,0.9468034804505617,0.9559749196461849,1.0,0.06052342848702202,0.0
overall,H,358,0.14044767380798584,1.0085751136083065,2168,2189,2168,4377824,4335824,4144939,4144939,1.0,0.9559749196461849,0.9468034804505617,0.9559749196461849,1.0,0.07808230064962553,0.0
2015,B,494,0.1787246905108694,1.7884128430184476,244,244,244,487993,487993,404705,404705,1.0,0.8293254206515257,0.8293254206515257,0.8293254206515257,1.0,,
2015,S,332,0.18819260498818935,1.6876117219425868,244,244,244,487993,487993,404705,404705,1.0,0.8293254206515257,0.8293254206515257,0.8293254206515257,1.0,,
2015,R,218,0.1837249555426089,1.9251532816540353,244,244,244,487993,487993,404705,404705,1.0,0.8293254206515257,0.8293254206515257,0.8293254206515257,1.0,,
2015,C,201,0.23067624276589688,2.0363917396550626,244,244,244,487993,487993,404705,404705,1.0,0.8293254206515257,0.8293254206515257,0.8293254206515257,1.0,,
2015,H,358,0.23270484965799865,1.840572724377805,244,244,244,487993,487993,404705,404705,1.0,0.8293254206515257,0.8293254206515257,0.8293254206515257,1.0,,
2016,B,494,0.226505368664799,1.8814352755263823,244,244,244,488000,488000,444687,444687,1.0,0.9112438524590164,0.9112438524590164,0.9112438524590164,1.0,,
2016,S,332,0.2155812732497327,1.7523049465049638,244,244,244,488000,488000,444687,444687,1.0,0.9112438524590164,0.9112438524590164,0.9112438524590164,1.0,,
2016,R,218,0.23141372804531915,1.9402398037942845,244,244,244,488000,488000,444687,444687,1.0,0.9112438524590164,0.9112438524590164,0.9112438524590164,1.0,,
2016,C,201,0.20992267192699846,1.493839630687189,244,244,244,488000,488000,444687,444687,1.0,0.9112438524590164,0.9112438524590164,0.9112438524590164,1.0,,
