contrast,mean_delta,valid_dates,hac20_se,hac20_p,hac40_se,hac40_p,testable,reason,mbb20_lo,mbb20_hi,mbb40_lo,mbb40_hi,holm_p,reject,decision
S-B,-0.005392741167413977,2168,0.0028563138376219597,0.05902498026893653,0.0030421063736046426,0.0762784747702364,True,testable,-0.010663525005428297,0.0006370961738586763,-0.010983454020583247,0.0014268558340126522,0.35414988161361916,False,no_detected_difference
R-B,0.0008993147294533964,2168,0.0005271947989803338,0.08803619418117006,0.0006004615799296032,0.1342097308856456,True,testable,-4.5539009058182195e-05,0.0020509474253691843,-4.488509688671049e-05,0.0022164811829999687,0.4401809709058503,False,no_detected_difference
C-B,-0.002878155204419694,2168,0.006505345820527752,0.658178624248105,0.007192623221448972,0.6890432720719853,True,testable,-0.015260959971373545,0.009192196673741474,-0.01728125448503055,0.010561207489299397,1.0,False,no_detected_difference
H-B,0.0013686402020661364,2168,0.00490475100592328,0.7802112361800798,0.005288243464128642,0.7957833138807184,True,testable,-0.00826175661693505,0.010502800309093303,-0.008502982000839616,0.012208077830155884,1.0,False,no_detected_difference
C-R,-0.00377746993387309,2168,0.006432265930601568,0.557023104256993,0.007074545015270053,0.5933745019094357,True,testable,-0.016076960693851085,0.007934576483632348,-0.018187963056498044,0.009053978864087275,1.0,False,no_detected_difference
H-C,0.004246795406485832,2168,0.002839373045338605,0.13473688735521835,0.003048299540733546,0.1635687924722005,True,testable,-0.0009644620583632664,0.010032449171162878,-0.0012867954137289008,0.010622851866059503,0.5389475494208734,False,no_detected_difference
