split_id,train_start,train_end,validation_start,validation_end,test_start,test_end,train_dates,validation_dates,test_dates,purged_dates,embargoed_dates,label_horizon,execution_lag
split_001,2017-01-03,2019-11-05,2020-01-03,2020-04-29,2020-07-03,2020-12-31,691,77,124,42,40,20,1
split_002,2017-01-03,2020-04-30,2020-07-06,2020-11-04,2021-01-04,2021-07-02,810,82,120,42,40,20,1
split_003,2017-01-03,2020-11-05,2021-01-05,2021-04-30,2021-07-05,2022-01-04,934,78,124,42,40,20,1
split_004,2017-01-03,2021-04-30,2021-07-05,2021-11-05,2022-01-05,2022-07-04,1053,83,118,42,40,20,1
split_005,2017-01-03,2021-11-05,2022-01-05,2022-05-05,2022-07-05,2023-01-04,1177,77,125,42,40,20,1
split_006,2017-01-03,2022-05-05,2022-07-05,2022-11-07,2023-01-05,2023-07-04,1295,84,118,42,40,20,1
split_007,2017-01-03,2022-11-07,2023-01-05,2023-05-04,2023-07-05,2024-01-04,1420,77,125,42,40,20,1
split_008,2017-01-03,2023-05-04,2023-07-05,2023-11-07,2024-01-05,2024-07-04,1538,84,118,42,40,20,1
split_009,2017-01-03,2023-11-07,2024-01-05,2024-05-07,2024-07-05,2025-01-03,1663,77,123,42,40,20,1
split_010,2017-01-03,2024-05-08,2024-07-08,2024-11-06,2025-01-06,2025-07-04,1782,81,119,42,40,20,1
split_011,2017-01-03,2024-11-07,2025-01-07,2025-05-07,2025-07-07,2026-01-06,1905,77,124,42,40,20,1
split_012,2017-01-03,2025-05-07,2025-07-07,2025-11-06,2026-01-07,2026-06-09,2023,83,100,42,40,20,1
