datetime,instrument,side,requested_shares_qlib,executed_shares_qlib,unfilled_shares_qlib,fill_price_qlib,cash_fee_qlib,requested_shares_reference,executed_shares_reference,unfilled_shares_reference,fill_price_reference,cash_fee_reference,_merge
2026-05-26,SH600000,buy,47500.0,47500.0,0.0,10.009999999999998,142.64249999999996,47500,47500,0,10.009999999999998,142.64249999999996,both
2026-05-26,SZ000001,buy,43100.0,43100.0,0.0,11.011,142.37222999999997,43100,43100,0,11.011,142.37222999999997,both
2026-05-27,SH600000,sell,47500.0,47500.0,0.0,9.99,616.8825,47500,47500,0,9.99,616.8825,both
2026-05-27,SH600519,buy,39500.0,39500.0,0.0,12.012,142.34219999999996,39500,39500,0,12.011999999999999,142.34219999999996,both
2026-05-28,SZ000001,sell,43100.0,43100.0,0.0,10.989,615.7136700000001,43100,43100,0,10.989,615.7136700000001,both
2026-05-28,SZ000002,buy,36400.0,36400.0,0.0,13.012999999999998,142.10195999999996,36400,36400,0,13.012999999999998,142.10195999999996,both
2026-05-29,SH600519,sell,39500.0,39500.0,0.0,11.988,615.5838,39500,39500,0,11.988,615.5838,both
2026-05-29,SH601398,buy,33700.0,33700.0,0.0,14.014,141.68153999999998,33700,33700,0,14.014,141.68153999999998,both
2026-06-01,SH600000,buy,47100.0,47100.0,0.0,10.009999999999998,141.44129999999996,47100,47100,0,10.009999999999998,141.44129999999996,both
2026-06-01,SZ000002,sell,36400.0,36400.0,0.0,12.987,614.54484,36400,36400,0,12.987,614.54484,both
2026-06-02,SH601398,sell,33700.0,33700.0,0.0,13.986,612.72666,33700,33700,0,13.986,612.72666,both
2026-06-02,SZ000001,buy,42800.0,42800.0,0.0,11.011,141.38124,42800,42800,0,11.011,141.38124,both
2026-06-03,SH600000,sell,47100.0,47100.0,0.0,9.99,611.6877,47100,47100,0,9.99,611.6877,both
2026-06-03,SH600519,buy,39100.0,39100.0,0.0,12.012,140.90075999999996,39100,39100,0,12.011999999999999,140.90075999999996,both
2026-06-04,SZ000001,sell,42800.0,42800.0,0.0,10.989,611.42796,42800,42800,0,10.989,611.42796,both
2026-06-04,SZ000002,buy,36100.0,36100.0,0.0,13.012999999999998,140.93078999999997,36100,36100,0,13.012999999999998,140.93078999999997,both
2026-06-05,SH600519,sell,39100.0,39100.0,0.0,11.988,609.35004,39100,39100,0,11.988,609.35004,both
2026-06-05,SH601398,buy,33400.0,33400.0,0.0,14.014,140.42028,33400,33400,0,14.014,140.42028,both
