factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amplitude_20,risk,negative,0.8884835663171191,-0.04875558179089356,-0.3609495843168854,-0.08124723560311282,0.08124723560311282,-0.5256960230225204,1544658
std_20,risk,negative,0.8863415304742561,-0.049577176513353756,-0.3778915256893396,-0.07565254782254015,0.07565254782254015,-0.4988095599527034,1540934
ret_20,momentum,watch,0.8984442630654695,-0.04383891627296066,-0.33455013637536024,-0.05582677249108387,,-0.37547611116611096,1561975
amount_std_20,liquidity,watch,0.8884835663171191,-0.019555576043153534,-0.20557061907367064,-0.049599736031414814,,-0.33737568935442064,1544658
ret_10,momentum,watch,0.912361744068131,-0.040673839106189935,-0.3243885559544086,-0.04458529366419207,,-0.31502129311817295,1586171
corr_ret_volume_20,price_volume,watch,0.8863415304742561,-0.02033361811332952,-0.2654795581335142,-0.03242884014988737,,-0.3671293833156372,1540934
volume_ratio_5_20,liquidity,watch,0.8884835663171191,-0.035543805155189644,-0.4228659568830611,-0.027231814259687133,,-0.29275900755570333,1544658
amount_mean_20,liquidity,watch,0.8884835663171191,-0.0035578759698432112,-0.036967731512149174,-0.026337991492495903,,-0.16846416505726325,1544658
ret_5,momentum,watch,0.9204841093036485,-0.028746041116884984,-0.2578349669690265,-0.026216891667492696,,-0.20683208222805521,1600292
rev_5,reversal,positive,0.9204841093036485,0.028746041116884984,0.2578349669690265,0.026216891667492696,0.026216891667492696,0.20683208222805521,1600292
