source,target,edge_type
configs/alpha101_factor_batch_catalogs_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_combined82.yaml,yaml_path
configs/alpha101_factor_batch_catalogs_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_remaining77.yaml,yaml_path
configs/alpha101_factor_batch_catalogs_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_inventory.csv,yaml_path
configs/alpha101_factor_batch_catalogs_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_catalog_smoke_passed.yaml,yaml_path
configs/alpha101_factor_batch_catalogs_v1.yaml,outputs/factor_catalog_alpha101_v1/kunquant_alpha101_catalog_metadata.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_batch_promotion_audit.csv,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_batch_promotion_report.md,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_adapter_holdout6.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_batch_candidate71.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_batch_passed59.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_holdout18.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_promoted64.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_v4_holdout12.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_catalog_smoke_passed.yaml,yaml_path
configs/alpha101_factor_batch_promotion_v1.yaml,outputs/factor_evaluation_batch_v1/alpha101_candidate71_batch1/alpha101_candidate71_metric_index.csv,yaml_path
configs/alpha101_factor_evaluation_batch_base_v1.yaml,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_batch_candidate71.yaml,yaml_path
configs/alpha101_factor_evaluation_smoke_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_catalog_smoke.yaml,yaml_path
configs/alpha101_factor_smoke_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_catalog_smoke.yaml,yaml_path
configs/alpha101_factor_smoke_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_catalog_smoke_passed.yaml,yaml_path
configs/alpha101_factor_smoke_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_smoke_promotion_audit.csv,yaml_path
configs/alpha101_factor_smoke_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_smoke_promotion_report.md,yaml_path
configs/alpha101_factor_smoke_promotion_v1.yaml,outputs/alpha101_factor_adapter_v1/smoke/alpha101_selected_smoke_factors.csv,yaml_path
configs/alpha101_factor_smoke_promotion_v1.yaml,outputs/factor_evaluation_v4/alpha101_smoke_v1/evaluator_status.csv,yaml_path
configs/alpha101_factor_smoke_promotion_v1.yaml,outputs/factor_evaluation_v4/alpha101_smoke_v1/factor_failure_reasons.csv,yaml_path
configs/alpha101_source_audit_v1.yaml,outputs/factor_catalog_alpha101_v1/kunquant_alpha101_catalog_metadata.yaml,yaml_path
configs/alpha158_candidate_portfolio_smoke_recent_oos_v1.yaml,outputs/factor_candidate_pool_alpha158_v1/full158/alpha158_alpha_candidates.csv,yaml_path
configs/alpha158_candidate_portfolio_smoke_v1.yaml,outputs/factor_candidate_pool_alpha158_v1/full158/alpha158_alpha_candidates.csv,yaml_path
configs/alpha158_expression_adapter_candidates_recent_oos_v1.yaml,outputs/factor_catalog_alpha158_v1/alpha158_catalog_all.yaml,yaml_path
configs/alpha158_expression_adapter_candidates_recent_oos_v1.yaml,outputs/factor_catalog_alpha158_v1/alpha158_formula_inventory.csv,yaml_path
configs/alpha158_expression_adapter_full_v1.yaml,outputs/factor_catalog_alpha158_v1/alpha158_catalog_all.yaml,yaml_path
configs/alpha158_expression_adapter_full_v1.yaml,outputs/factor_catalog_alpha158_v1/alpha158_formula_inventory.csv,yaml_path
configs/alpha158_expression_adapter_v1.yaml,outputs/factor_catalog_alpha158_v1/alpha158_catalog_first_batch.yaml,yaml_path
