path,classification,reason
.gitattributes,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
.github/workflows/research-validation-ci.yml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
.gitignore,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
AGENTS.md,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
artifacts/prospective_forward_candidate_v1/sha256/c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7/forward_candidate_lightgbm.txt,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
artifacts/prospective_forward_candidate_v1/sha256/c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7/forward_candidate_preprocessing.json,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/a_share_execution_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/a_share_fee_schedule_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/a_share_market_field_timing_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/a_share_trading_rules_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/accuracy_correction_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/accuracy_correction_v1_1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/accuracy_lineage_closure_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_factor_adapter_batch82_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_factor_adapter_smoke_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_factor_batch_catalogs_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_factor_batch_promotion_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_factor_evaluation_batch_base_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_factor_evaluation_smoke_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_factor_smoke_promotion_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha101_source_audit_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_candidate_portfolio_smoke_recent_oos_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_candidate_portfolio_smoke_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_expression_adapter_candidates_recent_oos_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_expression_adapter_full_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_expression_adapter_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_portfolio_diagnostics_recent_oos_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_portfolio_diagnostics_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha158_stability_diagnostics_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_catalog_audit_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_expression_adapter_batch358_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_expression_adapter_smoke_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_expression_adapter_strict_oos_recent_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_factor_batch_catalogs_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_factor_batch_promotion_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_factor_evaluation_batch_base_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_factor_evaluation_strict_oos_recent_base_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_strict_oos_extension_audit_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/alpha360_strict_oos_stability_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/artifact_lineage_semantics_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/bootstrap_gap_sensitivity_canary_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/bootstrap_gap_sensitivity_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/canonical_historical_dataset_assembly_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/clustering_input_projection_669_canary_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/clustering_input_projection_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/clustering_input_projection_corrected_canary_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/clustering_input_projection_corrected_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/data_source_audit_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/development_robustness_split_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/economic_multi_factor_research_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/execution_accuracy_correction_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/execution_reconciliation_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/execution_unit_semantics_correction_v1_2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/exposure_data_capability_audit_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/extended_matrix_overlap_lineage_resolution_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/external_exposure_data_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/external_pit_style_data_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_candidate_pool_alpha158_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_clustering_corrected_canary_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_clustering_corrected_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_clustering_full_research_669_canary_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_clustering_full_research_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_clustering_full_research_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_clustering_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_context_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_dependency_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha101_candidate71.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha158_first20.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha158_metadata_smoke.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha158_remaining138.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha360_candidate358.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha360_candidate358_execution.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha360_candidate358_smoke.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_alpha360_strict_oos_recent.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_smoke.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_batch_v1_ta_remaining74.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_v4.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_v4_alpha158_batch_base.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_v4_alpha158_first20.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_v4_alpha158_remaining_batch_base.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_v4_alpha158_smoke5.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_v4_alpha360_smoke_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_evaluation_v4_context_smoke.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_judgement_alpha158_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_model_comparison_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_multiple_testing_corrected_canary_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_multiple_testing_corrected_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_multiple_testing_full_research_669_canary_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_multiple_testing_full_research_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_multiple_testing_full_research_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_multiple_testing_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_research_toolchain_readiness_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_rolling_stability_corrected_canary_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_rolling_stability_corrected_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_rolling_stability_full_research_669_canary_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_rolling_stability_full_research_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_rolling_stability_full_research_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_rolling_stability_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_score_construction_full_research_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_score_construction_full_research_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_score_construction_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_screening_alpha158_full_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_source_provenance_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_universe_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_universe_v2_matrix_readiness.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_universe_v2_pre_network.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/factor_validation_baseline_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/fast_research_mt_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/fast_research_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/final_portfolio_diagnostics_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/forward_prediction_entry_contract_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_669_readiness_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_accelerated_v3.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_daily_ic_669_canary_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_daily_ic_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_daily_ic_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_daily_ic_v2.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_daily_ic_v2_canary.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
configs/full_research_factor_catalog_669_v1.yaml,PINNED_REFERENCE,reachable or evidence-sensitive; retained in place
