datetime,instrument_count,can_buy_count,can_sell_count,can_buy_rate,can_sell_rate,avg_tradability_score,suspended_count,limit_up_count,limit_down_count,low_liquidity_count,core_missing_count
2021-01-04,1977,0,0,0.0,0.0,69.50682852807284,14,0,0,785,14
2021-01-05,1977,1138,1952,0.5756196256954982,0.9873545776428932,88.27516439049064,13,43,11,786,13
2021-01-06,1977,1158,1956,0.5857359635811836,0.9893778452200304,88.82144663631766,12,22,8,786,12
2021-01-07,1977,1159,1955,0.5862417804754679,0.988872028325746,88.93019726858877,11,20,10,787,11
2021-01-08,1977,1153,1954,0.5832068791097622,0.9883662114314619,88.7076378351037,11,30,12,787,11
2021-01-11,1977,1162,1935,0.5877592311583207,0.9787556904400607,88.44967121901871,15,19,27,785,15
2021-01-12,1977,1140,1957,0.5766312594840668,0.9898836621143147,88.4699038947901,15,42,4,785,15
2021-01-13,1977,1159,1954,0.5862417804754679,0.9883662114314619,88.83662114314617,15,19,8,785,15
2021-01-14,1977,1151,1936,0.5821952453211937,0.9792615073343449,88.17653009610521,18,30,23,784,18
2021-01-15,1977,1143,1947,0.5781487101669196,0.9848254931714719,88.27516439049064,20,33,10,783,20
2021-01-18,1977,1129,1951,0.5710672736469398,0.986848760748609,88.02731411229135,20,49,4,783,20
2021-01-19,1977,1143,1953,0.5781487101669196,0.9878603945371776,88.26251896813353,18,39,4,784,18
2021-01-20,1977,1146,1957,0.5796661608497724,0.9898836621143147,88.55336368234698,18,32,2,784,18
2021-01-21,1977,1144,1957,0.5786545270612038,0.9898836621143147,88.49013657056146,17,35,2,784,17
2021-01-22,1977,1157,1951,0.5852301466868993,0.986848760748609,88.7556904400607,16,18,9,785,16
2021-01-25,1977,1150,1948,0.5816894284269094,0.9853313100657562,88.51036924633283,15,26,12,785,15
2021-01-26,1977,1155,1942,0.5842185128983308,0.9822964087000505,88.48254931714719,15,23,20,785,15
2021-01-27,1977,1150,1957,0.5816894284269094,0.9898836621143147,88.60394537177542,15,30,5,785,15
2021-01-28,1977,1155,1947,0.5842185128983308,0.9848254931714719,88.55842185128984,13,24,14,786,13
2021-01-29,1977,1170,1938,0.5918057663125948,0.9802731411229135,88.70005058168942,12,13,25,786,12
2021-02-01,1977,1151,1923,0.5821952453211937,0.9726858877086495,87.87051087506323,12,33,41,786,12
2021-02-02,1977,1145,1949,0.5791603439554881,0.9858371269600404,88.35103692463328,12,37,15,786,12
2021-02-03,1977,1159,1950,0.5862417804754679,0.9863429438543247,88.72534142640365,12,22,14,786,12
2021-02-04,1977,1161,1948,0.5872534142640364,0.9853313100657562,88.73545776428932,12,19,17,786,12
2021-02-05,1977,1163,1929,0.5882650480526049,0.9757207890743551,88.39403136064745,13,18,35,786,13
2021-02-08,1977,1155,1956,0.5842185128983308,0.9893778452200304,88.76074860900354,14,26,7,785,14
2021-02-09,1977,1142,1961,0.5776428932726353,0.9919069296914517,88.62164896307537,13,37,2,786,13
2021-02-10,1977,1156,1960,0.5847243297926151,0.9914011127971675,88.9807789580172,11,22,4,787,11
2021-02-18,1977,1123,1961,0.5680323722812342,0.9919069296914517,88.09559939301973,15,61,1,785,15
2021-02-19,1977,1126,1960,0.569549822964087,0.9914011127971675,88.34344967121902,11,56,2,787,11
2021-02-22,1977,1139,1961,0.5761254425897825,0.9919069296914517,88.29792615073343,11,51,5,787,11
2021-02-23,1976,1153,1963,0.583502024291498,0.993421052631579,88.9498987854251,12,26,1,786,12
2021-02-24,1976,1166,1950,0.590080971659919,0.9868421052631579,88.95495951417004,11,15,14,786,11
2021-02-25,1975,1159,1960,0.5868354430379746,0.9924050632911392,89.02784810126582,12,20,3,785,12
2021-02-26,1975,1160,1958,0.5873417721518988,0.9913924050632912,89.04050632911392,13,17,3,785,13
2021-03-01,1975,1138,1959,0.5762025316455697,0.9918987341772152,88.65316455696203,12,41,2,785,12
2021-03-02,1975,1162,1958,0.5883544303797469,0.9913924050632912,89.02278481012658,12,17,4,785,12
2021-03-03,1975,1131,1960,0.5726582278481013,0.9924050632911392,88.54177215189874,13,46,1,785,13
2021-03-04,1975,1154,1955,0.5843037974683545,0.9898734177215189,88.83544303797468,11,25,7,786,11
2021-03-05,1975,1151,1959,0.5827848101265822,0.9918987341772152,88.84050632911392,12,29,4,785,12
2021-03-08,1975,1157,1940,0.5858227848101266,0.9822784810126582,88.4506329113924,11,26,22,786,11
2021-03-09,1975,1163,1938,0.5888607594936709,0.9812658227848101,88.67341772151899,11,18,26,786,11
2021-03-10,1975,1161,1954,0.5878481012658228,0.9893670886075949,88.99746835443038,11,18,10,786,11
2021-03-11,1974,1137,1962,0.5759878419452887,0.993920972644377,88.64488348530902,12,42,0,785,12
2021-03-12,1974,1152,1960,0.5835866261398176,0.9929078014184397,89.00709219858156,11,24,1,785,11
2021-03-15,1974,1152,1958,0.5835866261398176,0.9918946301925026,88.88297872340425,11,28,4,785,11
2021-03-16,1974,1147,1957,0.5810536980749746,0.9913880445795339,88.71327254305977,12,32,5,785,12
2021-03-17,1974,1153,1960,0.5840932117527862,0.9929078014184397,88.87284701114488,12,26,2,785,12
2021-03-18,1974,1155,1959,0.5851063829787234,0.9924012158054711,88.8500506585613,13,25,2,785,13
2021-03-19,1974,1165,1956,0.5901722391084093,0.9908814589665653,89.06534954407294,13,12,4,785,13
2021-03-22,1974,1145,1959,0.5800405268490375,0.9924012158054711,88.79685916919959,10,33,2,786,10
2021-03-23,1974,1161,1941,0.5881458966565349,0.9832826747720365,88.73353596757852,9,19,23,786,9
2021-03-24,1974,1151,1950,0.583080040526849,0.9878419452887538,88.66514690982775,11,29,13,785,11
2021-03-25,1974,1156,1949,0.585612968591692,0.9873353596757852,88.76393110435663,10,21,13,786,10
2021-03-26,1974,1147,1963,0.5810536980749746,0.9944275582573455,88.7791286727457,10,35,1,786,10
2021-03-29,1974,1154,1961,0.5845997973657548,0.9934143870314083,88.95136778115501,9,29,3,786,9
2021-03-30,1974,1161,1956,0.5881458966565349,0.9908814589665653,88.96403242147923,8,21,9,787,8
2021-03-31,1974,1158,1958,0.5866261398176292,0.9918946301925026,88.8272543059777,11,26,4,785,11
2021-04-01,1974,1150,1958,0.5825734549138805,0.9918946301925026,88.92857142857143,9,27,4,786,9
2021-04-02,1974,1149,1961,0.5820668693009119,0.9934143870314083,88.90070921985816,9,29,3,786,9
2021-04-06,1974,1144,1964,0.5795339412360689,0.9949341438703141,88.90830800405269,8,35,1,787,8
2021-04-07,1974,1146,1961,0.5805471124620061,0.9934143870314083,88.62208713272543,11,35,2,785,11
2021-04-08,1974,1164,1951,0.5896656534954408,0.9883485309017224,89.04255319148936,9,17,11,786,9
2021-04-09,1974,1154,1963,0.5845997973657548,0.9944275582573455,89.01215805471125,9,26,2,786,9
2021-04-12,1973,1147,1950,0.5813482007095793,0.988342625443487,88.64166244298023,9,35,13,786,9
