datetime,instrument,alpha158_ROC10,alpha158_ROC30,alpha158_ROC60,alpha158_MIN5,alpha158_MIN10,alpha158_MIN30,alpha158_MIN60,alpha158_QTLD10,alpha158_QTLD30,alpha158_QTLD60,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_VSUMN60
2024-02-19,SH600000,0.96483463,0.93816674,0.97333217,0.94946843,0.9438223,0.8932624,0.8932624,0.9592299,0.92495036,0.92415476,0.2,0.46666667,0.73333335,0.46326262
2024-02-20,SH600000,0.97180676,0.93237245,0.9661862,0.96052015,0.9464747,0.8957727,0.8957727,0.96192557,0.9275497,0.9267519,0.15,0.43333334,0.71666664,0.4904732
2024-02-21,SH600000,0.9433678,0.9116287,0.9544808,0.9419895,0.92821497,0.87849116,0.87849116,0.9445057,0.9096551,0.9088727,0.1,0.4,0.7,0.46809682
2024-02-22,SH600000,0.9472416,0.92090696,0.96527404,0.94585764,0.93202657,0.88209856,0.88209856,0.9542403,0.9133905,0.91260487,0.05,0.36666667,0.68333334,0.496931
2024-02-23,SH600000,0.9341291,0.90937227,0.9533157,0.9547197,0.92312664,0.87367535,0.87367535,0.95195407,0.9046685,0.9038904,0.05,0.33333334,0.6666667,0.48407304
2024-02-26,SH600000,0.9633759,0.94080323,0.9760675,0.9943662,0.9521367,0.8957727,0.8957727,0.9796755,0.9275497,0.9267519,0.1,0.3,0.65,0.4792116
2024-02-27,SH600000,0.96502304,0.92292446,0.97340673,0.9887955,0.9551517,0.89076614,0.89076614,0.97923017,0.92236555,0.9215722,0.05,0.26666668,0.6333333,0.4964217
2024-02-28,SH600000,0.985858,0.93092203,0.97180676,0.99435306,0.96052015,0.8957727,0.8957727,0.9960475,0.9275497,0.9267519,0.05,0.23333333,0.6166667,0.49042854
2024-02-29,SH600000,0.97065175,0.91888726,0.96083903,0.9874602,0.95386183,0.8895632,0.8895632,0.993068,0.92167807,0.92032766,0.05,0.2,0.6,0.48786825
2024-03-01,SH600000,0.97890633,0.918432,0.95926124,0.9930027,0.9775375,0.8945562,0.8945562,0.99864197,0.9268514,0.92549336,0.3,0.16666667,0.5833333,0.49922478
2024-03-04,SH600000,1.0071012,0.9194282,0.9688638,0.99717116,0.99717116,0.8996056,0.8996056,1.0042789,0.93550617,0.93071735,0.25,0.13333334,0.56666666,0.5029478
2024-03-05,SH600000,0.9916397,0.9092053,0.95667034,0.98324025,0.98324025,0.8882837,0.8882837,0.9916397,0.9346459,0.91900396,0.2,0.1,0.55,0.49037156
2024-03-06,SH600000,1.0168144,0.9255108,0.95642745,0.9887511,0.9887511,0.8932624,0.8932624,0.9971976,0.94914126,0.92415476,0.15,0.06666667,0.53333336,0.49473906
2024-03-07,SH600000,1.0098261,0.9145407,0.9397819,0.98598796,0.98598796,0.89076614,0.89076614,0.9944109,0.9515551,0.9215722,0.1,0.033333335,0.51666665,0.507552
2024-03-08,SH600000,1.0224191,0.9213524,0.92831326,0.9887511,0.9887511,0.9086578,0.8932624,0.9971976,0.95839816,0.92415476,0.05,0.033333335,0.5,0.51522386
2024-03-11,SH600000,0.99864197,0.9268514,0.9296578,0.99018323,0.99018323,0.9142282,0.8945562,0.9997284,0.9606192,0.92549336,0.05,0.06666667,0.48333332,0.5033282
2024-03-12,SH600000,1.0056205,0.9281118,0.93944347,0.9943179,0.99152976,0.91547143,0.8957727,1.0,0.9630859,0.9267519,0.15,0.033333335,0.46666667,0.50037336
2024-03-13,SH600000,1.0085025,0.94029987,0.9544707,0.9985796,0.9985796,0.9374748,0.903389,1.0076431,0.9749315,0.9346316,0.1,0.033333335,0.45,0.50586563
