trading_day_count,accounting_day_count,order_count,fill_count,partial_count,rejected_count,ending_nav,total_cash_fee,total_slippage_cost,split_id
119,119,11949,11947,6416,2,9875594.938020485,816337.3549100538,1018363.001268417,split_001
123,123,12181,12174,5978,7,9274471.352647679,852253.8598639974,1065977.392503225,split_002
123,123,11884,11884,6042,0,9942525.460824665,863841.9370174408,1080150.2716624746,split_003
