event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,split_id
event_000001,2024-08-02,SZ002938,buy,5300.0,5300.0,0.0,36.20000151820036,36.23620151971855,192051.86805450832,filled,,57.615560416352494,0.0,191.86000804640244,57.615560416352494,249.47556846275495,split_001
event_000002,2024-08-02,SH600036,buy,5900.0,5900.0,0.0,32.42000081394856,32.452420814762505,191469.28280709876,filled,,57.440784842129624,0.0,191.27800480226256,57.440784842129624,248.7187896443922,split_001
event_000003,2024-08-02,SH688687,buy,8300.0,1000.0,7300.0,23.14000158588061,23.163141587466487,23163.14158746649,partial,cash_volume_or_lot,6.948942476239946,0.0,23.140001585876036,6.948942476239946,30.08894406211598,split_001
event_000004,2024-08-02,SH601179,buy,27100.000000000004,23900.000000000004,3200.0,7.139999700907024,7.147139700607932,170816.63884452957,partial,cash_volume_or_lot,51.244991653358866,0.0,170.64599285168677,51.244991653358866,221.89098450504565,split_001
event_000005,2024-08-02,SZ002092,buy,55800.0,5200.0,50600.0,3.4700001324998517,3.473470132632351,18062.044689688224,partial,cash_volume_or_lot,5.418613406906466,0.0,18.04400068899703,5.418613406906466,23.462614095903497,split_001
event_000006,2024-08-02,SH601100,buy,4300.0,1400.0,2900.0,44.999994871476694,45.04499486634816,63062.99281288743,partial,cash_volume_or_lot,18.918897843866226,0.0,62.99999282005473,18.918897843866226,81.91889066392096,split_001
event_000007,2024-08-02,SH600027,buy,31200.0,31200.0,0.0,6.200000272574124,6.206200272846698,193633.44851281698,filled,,58.090034553845086,0.0,193.4400085043002,58.090034553845086,251.53004305814528,split_001
event_000008,2024-08-02,SH688301,buy,1800.0,300.0,1500.0,104.36000564424413,104.46436564988835,31339.309694966505,partial,cash_volume_or_lot,9.40179290848995,0.0,31.30800169326733,9.40179290848995,40.70979460175728,split_001
event_000009,2024-08-02,SZ300536,buy,26500.0,2800.0,23700.0,7.309999734276478,7.317309734010753,20488.46725523011,partial,cash_volume_or_lot,6.146540176569032,0.0,20.467999255970426,6.146540176569032,26.61453943253946,split_001
event_000010,2024-08-02,SH600660,buy,4500.0,4500.0,0.0,42.74999905903993,42.79274905809896,192567.37076144535,filled,,57.770211228433595,0.0,192.37499576565043,57.770211228433595,250.14520699408402,split_001
