table,rows,sha256
orders,36014,3993ce4b439f76aa304aa54c9f34a2b0201ca4c0a6415480301b133967fc1076
fills,36005,df155d0e7f4903c25560bd82574c683de590455b0d6fcc4c7128f1c50a34ef3f
partial_fills,18436,dc6af13af512cff13884e264f53ea64e0417ddf3223b3831f857cb4debd972bb
positions,25320,c1333cfdf2915fb414f203ef01df59a585efc3ab823c46c072bb15b3a6d4f14a
transaction_costs,36005,e0b5453a91dd0ab34240d1f5bab9a0e1a400c9eb23197fe19a77fb815d93be94
