event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,outer_split_id,method
event_000001,2024-08-02,SZ300025,buy,21300.0,2000.0,19300.0,9.089999952799113,9.09908995275191,18198.17990550382,partial,cash_volume_or_lot,5.459453971651146,0.0,18.179999905594713,5.459453971651146,23.63945387724586,split_001,equal_weight
event_000003,2024-08-02,SZ000027,buy,29100.000000000004,7400.0,21700.000000000004,6.640000026886437,6.646640026913323,49185.13619915858,partial,cash_volume_or_lot,14.755540859747573,0.0,49.13600019895661,14.755540859747573,63.89154105870418,split_001,equal_weight
event_000004,2024-08-02,SH601717,buy,16100.0,7699.999999999999,8400.0,12.020000755046404,12.032020755801447,92646.55981967114,partial,cash_volume_or_lot,27.79396794590134,0.0,92.55400581383667,27.79396794590134,120.34797375973801,split_001,equal_weight
event_000005,2024-08-02,SZ000895,buy,8500.0,4200.0,4300.0,22.730001298133665,22.752731299431794,95561.47145761354,partial,cash_volume_or_lot,28.66844143728406,0.0,95.46600545214119,28.66844143728406,124.13444688942525,split_001,equal_weight
event_000006,2024-08-02,SH601128,buy,27000.0,11000.0,16000.0,7.159999924432223,7.167159924356654,78838.7591679232,partial,cash_volume_or_lot,23.651627750376957,0.0,78.75999916874044,23.651627750376957,102.4116269191174,split_001,equal_weight
event_000008,2024-08-02,SH688278,buy,3999.9999999999995,900.0,3099.9999999999995,48.000001033499,48.04800103453249,43243.20093107925,partial,cash_volume_or_lot,12.972960279323773,0.0,43.200000930144,12.972960279323773,56.17296120946777,split_001,equal_weight
event_000010,2024-08-02,SH600373,buy,15200.0,3900.0,11300.0,12.679999751697423,12.692679751449118,49501.451030651566,partial,cash_volume_or_lot,14.850435309195468,0.0,49.45199903161086,14.850435309195468,64.30243434080633,split_001,equal_weight
event_000011,2024-08-02,SZ000786,buy,7700.0,5500.0,2200.0,24.950000994470674,24.974950995465143,137362.23047505828,partial,cash_volume_or_lot,41.20866914251748,0.0,137.2250054695794,41.20866914251748,178.43367461209687,split_001,equal_weight
event_000012,2024-08-02,SZ000792,buy,12899.999999999998,10100.0,2799.999999999998,14.999999896607218,15.014999896503822,151651.4989546886,partial,cash_volume_or_lot,45.49544968640658,0.0,151.49999895570207,45.49544968640658,196.99544864210864,split_001,equal_weight
event_000013,2024-08-02,SH603477,buy,8800.0,6300.0,2500.0,21.800000162818016,21.821800162980832,137477.34102677924,partial,cash_volume_or_lot,41.243202308033766,0.0,137.34000102574237,41.243202308033766,178.58320333377614,split_001,equal_weight
event_000014,2024-08-02,SZ301285,buy,8500.0,700.0,7800.0,22.59000050435795,22.612590504862304,15828.813353403611,partial,cash_volume_or_lot,5.0,0.0,15.813000353048423,5.0,20.813000353048423,split_001,equal_weight
