datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error,outer_split_id,method
2024-08-02,9976948.663678521,-0.002184242788287213,3981383.4326222283,0.3981383432622228,1208.9084386065763,0.00012089084386065762,3959541.00473936,6017407.658939161,0.0,True,3959541.004739359,9.313225746154785e-10,split_001,equal_weight
2024-08-05,9884473.34528976,-0.008908971401890372,9475281.362021785,0.5506591358338158,4799.876504528217,0.0003599264852383879,5516128.955722806,4368344.389566953,0.0,True,5516128.955722805,9.313225746154785e-10,split_001,equal_weight
2024-08-06,9940777.421917137,0.006039343341563495,13797797.494052557,0.43730363581693277,8191.528159888353,0.00034312922265872237,5787512.30162515,4153265.120291987,0.0,True,5787512.301625149,0.0,split_001,equal_weight
2024-08-07,9966324.572421726,0.0028888381767500576,17887388.128950756,0.41139545342616646,11361.674978308512,0.00031890330945653325,6090039.979037991,3876284.593383736,0.0,True,6090039.979037991,-9.313225746154785e-10,split_001,equal_weight
2024-08-08,9958011.01660774,-0.0004572479631399539,22436816.411869045,0.45648004435930384,15118.149181561952,0.00037691670344031856,5948456.583824556,4009554.4327831846,0.0,True,5948456.583824557,-9.313225746154785e-10,split_001,equal_weight
2024-08-09,9916923.114476237,-0.0038655295561943674,25893112.984471984,0.34708704045804,17713.06540745906,0.0002605857958551529,6333190.623734004,3583732.4907422336,0.0,True,6333190.623734002,1.862645149230957e-09,split_001,equal_weight
2024-08-12,9893000.182806827,-0.0020907706838332873,29489438.83829108,0.3626453298371704,20901.984955293763,0.00032156340338866543,5791320.89059548,4101679.292211347,0.0,True,5791320.890595478,2.7939677238464355e-09,split_001,equal_weight
2024-08-13,9921206.402598212,0.0031800411003936515,33475837.017710432,0.40295139045356193,24155.912351436968,0.00032891209299664695,5839956.43410834,4081249.968489872,0.0,True,5839956.434108337,1.862645149230957e-09,split_001,equal_weight
2024-08-14,9829186.537686318,-0.00899703850854622,37398565.72228985,0.39538827692891443,26914.30120791893,0.0002780295807332041,6665547.012540425,3163639.5251458925,0.0,True,6665547.012540425,9.313225746154785e-10,split_001,equal_weight
2024-08-15,9871498.530993752,0.004702128121512456,42115298.49517818,0.4798701046931796,30820.402330931396,0.0003973982086957036,6547588.310772831,3323910.220220922,0.0,True,6547588.310772829,1.862645149230957e-09,split_001,equal_weight
2024-08-16,9820814.898884762,-0.004814322778269487,46349961.0804605,0.42897869781236014,33979.4542065045,0.00032001745891513476,7005952.986057839,2814861.9128269223,0.0,True,7005952.9860578375,2.7939677238464355e-09,split_001,equal_weight
2024-08-19,9814421.34163295,-0.000283807474729592,50601781.30546617,0.4329396561061847,37585.790782078155,0.00036721357776361134,6696396.582677002,3118024.758955947,0.0,True,6696396.582677,1.862645149230957e-09,split_001,equal_weight
