trading_day_count,accounting_day_count,order_count,fill_count,partial_count,rejected_count,ending_nav,total_cash_fee,total_slippage_cost,outer_split_id,method
119,119,10164,10164,5720,0,11559113.542855252,564657.9983252543,702869.0177570486,split_001,equal_weight
119,119,10105,10105,5729,0,11610420.277133819,567468.4902580464,706531.6887515874,split_001,stability_weight
