event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,outer_split_id,method
event_000001,2024-08-02,SZ300025,buy,21300.0,2000.0,19300.0,9.089999952799113,9.09908995275191,18198.17990550382,partial,cash_volume_or_lot,5.459453971651146,0.0,18.179999905594713,5.459453971651146,23.63945387724586,split_001,equal_weight
event_000002,2024-08-02,SH600027,buy,31200.0,31200.0,0.0,6.200000272574124,6.206200272846698,193633.44851281698,filled,,58.090034553845086,0.0,193.4400085043002,58.090034553845086,251.53004305814528,split_001,equal_weight
event_000003,2024-08-02,SZ000027,buy,29100.000000000004,7400.0,21700.000000000004,6.640000026886437,6.646640026913323,49185.13619915858,partial,cash_volume_or_lot,14.755540859747573,0.0,49.13600019895661,14.755540859747573,63.89154105870418,split_001,equal_weight
event_000004,2024-08-02,SH601717,buy,16100.0,7699.999999999999,8400.0,12.020000755046404,12.032020755801447,92646.55981967114,partial,cash_volume_or_lot,27.79396794590134,0.0,92.55400581383667,27.79396794590134,120.34797375973801,split_001,equal_weight
event_000005,2024-08-02,SZ000895,buy,8500.0,4200.0,4300.0,22.730001298133665,22.752731299431794,95561.47145761354,partial,cash_volume_or_lot,28.66844143728406,0.0,95.46600545214119,28.66844143728406,124.13444688942525,split_001,equal_weight
event_000006,2024-08-02,SH601128,buy,27000.0,11000.0,16000.0,7.159999924432223,7.167159924356654,78838.7591679232,partial,cash_volume_or_lot,23.651627750376957,0.0,78.75999916874044,23.651627750376957,102.4116269191174,split_001,equal_weight
event_000007,2024-08-02,SH600011,buy,25200.0,25200.0,0.0,7.68000048479266,7.687680485277452,193729.54822899177,filled,,58.118864468697524,0.0,193.5360122167669,58.118864468697524,251.65487668546442,split_001,equal_weight
event_000008,2024-08-02,SH688278,buy,3999.9999999999995,900.0,3099.9999999999995,48.000001033499,48.04800103453249,43243.20093107925,partial,cash_volume_or_lot,12.972960279323773,0.0,43.200000930144,12.972960279323773,56.17296120946777,split_001,equal_weight
event_000009,2024-08-02,SZ300760,buy,700.0,700.0,0.0,255.00000196457094,255.25500196653547,178678.50137657483,filled,,53.603550412972446,0.0,178.5000013751727,53.603550412972446,232.10355178814515,split_001,equal_weight
event_000010,2024-08-02,SH600373,buy,15200.0,3900.0,11300.0,12.679999751697423,12.692679751449118,49501.451030651566,partial,cash_volume_or_lot,14.850435309195468,0.0,49.45199903161086,14.850435309195468,64.30243434080633,split_001,equal_weight
