table,rows,sha256
orders,20269,04a4cb0f48d144b13bb6f6b0d03db7291d961e5455561f79e51c8f547edf39a4
fills,20269,04a4cb0f48d144b13bb6f6b0d03db7291d961e5455561f79e51c8f547edf39a4
partial_fills,11449,16b4de5e13df0bb05350172eb3dde186b09c5d2c41b43a4eff1215be997c268c
positions,17417,773091ade866e25994f51f8449c471313ecf3703d5aa64193e127384a42a22a3
transaction_costs,20269,fec37a2420b14be97b83099a496bb48498947f2e5aea4406f5b707c3a0d0e068
