outer_split_id,cohort,mean_size_percentile,median_size_percentile,mean_total_mv,median_total_mv,mean_circ_mv,median_circ_mv,small_share,mid_share,large_share,valid_days
split_001,Universe,0.500250352755663,0.500250352755663,3823038.2998826713,1172078.7144833333,3001959.6878182264,1021023.5671770833,0.2997763125998961,0.3999466692888815,0.3002770181112223,120
split_001,Top10,0.4654405580664829,0.4486311208559614,8119816.203948167,2438250.6048225,4737471.35076925,1594684.9337595834,0.36000000000000004,0.3508333333333333,0.2891666666666666,120
split_001,Top20,0.4624282539018438,0.4392133342053125,6414953.651277835,1477579.5775187502,3902638.86845475,1314158.0222820833,0.35208333333333336,0.3770833333333333,0.2708333333333333,120
split_001,Top50,0.4559922820419379,0.4388464526897318,5354920.592617916,1272281.30657625,3521498.3821769,1106014.6716229166,0.36350000000000005,0.3785,0.258,120
split_001,Top100,0.45135164120920945,0.4309981464160256,4568097.917712106,1163526.849955,3229159.720922688,1026164.363445,0.36326515151515154,0.3896313131313131,0.24710353535353535,120
split_002,Universe,0.5002506311060554,0.5002506311060554,4147012.6269700946,1335917.178085887,3270911.27035576,1168286.1693012097,0.29974611154587344,0.40000651469614235,0.30024737375798416,124
split_002,Top10,0.6100182434167181,0.6383174576512309,8210800.401759113,2683202.278968951,6014088.646281048,2275286.682377016,0.20322580645161292,0.3532258064516129,0.4435483870967742,124
split_002,Top20,0.6247529422789961,0.6502359541261087,8057751.583967903,2450907.341179435,6011960.851764274,2089715.0046673387,0.17459677419354838,0.38185483870967746,0.44354838709677424,124
split_002,Top50,0.6233243747319461,0.6409387917016881,7838983.953270887,2193719.988787097,5610874.648552614,1933986.0538544357,0.16000000000000003,0.40564516129032263,0.43435483870967745,124
split_002,Top100,0.6113238825705087,0.6310864756950104,7356211.802997,2073696.5015116935,5177702.979476671,1872483.0570709677,0.16475806451612907,0.42008064516129034,0.41516129032258076,124
split_003,Universe,0.5002504760021087,0.5002504760021087,4838065.047897879,1574053.0059435486,3894706.4324238,1395735.1663524192,0.2997628198595271,0.39997340827672845,0.30026377186374437,124
split_003,Top10,0.6885262236495749,0.7416286228324501,16853156.890430402,5891953.835993548,8062469.429578306,4750994.860659273,0.12096774193548387,0.33870967741935487,0.5403225806451613,124
split_003,Top20,0.6721456327439563,0.72346088985252,13922052.875283144,4154541.2009572578,7132790.992477178,3660241.227105645,0.13427419354838716,0.34072580645161293,0.5249999999999999,124
split_003,Top50,0.6374195768254727,0.6810618467189175,11960889.445376644,2978061.2484092745,6622267.411466128,2683180.0824068547,0.16322580645161291,0.36741935483870963,0.4693548387096774,124
split_003,Top100,0.5955712414539766,0.6355915670255068,10380298.528929269,2430001.6193637103,6199968.322293588,2191623.7393520167,0.20903225806451617,0.37040322580645163,0.42056451612903223,124
