outer_split_id,signal,size_bucket,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days,coverage_rows
split_001,Model score,Small,0.09903540698178309,0.6836235224484389,0.7583333333333333,120,71682
split_001,Model score,Mid,0.03766723231916595,0.19399157198650974,0.5916666666666667,120,95713
split_001,Model score,Large,0.04265315999017396,0.21027260860397604,0.5,120,71805
split_001,Factor group: Momentum / Trend,Small,0.09940547515358235,0.8837420898273826,0.825,120,71682
split_001,Factor group: Momentum / Trend,Mid,0.052097297726827696,0.3692901729381958,0.65,120,95713
split_001,Factor group: Momentum / Trend,Large,0.06675762387331222,0.43269289855242504,0.7083333333333334,120,71805
split_001,Factor group: Other,Small,0.11110240910046697,0.7529210763430081,0.725,120,71682
split_001,Factor group: Other,Mid,0.047723968313481344,0.2808289496066406,0.5833333333333334,120,95713
split_001,Factor group: Other,Large,0.06232552288875719,0.3526110069827506,0.575,120,71805
split_001,Factor group: Reversal / Short-term Price-Volume,Small,0.08252605253534621,0.6901190360718932,0.7333333333333333,120,71682
split_001,Factor group: Reversal / Short-term Price-Volume,Mid,0.02639029311608597,0.1492637924548791,0.5833333333333334,120,95713
split_001,Factor group: Reversal / Short-term Price-Volume,Large,0.025004177218066803,0.12377083643087072,0.5,120,71805
split_001,Factor group: Size / Liquidity,Small,0.0814346383120726,0.8695456040131551,0.825,120,71682
split_001,Factor group: Size / Liquidity,Mid,0.060538504537813696,0.7229822066561011,0.8,120,95713
split_001,Factor group: Size / Liquidity,Large,0.046588811443649784,0.31298644711410295,0.625,120,71805
split_001,Factor group: Volatility / Risk,Small,0.09058133235435954,1.0076637285336916,0.8416666666666667,120,71682
split_001,Factor group: Volatility / Risk,Mid,0.06091625411670067,0.7391361495281268,0.7166666666666667,120,95713
split_001,Factor group: Volatility / Risk,Large,0.034125193819412376,0.21203123885342437,0.5916666666666667,120,71805
split_002,Model score,Small,0.1755781479682457,1.3598945823078674,0.9354838709677419,124,73834
split_002,Model score,Mid,0.15734219143025033,0.707463691240621,0.7096774193548387,124,98742
split_002,Model score,Large,0.09459144013267784,0.39741397069712464,0.6048387096774194,124,74104
split_002,Factor group: Momentum / Trend,Small,0.09214193082559118,0.9881527148539004,0.8387096774193549,124,73834
split_002,Factor group: Momentum / Trend,Mid,0.1079268320084372,0.7291808607174851,0.782258064516129,124,98742
split_002,Factor group: Momentum / Trend,Large,0.03699611418161307,0.2046209134421221,0.4838709677419355,124,74104
split_002,Factor group: Other,Small,0.09700689842493852,0.7285408030244355,0.7661290322580645,124,73834
split_002,Factor group: Other,Mid,0.10265393798494096,0.5559476244292834,0.7016129032258065,124,98741
split_002,Factor group: Other,Large,0.03719615672311605,0.17887993903344218,0.5241935483870968,124,74104
split_002,Factor group: Reversal / Short-term Price-Volume,Small,0.12468662395623607,1.25874909977705,0.8951612903225806,124,73834
split_002,Factor group: Reversal / Short-term Price-Volume,Mid,0.11494910124584917,0.7496657914874043,0.782258064516129,124,98742
split_002,Factor group: Reversal / Short-term Price-Volume,Large,0.04391383963237037,0.2136925678465056,0.5161290322580645,124,74104
split_002,Factor group: Size / Liquidity,Small,0.09132409343508897,1.0656364199756683,0.8790322580645161,124,73834
split_002,Factor group: Size / Liquidity,Mid,0.08425631067096317,0.5892345014987471,0.7661290322580645,124,98742
split_002,Factor group: Size / Liquidity,Large,0.0169454511813946,0.11938400078910134,0.47580645161290325,124,74104
split_002,Factor group: Volatility / Risk,Small,0.11323591695968048,0.9051267845936143,0.8225806451612904,124,73834
split_002,Factor group: Volatility / Risk,Mid,0.09499985518805937,0.6003501797072129,0.7580645161290323,124,98742
split_002,Factor group: Volatility / Risk,Large,0.03913541434592348,0.24484140904918952,0.5161290322580645,124,74104
split_003,Model score,Small,0.13594289323476513,1.4906222582200117,0.967741935483871,124,74022
split_003,Model score,Mid,0.07796192437817893,0.4915963346012334,0.7096774193548387,124,98871
split_003,Model score,Large,-0.03780058332991322,-0.1568088211274805,0.47580645161290325,124,74129
