outer_split_id,sw_l1_code,sw_l1_name,coverage_status,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days,rows
split_001,801010.SI,农林牧渔,pass,0.352807637772549,1.3111056354076842,0.8636363636363636,22,3268
split_001,801030.SI,基础化工,pass,0.13450906557176007,0.7035159832135366,0.7583333333333333,120,10101
split_001,801040.SI,钢铁,insufficient_coverage,,,,0,1938
split_001,801050.SI,有色金属,pass,0.1133517819419255,0.511188170621301,0.6583333333333333,120,9173
split_001,801080.SI,电子,pass,0.14101855445484932,1.141251202959542,0.8583333333333333,120,31438
split_001,801110.SI,家用电器,insufficient_coverage,,,,0,3157
split_001,801120.SI,食品饮料,pass,0.10507656830637245,0.4375202504320488,0.6583333333333333,120,4629
split_001,801130.SI,纺织服饰,insufficient_coverage,,,,0,1754
split_001,801140.SI,轻工制造,insufficient_coverage,,,,0,1972
split_001,801150.SI,医药生物,pass,0.10193363155492996,0.7471134815653966,0.7583333333333333,120,20259
split_001,801160.SI,公用事业,pass,0.24306663260417946,1.2046796533426007,0.8833333333333333,120,6197
split_001,801170.SI,交通运输,pass,0.12073647446557284,0.5016397805747068,0.6916666666666667,120,5933
split_001,801180.SI,房地产,pass,0.04880250675262424,0.17256988812994986,0.5802469135802469,81,3862
split_001,801200.SI,商贸零售,insufficient_coverage,,,,0,2669
split_001,801210.SI,社会服务,pass,0.0390944483769845,0.11003876509933404,0.5625,80,3680
split_001,801230.SI,综合,insufficient_coverage,,,,0,120
split_001,801710.SI,建筑材料,insufficient_coverage,,,,0,2221
split_001,801720.SI,建筑装饰,pass,0.12109667592238464,0.454526131788932,0.675,120,4370
split_001,801730.SI,电力设备,pass,0.0903282999545816,0.5513231136432455,0.6833333333333333,120,19315
split_001,801740.SI,国防军工,pass,0.17772946499214112,1.2415628334086062,0.9166666666666666,120,9496
split_001,801750.SI,计算机,pass,0.11814849023913052,0.6643722097444713,0.75,120,24429
split_001,801760.SI,传媒,pass,0.040499570104992534,0.16456448820669914,0.5916666666666667,120,11355
split_001,801770.SI,通信,pass,0.1238071976066004,0.6598632881148884,0.6916666666666667,120,9158
split_001,801780.SI,银行,pass,0.133790483587191,0.5177324923968397,0.6666666666666666,120,4561
split_001,801790.SI,非银金融,pass,0.12826920767656225,0.6237178835213115,0.6916666666666667,120,8476
split_001,801880.SI,汽车,pass,0.03987056648465071,0.21927904634896628,0.5166666666666667,120,12869
split_001,801890.SI,机械设备,pass,-0.009927944080790204,-0.051644100530118725,0.5,120,15423
split_001,801950.SI,煤炭,insufficient_coverage,,,,0,2822
split_001,801960.SI,石油石化,insufficient_coverage,,,,0,2382
split_001,801970.SI,环保,insufficient_coverage,,,,0,1854
split_001,801980.SI,美容护理,insufficient_coverage,,,,0,800
split_002,801010.SI,农林牧渔,insufficient_coverage,,,,0,3389
split_002,801030.SI,基础化工,pass,0.13601247428558783,1.0023280508758616,0.8467741935483871,124,11337
split_002,801040.SI,钢铁,insufficient_coverage,,,,0,1994
split_002,801050.SI,有色金属,pass,0.060769218312246645,0.29213754220121385,0.5806451612903226,124,10179
split_002,801080.SI,电子,pass,0.13663047448450819,0.7943155955870348,0.8225806451612904,124,33825
split_002,801110.SI,家用电器,pass,0.21650315375669935,0.8276634193036104,0.825,80,3695
split_002,801120.SI,食品饮料,pass,0.033634759782150074,0.13268004753119286,0.5161290322580645,124,5033
split_002,801130.SI,纺织服饰,insufficient_coverage,,,,0,2064
split_002,801140.SI,轻工制造,insufficient_coverage,,,,0,2244
split_002,801150.SI,医药生物,pass,0.0075560366811659235,0.04650404342512712,0.5483870967741935,124,17891
split_002,801160.SI,公用事业,pass,0.14784338076775663,0.5676479701675243,0.7096774193548387,124,5698
split_002,801170.SI,交通运输,pass,0.13824353002678813,0.8474695322169512,0.8387096774193549,124,5538
split_002,801180.SI,房地产,insufficient_coverage,0.12144329676095308,0.6157755184743476,0.6666666666666666,18,3559
split_002,801200.SI,商贸零售,pass,0.04596374126446875,0.21646698093688652,0.578125,64,3532
split_002,801210.SI,社会服务,pass,0.1596189498302958,0.6683178936995109,0.7435897435897436,39,3524
split_002,801230.SI,综合,insufficient_coverage,,,,0,377
split_002,801710.SI,建筑材料,insufficient_coverage,,,,0,1905
split_002,801720.SI,建筑装饰,pass,0.18527332715817696,0.7714420899101642,0.7627118644067796,59,3730
split_002,801730.SI,电力设备,pass,0.13121883937808823,0.7869412248346708,0.782258064516129,124,20262
split_002,801740.SI,国防军工,pass,0.07884732754251746,0.38506590363875787,0.6048387096774194,124,10147
split_002,801750.SI,计算机,pass,0.17303959218509454,1.1215276630129856,0.8387096774193549,124,25965
split_002,801760.SI,传媒,pass,0.1330351679395798,0.6093491918568616,0.717741935483871,124,10482
split_002,801770.SI,通信,pass,0.060712537183360824,0.23061532093200915,0.49193548387096775,124,9917
split_002,801780.SI,银行,pass,0.00630670061270927,0.03501740312881102,0.532258064516129,124,4544
split_002,801790.SI,非银金融,pass,0.09743879324742696,0.5730455545558187,0.717741935483871,124,8812
split_002,801880.SI,汽车,pass,0.08932607341918214,0.3887680923262527,0.6370967741935484,124,12548
split_002,801890.SI,机械设备,pass,0.1747442276063443,0.8039888223618968,0.7419354838709677,124,17865
split_002,801950.SI,煤炭,insufficient_coverage,,,,0,2364
split_002,801960.SI,石油石化,insufficient_coverage,,,,0,2159
split_002,801970.SI,环保,insufficient_coverage,,,,0,2417
split_002,801980.SI,美容护理,insufficient_coverage,,,,0,744
split_003,801010.SI,农林牧渔,insufficient_coverage,,,,0,3385
split_003,801030.SI,基础化工,pass,0.05917870367100283,0.364083574393359,0.6048387096774194,124,11693
split_003,801040.SI,钢铁,insufficient_coverage,,,,0,1853
split_003,801050.SI,有色金属,pass,-0.02835986032322101,-0.13680720164604226,0.4838709677419355,124,11307
split_003,801080.SI,电子,pass,0.022417214552700515,0.1306950087102197,0.5241935483870968,124,33708
split_003,801110.SI,家用电器,insufficient_coverage,,,,0,3205
split_003,801120.SI,食品饮料,pass,0.11962187649416026,0.6225858834819452,0.717741935483871,124,5284
split_003,801130.SI,纺织服饰,insufficient_coverage,,,,0,1622
split_003,801140.SI,轻工制造,insufficient_coverage,,,,0,2784
split_003,801150.SI,医药生物,pass,0.18371019783751724,1.024546063723904,0.8064516129032258,124,17291
split_003,801160.SI,公用事业,pass,0.08936176793510892,0.5137657515659213,0.7580645161290323,124,4596
split_003,801170.SI,交通运输,pass,0.12682933113837608,0.7544850157779327,0.7338709677419355,124,4986
split_003,801180.SI,房地产,insufficient_coverage,,,,0,2929
split_003,801200.SI,商贸零售,pass,0.2610772881190031,1.4356562992332313,0.8870967741935484,124,4076
split_003,801210.SI,社会服务,insufficient_coverage,,,,0,3236
split_003,801230.SI,综合,insufficient_coverage,,,,0,496
split_003,801710.SI,建筑材料,insufficient_coverage,,,,0,1645
split_003,801720.SI,建筑装饰,pass,0.07799626747152208,0.354493462560249,0.6612903225806451,124,3865
split_003,801730.SI,电力设备,pass,0.04363516676954419,0.26679974940630224,0.5645161290322581,124,21314
split_003,801740.SI,国防军工,pass,0.14808969260838872,0.7805288692425963,0.7338709677419355,124,11057
split_003,801750.SI,计算机,pass,0.1822598364271904,1.3259409195609932,0.9193548387096774,124,25101
split_003,801760.SI,传媒,pass,0.09814833035352807,0.4422356683004257,0.6129032258064516,124,8593
split_003,801770.SI,通信,pass,-0.004468980464217841,-0.01933721230358457,0.46774193548387094,124,10004
split_003,801780.SI,银行,pass,0.06223233495048446,0.3300249998828777,0.5806451612903226,124,4391
split_003,801790.SI,非银金融,pass,0.1679293919619681,0.8421664864581053,0.7983870967741935,124,8707
split_003,801880.SI,汽车,pass,0.07423008453962893,0.33032107510662473,0.5887096774193549,124,13440
split_003,801890.SI,机械设备,pass,0.06176921123774641,0.31002241348495696,0.5161290322580645,124,20423
split_003,801950.SI,煤炭,insufficient_coverage,,,,0,2086
split_003,801960.SI,石油石化,insufficient_coverage,,,,0,1777
split_003,801970.SI,环保,insufficient_coverage,,,,0,2183
split_003,801980.SI,美容护理,insufficient_coverage,,,,0,927
