outer_split_id,cohort,small_minus_large_mean_return,top_mean_size_percentile,top_small_share,valid_days
split_001,Top10,0.05014221742749214,0.4654405580664829,0.36000000000000004,120
split_001,Top20,0.05014221742749214,0.4624282539018438,0.35208333333333336,120
split_001,Top50,0.05014221742749214,0.4559922820419379,0.36350000000000005,120
split_001,Top100,0.05014221742749214,0.45135164120920945,0.36325,120
split_002,Top10,0.010547966696321964,0.6100182434167181,0.20322580645161292,124
split_002,Top20,0.010547966696321964,0.6247529422789961,0.17459677419354838,124
split_002,Top50,0.010547966696321964,0.6233243747319461,0.16000000000000003,124
split_002,Top100,0.010547966696321964,0.6113238825705087,0.16475806451612907,124
split_003,Top10,-0.009100674651563168,0.6885262236495749,0.12096774193548387,124
split_003,Top20,-0.009100674651563168,0.6721456327439563,0.13427419354838716,124
split_003,Top50,-0.009100674651563168,0.6374195768254727,0.16322580645161291,124
split_003,Top100,-0.009100674651563168,0.5955712414539766,0.20903225806451617,124
