outer_split_id,cohort,sw_l1_code,sw_l1_name,mean_share,mean_universe_share,mean_active_share,industry_hhi
split_001,Universe,801010.SI,农林牧渔,0.013617792605011218,0.013617792605011218,0.0,0.061773814503651686
split_001,Universe,801030.SI,基础化工,0.04209031484586137,0.04209031484586137,0.0,0.061773814503651686
split_001,Universe,801040.SI,钢铁,0.008075562969172277,0.008075562969172277,0.0,0.061773814503651686
split_001,Universe,801050.SI,有色金属,0.038223610647916545,0.038223610647916545,0.0,0.061773814503651686
split_001,Universe,801080.SI,电子,0.13100138726770794,0.13100138726770794,0.0,0.061773814503651686
split_001,Universe,801110.SI,家用电器,0.01315506741734231,0.01315506741734231,0.0,0.061773814503651686
split_001,Universe,801120.SI,食品饮料,0.019289038782404216,0.019289038782404216,0.0,0.061773814503651686
split_001,Universe,801130.SI,纺织服饰,0.007308858771227458,0.007308858771227458,0.0,0.061773814503651686
split_001,Universe,801140.SI,轻工制造,0.008217154573282637,0.008217154573282637,0.0,0.061773814503651686
split_001,Universe,801150.SI,医药生物,0.08441910550495467,0.08441910550495467,0.0,0.061773814503651686
split_001,Universe,801160.SI,公用事业,0.025822634834684617,0.025822634834684617,0.0,0.061773814503651686
split_001,Universe,801170.SI,交通运输,0.024722634834684613,0.024722634834684613,0.0,0.061773814503651686
split_001,Universe,801180.SI,房地产,0.016093205449070887,0.016093205449070887,0.0,0.061773814503651686
split_001,Universe,801200.SI,商贸零售,0.011121734084008971,0.011121734084008971,0.0,0.061773814503651686
split_001,Universe,801210.SI,社会服务,0.015334421740399735,0.015334421740399735,0.0,0.061773814503651686
split_001,Universe,801230.SI,综合,0.0005000375312781518,0.0005000375312781518,0.0,0.061773814503651686
split_001,Universe,801710.SI,建筑材料,0.009254842229673396,0.009254842229673396,0.0,0.061773814503651686
split_001,Universe,801720.SI,建筑装饰,0.018209834584459402,0.018209834584459402,0.0,0.061773814503651686
split_001,Universe,801730.SI,电力设备,0.08048528426500538,0.08048528426500538,0.0,0.061773814503651686
split_001,Universe,801740.SI,国防军工,0.039569519043806185,0.039569519043806185,0.0,0.061773814503651686
split_001,Universe,801750.SI,计算机,0.1017952814808305,0.1017952814808305,0.0,0.061773814503651686
split_001,Universe,801760.SI,传媒,0.04731614053398069,0.04731614053398069,0.0,0.061773814503651686
split_001,Universe,801770.SI,通信,0.03816114817919469,0.03816114817919469,0.0,0.061773814503651686
split_001,Universe,801780.SI,银行,0.01900563038651458,0.01900563038651458,0.0,0.061773814503651686
split_001,Universe,801790.SI,非银金融,0.035319293856137274,0.035319293856137274,0.0,0.061773814503651686
split_001,Universe,801880.SI,汽车,0.053625074367764466,0.053625074367764466,0.0,0.061773814503651686
split_001,Universe,801890.SI,机械设备,0.0642670037533782,0.0642670037533782,0.0,0.061773814503651686
split_001,Universe,801950.SI,煤炭,0.011759234084008972,0.011759234084008972,0.0,0.061773814503651686
split_001,Universe,801960.SI,石油石化,0.00992575062556303,0.00992575062556303,0.0,0.061773814503651686
