check_name,status,severity,observed_value,required_value
external_style_parent,pass,critical,pass,pass
external_style_lineage,pass,critical,complete,complete
core_parent,pass,critical,pass,pass
core_lineage,pass,critical,complete,complete
core_manifest_unchanged,pass,critical,8829e64095f4e60546cc3b5f110709fa5f3f27e5c54b8804de41e1fce4b627a7,8829e64095f4e60546cc3b5f110709fa5f3f27e5c54b8804de41e1fce4b627a7
protected_frozen_artifacts_unchanged,pass,critical,3826f114aeb2848b7555d55ad351f629aad5ba662f3cfaf6b67dcd29ed005993,3826f114aeb2848b7555d55ad351f629aad5ba662f3cfaf6b67dcd29ed005993
all_splits_present,pass,critical,3,3
controlled_attribution_complete,pass,critical,120,20
core_heavy_components_rerun,pass,critical,False,False
