datetime,instrument_count,can_buy_count,can_sell_count,can_buy_rate,can_sell_rate,avg_tradability_score,suspended_count,limit_up_count,limit_down_count,low_liquidity_count,core_missing_count
2024-01-02,1904,0,0,0.0,0.0,69.8529411764706,4,0,0,760,4
2024-01-03,1904,1129,1896,0.5929621848739496,0.9957983193277311,89.50367647058823,4,11,4,760,4
2024-01-04,1904,1130,1900,0.5934873949579832,0.9978991596638656,89.59558823529412,4,10,0,760,4
2024-01-05,1904,1133,1896,0.595063025210084,0.9957983193277311,89.62447478991596,3,6,4,761,3
2024-01-08,1904,1129,1900,0.5929621848739496,0.9978991596638656,89.6297268907563,3,11,1,761,3
2024-01-09,1902,1130,1899,0.594111461619348,0.998422712933754,89.72397476340694,1,10,2,761,1
2024-01-10,1902,1128,1894,0.5930599369085173,0.9957939011566772,89.6372239747634,0,12,7,761,0
2024-01-11,1902,1119,1901,0.5883280757097792,0.9994742376445847,89.53470031545741,0,23,1,761,0
2024-01-12,1902,1133,1899,0.5956887486855941,0.998422712933754,89.71871713985279,2,8,1,760,2
2024-01-15,1902,1130,1897,0.594111461619348,0.9973711882229233,89.69242902208202,1,9,3,761,1
2024-01-16,1902,1133,1900,0.5956887486855941,0.9989484752891693,89.75814931650893,1,8,1,761,1
2024-01-17,1902,1125,1899,0.5914826498422713,0.998422712933754,89.61093585699264,1,15,2,761,1
2024-01-18,1902,1133,1898,0.5956887486855941,0.9978969505783386,89.70031545741325,1,8,3,761,1
2024-01-19,1901,1126,1889,0.5923198316675434,0.9936875328774329,89.3819042609153,1,16,11,760,1
2024-01-22,1900,1133,1861,0.5963157894736842,0.9794736842105263,89.09736842105264,1,7,38,760,1
2024-01-23,1900,1123,1889,0.5910526315789474,0.9942105263157894,89.30263157894737,1,21,10,760,1
2024-01-24,1900,1105,1899,0.5815789473684211,0.9994736842105263,89.05,1,43,0,760,1
2024-01-25,1900,1088,1899,0.5726315789473684,0.9994736842105263,88.70263157894736,1,55,0,760,1
2024-01-26,1900,1113,1896,0.5857894736842105,0.9978947368421053,89.18947368421053,1,30,2,760,1
2024-01-29,1900,1131,1877,0.5952631578947368,0.9878947368421053,89.28421052631579,0,10,22,760,0
2024-01-30,1900,1133,1870,0.5963157894736842,0.9842105263157894,89.21315789473684,0,7,30,760,0
2024-01-31,1900,1131,1839,0.5952631578947368,0.9678947368421053,88.46315789473684,0,11,61,760,0
2024-02-01,1900,1132,1869,0.5957894736842105,0.9836842105263158,89.02368421052631,0,10,31,760,0
2024-02-02,1900,1127,1878,0.5931578947368421,0.988421052631579,89.20526315789473,1,13,21,760,1
2024-02-05,1900,1132,1286,0.5957894736842105,0.6768421052631579,78.26578947368421,1,8,613,760,1
2024-02-06,1900,1041,1843,0.5478947368421052,0.97,86.81315789473685,0,113,56,760,0
2024-02-07,1900,1088,1781,0.5726315789473684,0.9373684210526316,86.58947368421053,0,61,119,760,0
2024-02-08,1900,1066,1898,0.5610526315789474,0.9989473684210526,86.50526315789473,0,186,2,760,0
2024-02-19,1900,1089,1900,0.5731578947368421,1.0,88.25,0,87,0,760,0
2024-02-20,1900,1119,1900,0.5889473684210527,1.0,89.32631578947368,0,32,0,760,0
2024-02-21,1900,1115,1900,0.5868421052631579,1.0,88.97894736842105,0,52,0,760,0
2024-02-22,1900,1121,1900,0.59,1.0,89.44473684210526,0,25,0,760,0
2024-02-23,1900,1106,1900,0.5821052631578948,1.0,89.17105263157895,0,41,0,760,0
2024-02-26,1900,1118,1900,0.588421052631579,1.0,89.26578947368421,0,33,0,760,0
2024-02-27,1900,1112,1900,0.5852631578947368,1.0,89.3578947368421,0,32,0,760,0
2024-02-28,1900,1132,1783,0.5957894736842105,0.9384210526315789,87.62105263157895,0,11,117,760,0
2024-02-29,1900,1103,1900,0.5805263157894737,1.0,89.18684210526315,0,43,0,760,0
2024-03-01,1900,1116,1900,0.5873684210526315,1.0,89.26315789473684,0,32,0,760,0
2024-03-04,1900,1120,1899,0.5894736842105263,0.9994736842105263,89.47631578947369,0,24,1,760,0
2024-03-05,1900,1119,1898,0.5889473684210527,0.9989473684210526,89.51842105263158,0,23,2,760,0
2024-03-06,1899,1121,1898,0.5903106898367562,0.9994734070563455,89.49447077409162,0,25,1,760,0
2024-03-07,1899,1121,1896,0.5903106898367562,0.9984202211690363,89.47077409162718,0,22,3,760,0
2024-03-08,1899,1120,1898,0.5897840968931016,0.9994734070563455,89.60768825697735,0,20,1,760,0
2024-03-11,1899,1111,1899,0.5850447604002106,1.0,89.18641390205372,0,37,0,760,0
2024-03-12,1899,1120,1899,0.5897840968931016,1.0,89.45760926803581,0,28,0,760,0
2024-03-13,1899,1120,1899,0.5897840968931016,1.0,89.5260663507109,0,22,0,760,0
