stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,cache_key,input_date_count,cache_status
feature_loading,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,,,,45,,,,3.831231200005277,3.75,163.6015625,168.91796875,168.91796875,float64,1,,,,,
projection_spool_cache_validation,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,train,,,,,45,,,,1.2193563999899195,1.1875,166.9453125,192.62109375,192.62109375,float64,1,True,,f8a814fd83170c15ec08b1ba87657b67124726ea1a539ec26247031182d6966b,,
projection_spool_cache_hit,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,train,,,,,45,,,239362.0,1.720000000204891e-05,0.0,192.62109375,192.62109375,192.62109375,float64,1,True,,f8a814fd83170c15ec08b1ba87657b67124726ea1a539ec26247031182d6966b,,
projection_spool_cache_validation,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,validation,,,,,45,,,,0.6853916999971261,0.6875,191.40234375,195.9140625,195.9140625,float64,1,True,,025262f4a1797eac225351ee3b675d7cd3685b2c7645d2a5f4fee83072728e48,,
projection_spool_cache_hit,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,validation,,,,,45,,,153643.0,2.53999896813184e-05,0.0,195.9140625,195.9140625,195.9140625,float64,1,True,,025262f4a1797eac225351ee3b675d7cd3685b2c7645d2a5f4fee83072728e48,,
preprocessing_fit,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,train,,,,,45,,,,1.6046137000084857,1.828125,195.26171875,256.78125,256.78125,float64,1,,,,,
train_transform,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,train,,,,,45,239362.0,,239362.0,0.3918080000003101,0.625,256.78125,417.1015625,417.1015625,float64,1,,,,,
validation_transform,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,validation,,,,,45,,153643.0,153643.0,0.2328310999873792,0.625,417.1015625,492.55859375,492.55859375,float64,1,,,,,
lightgbm_dataset_build,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,,,,45,239362.0,,,0.3993810000101803,3.71875,492.55859375,508.984375,508.984375,float64,1,False,f2653aa21af23d4a15f95a542053da8091ffea585a44aa56f30c13e408ffe5b3,,,
lightgbm_training,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,structure_01,,200.0,45,239362.0,,,4.93770169999334,5.015625,508.984375,507.2421875,508.984375,float64,1,,f2653aa21af23d4a15f95a542053da8091ffea585a44aa56f30c13e408ffe5b3,,,
validation_prediction,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,structure_01,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,100.0,45,,153643.0,,0.1120219000003999,1.546875,507.2421875,509.4296875,509.4296875,float64,1,,,,,
validation_metrics,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,structure_01,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,100.0,45,,153643.0,,0.0967242999904556,1.390625,509.4296875,513.328125,513.328125,float64,1,,,,,
validation_prediction,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,structure_01,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,200.0,45,,153643.0,,0.1387423999985912,1.984375,513.328125,513.328125,513.328125,float64,1,,,,,
validation_metrics,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,structure_01,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,200.0,45,,153643.0,,0.1109480000013718,1.046875,513.328125,513.37109375,513.37109375,float64,1,,,,,
lightgbm_training,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,structure_04,,200.0,45,239362.0,,,6.111722800007556,6.234375,513.37109375,510.1796875,513.37109375,float64,1,,f2653aa21af23d4a15f95a542053da8091ffea585a44aa56f30c13e408ffe5b3,,,
validation_prediction,exploratory_fast,fast_research_v1,split_001,strict_current_baseline,,,structure_04,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,100.0,45,,153643.0,,0.1264959999971324,1.765625,510.1796875,511.13671875,511.13671875,float64,1,,,,,
