history_layer,research_grade_frontier,defined_factors,research_usable_factors,sources
daily_basic_plus_price_volume,2010 candidate,12,12,mature_public
fundamental_pit_plus_daily_basic,2018 pending PIT qualification,19,19,mature_public
moneyflow_plus_price_volume,2010 candidate,10,10,mature_public
price_volume_core,2008/2010 candidate,733,724,"alpha101,alpha158,alpha360,mature_public,project_basic,ta"
