api,parameters_json,retrieval_time_utc,status,row_count,columns,content_sha256,elapsed_seconds,error
dividend,"{""fields"": ""ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:39.357536+00:00,accessible_nonempty,78,"ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax",246ee43fcf98651bef584fe219715d1234b8203722e7d5e8800bbddeea6dd8ad,0.092,
daily,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20000101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:39.549132+00:00,accessible_nonempty,1187,"ts_code,trade_date,close,vol,amount",bed29fea119d34465a0a3ff58819a86d97b43fa5a9aa00d79cb7e538df6502c9,0.194,
adj_factor,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20000101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:39.659080+00:00,accessible_nonempty,1200,"ts_code,trade_date,adj_factor",2f2e97bbfc6ee35959a0303e29cb982944f40cbc90d20d3c85e282e08b7b8b5e,0.104,
daily_basic,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20000101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:39.797089+00:00,accessible_nonempty,1187,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",37df54e64ef5a4021544cf7827a1893685ae0f56e6209202ae9d882bab1a5948,0.142,
daily,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20050101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:39.937398+00:00,accessible_nonempty,1137,"ts_code,trade_date,close,vol,amount",60827ef66485ddb5af95d433f507f22b33faaa2b4608dd676b0f56a93b85678c,0.137,
adj_factor,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20050101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.022891+00:00,accessible_nonempty,1215,"ts_code,trade_date,adj_factor",ebb93bd923506bff1e3633aaff19b300b0bd2cae70866cfc35c8601b8d0bf17f,0.079,
daily_basic,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20050101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.147049+00:00,accessible_nonempty,1137,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",0d6d43947b175586cc449c113b8e2597b9252b414ec09a5bb4d16807a016c395,0.124,
daily,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20100101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.289207+00:00,accessible_nonempty,1142,"ts_code,trade_date,close,vol,amount",fbdc9f843608122f99697310149f10a70671c0303ac6d0d0f114fb44c237520e,0.142,
adj_factor,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20100101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.386709+00:00,accessible_nonempty,1212,"ts_code,trade_date,adj_factor",588ea3d66b09af830a94b8eaebd211e8f881503047e97d14093c967eb7d0dcd9,0.092,
daily_basic,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20100101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.508669+00:00,accessible_nonempty,1142,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",7d98f00bc3bf61b272d5995a9dd9f4be2b4db7b6f01e009bf5c6123c998353ba,0.124,
moneyflow,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20100101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.617692+00:00,accessible_nonempty,1140,"ts_code,trade_date,net_mf_amount",f879ff25c001e27433f7ebbc969ce87697509133e4a1d4fd82c1109d8f24d53d,0.107,
daily,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20150101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.745415+00:00,accessible_nonempty,1219,"ts_code,trade_date,close,vol,amount",31eb228839039a594b89f399f7c6ab70587be034162eaebe5a99b044712ae837,0.13,
adj_factor,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20150101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.835050+00:00,accessible_nonempty,1219,"ts_code,trade_date,adj_factor",6f865aa66a98971b2f686f9ba14c0278d5f3fe50b1317bc176479e525ae87815,0.081,
daily_basic,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20150101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:40.997360+00:00,accessible_nonempty,1219,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",99e704e13269a8036cf5a020342cde23166b15e296522dc50fd61832ebb462c3,0.166,
moneyflow,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20150101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:41.124325+00:00,accessible_nonempty,1219,"ts_code,trade_date,net_mf_amount",6150e105ed374029d7d58d3b8d3daf10df3dea098e772552f0196e4a63d2f647,0.125,
daily,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20200101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:41.261682+00:00,accessible_nonempty,1557,"ts_code,trade_date,close,vol,amount",d5a17d3da48106938d5c0b1f0aa72c7a0772e684b590311fc5bb3b4fa3d16a8c,0.141,
adj_factor,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20200101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:41.363987+00:00,accessible_nonempty,1557,"ts_code,trade_date,adj_factor",ebec3b153504dfaf13b7c4a756caa413f97e06e8440a43cf9dac11acd592029b,0.093,
daily_basic,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20200101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:41.504111+00:00,accessible_nonempty,1557,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",f4238c2d72c8ba7bbb25a13a42971586a624f6a93cfb62368f06ef5992e53f57,0.141,
moneyflow,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20200101"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:41.586171+00:00,accessible_nonempty,1557,"ts_code,trade_date,net_mf_amount",b61071d884a179ffba137f853e325d97c35cc42a3e8b0502d91a2c6a20dee115,0.08,
dividend,"{""fields"": ""ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:41.669073+00:00,accessible_nonempty,97,"ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax",753c523afd8eeb7b370cbd978edb82e7c8f379269fa98074d8a83964b8b370d6,0.08,
dividend,"{""fields"": ""ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax"", ""ts_code"": ""000001.SZ""}",2026-08-30T06:18:41.764914+00:00,accessible_nonempty,97,"ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax",753c523afd8eeb7b370cbd978edb82e7c8f379269fa98074d8a83964b8b370d6,0.096,
daily,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20000101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:41.865671+00:00,accessible_nonempty,801,"ts_code,trade_date,close,vol,amount",579a8244d972ca61c36dfd71c984abd79afb90bce66f8b088eca2a487eb524f0,0.102,
adj_factor,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20000101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:41.956220+00:00,accessible_nonempty,807,"ts_code,trade_date,adj_factor",a9266384e536f48b2a2c227d1b9affc67dd1abb02fec3b24adb74992afe85203,0.083,
daily_basic,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20000101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.049717+00:00,accessible_nonempty,801,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",b18d8f52f74deea286744ca3cd30456b2bd69d48e53f7930b842a587118bc87a,0.098,
daily,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20050101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.174720+00:00,accessible_nonempty,1153,"ts_code,trade_date,close,vol,amount",55e5893bebb4a9a7cd2bbb13e74613e309691c88228640e1079246adacf139a5,0.122,
adj_factor,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20050101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.266784+00:00,accessible_nonempty,1215,"ts_code,trade_date,adj_factor",657e776402cadb0178a2ab57b6d5d828eac89b956b16fe73797f526ce0ac6c68,0.086,
daily_basic,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20050101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.399086+00:00,accessible_nonempty,1153,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",36c830112373429a1cb0f9e6c1372ef24ffa15e01b1c873cc641a44d60f45846,0.133,
daily,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20100101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.509531+00:00,accessible_nonempty,1206,"ts_code,trade_date,close,vol,amount",f4ce48ef5b66af8420f9996f2a1506a954ff4630ebbf361b1bca385398dfa6ea,0.11,
adj_factor,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20100101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.606010+00:00,accessible_nonempty,1212,"ts_code,trade_date,adj_factor",0b000eb602c594b16971566e0191199e99fa1077e7a186664f051ba0cb3a0444,0.089,
daily_basic,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20100101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.737077+00:00,accessible_nonempty,1206,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",d9553628fa784ecad81e21383f777b705a26a77d1bd4a1e91620ab16edd78417,0.134,
moneyflow,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20100101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.854493+00:00,accessible_nonempty,1206,"ts_code,trade_date,net_mf_amount",bc38dbe2669bafbd78e2d99410774adaf6de04f2799a5fc40ddd5e00a1c409a3,0.116,
daily,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20150101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:42.974133+00:00,accessible_nonempty,1219,"ts_code,trade_date,close,vol,amount",69a4913b6522581f0d2a254cacf2643c080ad18dda3c14bf87bb63b2544f84a9,0.12,
adj_factor,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20150101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.069515+00:00,accessible_nonempty,1219,"ts_code,trade_date,adj_factor",593ef6e369f78ec20eae8a99509a29b502062e5a9b43db25cdea0b4b65a3ab35,0.088,
daily_basic,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20150101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.237198+00:00,accessible_nonempty,1219,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",9025c881fa5e822606d7dc68b61c152c5579cc2e2396e9bf642e4b9e7198e8b5,0.17,
moneyflow,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20150101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.348584+00:00,accessible_nonempty,1219,"ts_code,trade_date,net_mf_amount",5cc348d1aee3d168820410db113e5e2d08ae37ab545a66034bf840b878876918,0.109,
daily,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20200101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.489888+00:00,accessible_nonempty,1557,"ts_code,trade_date,close,vol,amount",58c96e6499c60afd5e326f72c0d9f253c6e149087da290acc0e4445b73335dea,0.142,
adj_factor,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20200101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.594144+00:00,accessible_nonempty,1557,"ts_code,trade_date,adj_factor",dc050cabe9c6d06ad187e2bb77e9db031295075b44141f69c67530bdd4df99c8,0.1,
daily_basic,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20200101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.739910+00:00,accessible_nonempty,1557,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",3d32c4954bdb96d8e6048f129ad6686eb775ab98ac48310e46a92f772213d7b0,0.145,
moneyflow,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20200101"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.839302+00:00,accessible_nonempty,1557,"ts_code,trade_date,net_mf_amount",fdac60c3a428ada2c231d33bf59fd707f1d52578fb4f009d0d7d87bf4ca484c6,0.101,
dividend,"{""fields"": ""ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:43.931409+00:00,accessible_nonempty,89,"ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax",e06fc99bad7b19772ab318015e0b9b7c830673fbcbd720ab994e4da05df7d2c4,0.086,
dividend,"{""fields"": ""ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax"", ""ts_code"": ""600519.SH""}",2026-08-30T06:18:44.009110+00:00,accessible_nonempty,89,"ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax",e06fc99bad7b19772ab318015e0b9b7c830673fbcbd720ab994e4da05df7d2c4,0.077,
daily,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20000101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.134067+00:00,accessible_nonempty,1189,"ts_code,trade_date,close,vol,amount",e7855fc21c578c50ee7d009338b00e1db7a7060abfbc8f06a7aa121c9f385136,0.127,
adj_factor,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20000101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.208414+00:00,accessible_nonempty,1200,"ts_code,trade_date,adj_factor",a36d162ca871f80ac56e4ef002c86cc29debadc301cf830b51b72e2cc981fbb8,0.07,
daily_basic,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20000101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.363406+00:00,accessible_nonempty,1189,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",8bf8c21cfe1bcd5c511d64f392909c2d341ccdf2580b98f409baeb2d1fc86986,0.159,
daily,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20050101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.494587+00:00,accessible_nonempty,1154,"ts_code,trade_date,close,vol,amount",981d7d5ffecc7071eca6f954ec75ea3168babc7fa8b115e02b1623ed44a83d38,0.162,
adj_factor,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20050101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.610093+00:00,accessible_nonempty,1215,"ts_code,trade_date,adj_factor",0ed32c1f4d558184175c50d36e7bfb85ef569c107a25803f071a7dabecb43f35,0.074,
daily_basic,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20050101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.754149+00:00,accessible_nonempty,1154,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",d57350af2963f938d478866451ce36bc489711364d67e6af43140a73c7baf316,0.144,
daily,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20100101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.889818+00:00,accessible_nonempty,1208,"ts_code,trade_date,close,vol,amount",a9f893f90f31b2ca0f539dee1f4585e502443b28a09a050babb2d9fb01d972ac,0.134,
adj_factor,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20100101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:44.978285+00:00,accessible_nonempty,1212,"ts_code,trade_date,adj_factor",cf2f01b8ca2d3d1781132a87741c593987d5df4cca8f7ab8a9c8b67e5a85b580,0.083,
daily_basic,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20100101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:45.119207+00:00,accessible_nonempty,1208,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",0baddc214d1ec9ff0f3b521039999f87f2710d9693b2423d07a6ef4e9f4cbfdd,0.143,
moneyflow,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20100101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:45.222131+00:00,accessible_nonempty,1206,"ts_code,trade_date,net_mf_amount",27759553431c785f712b36c556884ae86402d5996e3fc6f6ea2b0059d531375d,0.1,
daily,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20150101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:45.344189+00:00,accessible_nonempty,1159,"ts_code,trade_date,close,vol,amount",73ff0d8ba5cc074386c4e38351217b3d2ad7af397fc447b9db5fc2322f42ee6b,0.124,
adj_factor,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20150101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:45.422448+00:00,accessible_nonempty,1219,"ts_code,trade_date,adj_factor",19c5f2928fdee19b3cfa652df4c64baff805bad8815d89144698586878cb9eb5,0.072,
daily_basic,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20150101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:45.565573+00:00,accessible_nonempty,1159,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",6596afe8df7a15d33722d59efded3683bff4f0bb5c24d1efb5dfe13b9cb85518,0.144,
moneyflow,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20150101"", ""ts_code"": ""000858.SZ""}",2026-08-30T06:18:45.683725+00:00,accessible_nonempty,1159,"ts_code,trade_date,net_mf_amount",3555638560622873948f306b66d14b8b14044877e1a8960214ee77454ae87787,0.117,
