api,parameters_json,retrieval_time_utc,status,row_count,columns,content_sha256,elapsed_seconds,error
daily,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20000101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:36.637223+00:00,accessible_nonempty,1184,"ts_code,trade_date,close,vol,amount",f8073b32ba0db24e5edb039cd59caa2ea04f2094447aa24f7ebe315a3671cfbf,0.115,
adj_factor,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20000101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:36.734761+00:00,accessible_nonempty,1200,"ts_code,trade_date,adj_factor",52c3f12d49421fd3076240e7b29e5b83fced1f4b351276841202f04799594348,0.087,
daily_basic,"{""end_date"": ""20041231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20000101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:36.863595+00:00,accessible_nonempty,1184,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",a107a9c37cc5b1281553548433ee6696b9d01ed61c5d5f599b19de1aeecba978,0.13,
daily,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20050101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:36.996233+00:00,accessible_nonempty,1160,"ts_code,trade_date,close,vol,amount",ee97f22283e5596854bc3f26fa50ead7471a79c6136a52d5a5f2634859172345,0.131,
adj_factor,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20050101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:37.169100+00:00,accessible_nonempty,1215,"ts_code,trade_date,adj_factor",926fca559c41ff4ad3a6c4bcce3e4deea7e89f45456ca99bab3465ef4ba5cb5e,0.166,
daily_basic,"{""end_date"": ""20091231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20050101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:37.287104+00:00,accessible_nonempty,1160,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",3e2dd5213af76d2864af7a5d6c70a0490de0a83dea0aa7184ebbd2c21dfd4204,0.12,
daily,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20100101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:37.447286+00:00,accessible_nonempty,1197,"ts_code,trade_date,close,vol,amount",3c3f0981987d22dd75a5239c72e29234510fe075e662612ac78b62215b3347de,0.159,
adj_factor,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20100101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:37.542186+00:00,accessible_nonempty,1212,"ts_code,trade_date,adj_factor",d39dad38d48d6c58e7a16f21e2df8f7e217e5b0e2991457c01b1211c02f614f0,0.088,
daily_basic,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20100101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.101986+00:00,accessible_nonempty,1197,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",62343f7b3a1a90ef95748140f32bb7d4895eaa3baa612eb6f7355ef435069334,0.563,
moneyflow,"{""end_date"": ""20141231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20100101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.189942+00:00,accessible_nonempty,1197,"ts_code,trade_date,net_mf_amount",709a3aef67e70de50e2834421779a368e07181caf3d93aa49d5dacd87ac88d00,0.085,
daily,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20150101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.343714+00:00,accessible_nonempty,1187,"ts_code,trade_date,close,vol,amount",43042437ca7cd70c903ac5d2bf665e108e511edd50a94978322ae59cc05802cd,0.157,
adj_factor,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20150101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.440826+00:00,accessible_nonempty,1219,"ts_code,trade_date,adj_factor",738088d6fd14b159462e0d1ad62c80d2842bfccf1eb93bd615767161e1bc2eec,0.09,
daily_basic,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20150101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.587455+00:00,accessible_nonempty,1187,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",5f39aee52014963bcd26d351341c3bbb476f181e6547c52268be76c367f206b7,0.148,
moneyflow,"{""end_date"": ""20191231"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20150101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.675581+00:00,accessible_nonempty,1187,"ts_code,trade_date,net_mf_amount",7af5154a175e075584763523d7833fa3706250fa62e4916a93e3a755b3919732,0.087,
daily,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,close,vol,amount"", ""start_date"": ""20200101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.831035+00:00,accessible_nonempty,1557,"ts_code,trade_date,close,vol,amount",f13b6caea4b0a4d2e19fee4441c4fe18eabd138624f5450e137d13c1fc793223,0.157,
adj_factor,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,adj_factor"", ""start_date"": ""20200101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:38.930887+00:00,accessible_nonempty,1557,"ts_code,trade_date,adj_factor",9d33784bc9240d9349a078bb165358b8a898d8d0a2f11cf88de658e34c0dd234,0.095,
daily_basic,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv"", ""start_date"": ""20200101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:39.087629+00:00,accessible_nonempty,1557,"ts_code,trade_date,close,turnover_rate_f,total_mv,circ_mv",e36474ae375d197e7c33ad4c3300f9cb55fcae8786af038bd33180b2794f5b51,0.162,
moneyflow,"{""end_date"": ""20260609"", ""fields"": ""ts_code,trade_date,net_mf_amount"", ""start_date"": ""20200101"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:39.176627+00:00,accessible_nonempty,1557,"ts_code,trade_date,net_mf_amount",899b9d14a6454ceecd700203b768c18dad27e477a58a56ded88e7d0f90bff7bb,0.082,
dividend,"{""fields"": ""ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax"", ""ts_code"": ""600000.SH""}",2026-08-30T06:18:39.266173+00:00,accessible_nonempty,78,"ts_code,end_date,ann_date,div_proc,record_date,ex_date,pay_date,stk_div,cash_div,cash_div_tax",246ee43fcf98651bef584fe219715d1234b8203722e7d5e8800bbddeea6dd8ad,0.087,
