instrument,date,close_left,close_right,close_relative_difference,left_source,right_source
SZ000001,2000-01-25,17.73,17.72,0.0005643340857788692,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-01-28,18.5,18.53,0.001618996222342209,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-02-15,19.46,19.44,0.0010288065843621179,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-03-02,18.38,18.36,0.0010893246187363603,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-03-08,18.73,18.72,0.0005341880341881177,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-03-09,20.08,20.07,0.0004982561036371704,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-04-07,18.91,18.9,0.0005291005291006119,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-04-12,19.12,19.1,0.001047120418848145,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-04-17,19.18,19.21,0.0015616866215513346,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-04-18,19.1,19.09,0.0005238344683080966,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-04-28,19.06,19.05,0.0005249343832019953,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-05-19,17.93,17.91,0.0011166945840312436,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-05-25,18.65,18.64,0.0005364806866951722,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-08-22,18.16,18.13,0.001654715940430289,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000001,2000-09-13,17.4,17.39,0.0005750431282345032,tushare_daily:000001.SZ,baostock:000001.SZ
SZ000858,2000-01-25,32.7,32.68,0.0006119951040392634,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-01-28,33.3,33.29,0.0003003905076598982,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-02-15,34.75,34.72,0.0008640552995392033,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-03-02,31.5,31.56,0.001901140684410606,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-03-09,31.59,31.58,0.00031665611146300073,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-03,30.2,30.18,0.0006626905235254995,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-06,30.36,30.34,0.0006591957811469866,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-07,30.19,30.17,0.0006629101756711824,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-12,30.5,30.49,0.00032797638570028086,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-17,32.4,32.39,0.00030873726458777433,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-18,32.18,32.16,0.0006218905472637788,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-21,31.42,31.4,0.0006369426751593353,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-04-28,31.21,31.2,0.0003205128205128706,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-05-25,30.72,30.7,0.0006514657980455888,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-06-08,31.15,31.11,0.0012857602057216055,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-08-22,33.45,33.51,0.0017905102954340548,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000858,2000-09-13,32.31,32.32,0.0003094059405939978,tushare_daily:000858.SZ,baostock:000858.SZ
SZ000002,2000-02-15,11.25,11.22,0.0026737967914437933,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000002,2000-04-07,13.04,13.03,0.0007674597083652945,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000002,2000-04-12,12.84,12.82,0.0015600624024960665,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000002,2000-04-17,12.68,12.69,0.0007880220646177925,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000002,2000-04-21,12.87,12.85,0.001556420233463002,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000002,2000-05-25,11.99,12.0,0.0008333333333333156,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000002,2000-08-22,13.74,13.76,0.0014534883720929922,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000002,2000-09-13,13.16,13.17,0.0007593014426727249,tushare_daily:000002.SZ,baostock:000002.SZ
SZ000001,2000-01-25,17.72,17.729999542236328,0.0005639899884096667,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-01-28,18.53,18.500001907348633,0.0016215183545171625,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-02-15,19.44,19.459999084472656,0.001027702230911843,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-03-02,18.36,18.380001068115234,0.0010881973314969965,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-03-08,18.72,18.729999542236328,0.0005338784026011425,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-03-09,20.07,20.079999923706055,0.0004980041705203738,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-04-07,18.9,18.90999984741211,0.0005288126648757908,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-04-12,19.1,19.119998931884766,0.0010459692992667337,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-04-17,19.21,19.18000030517578,0.0015641133653227365,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-04-18,19.09,19.100000381469727,0.0005235801712040167,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-04-28,19.05,19.060001373291016,0.0005247309848062208,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-05-19,17.91,17.93000030517578,0.001115465969624535,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-05-25,18.64,18.649999618530273,0.0005361725863167013,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-08-22,18.13,18.15999984741211,0.0016519739903183698,baostock:000001.SZ,community_qlib_sample
SZ000001,2000-09-13,17.39,17.399999618530273,0.0005746907327298842,baostock:000001.SZ,community_qlib_sample
SZ000858,2000-01-25,32.68,32.69999694824219,0.0006115275262514278,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-01-28,33.29,33.29999923706055,0.00030027739608532133,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-02-15,34.72,34.75,0.0008633093525180183,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-03-02,31.56,31.5,0.0019047619047618642,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-03-09,31.58,31.589998245239258,0.00031650034171072785,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-03,30.18,30.19999885559082,0.0006622137863796071,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-06,30.34,30.35999870300293,0.0006587188358789931,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-07,30.17,30.189998626708984,0.0006624255587507697,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-12,30.49,30.5,0.0003278688524590676,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-17,32.39,32.400001525878906,0.0003086890557988754,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-18,32.16,32.18000030517578,0.0006215135172813483,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-21,31.4,31.420001983642578,0.0006366003303562071,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-04-28,31.2,31.209999084472656,0.0003203807999350959,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-05-25,30.7,30.719999313354492,0.000651019329476315,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-06-08,31.11,31.150001525878906,0.0012841580712499873,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-08-22,33.51,33.44999694824219,0.0017938133701672489,baostock:000858.SZ,community_qlib_sample
SZ000858,2000-09-13,32.32,32.310001373291016,0.00030945918551554134,baostock:000858.SZ,community_qlib_sample
SZ000002,2000-02-15,11.22,11.25,0.0026666666666666098,baostock:000002.SZ,community_qlib_sample
SZ000002,2000-04-07,13.03,13.039999961853027,0.0007668682425062642,baostock:000002.SZ,community_qlib_sample
SZ000002,2000-04-12,12.82,12.84000015258789,0.001557644264035256,baostock:000002.SZ,community_qlib_sample
SZ000002,2000-04-17,12.69,12.680000305175781,0.0007886194466522632,baostock:000002.SZ,community_qlib_sample
SZ000002,2000-04-21,12.85,12.870000839233398,0.0015540666611634924,baostock:000002.SZ,community_qlib_sample
SZ000002,2000-05-25,12.0,11.989999771118164,0.0008340474622797542,baostock:000002.SZ,community_qlib_sample
SZ000002,2000-08-22,13.76,13.739999771118164,0.001455620758005886,baostock:000002.SZ,community_qlib_sample
SZ000002,2000-09-13,13.17,13.15999984741211,0.0007598900230881892,baostock:000002.SZ,community_qlib_sample
