year,finite_observations,instruments_with_data
2000,2081167,1061
2001,2350960,1140
2002,2439072,1208
2003,2624542,1267
2004,2827007,1363
2005,2858019,1373
2006,2646405,1426
2007,2957108,1537
2008,3287136,1610
2009,3414082,1707
2010,3922089,2050
2011,4644517,2326
2012,5124549,2478
2013,5113184,2477
2014,5199053,2602
2015,5241461,2823
2016,5855725,3044
2017,6763636,3481
2018,7409263,3581
2019,7983198,3776
2020,8531641,4162
2021,9570816,4706
2022,10553336,5115
2023,11337860,5386
2024,11646894,5440
2025,11816838,5754
2026,5038815,5540
