field,year,finite_observations,instruments_with_data,provider_instruments_with_field,field_earliest_observation,field_latest_observation
$open,2000,230867,1061,6106,2000-01-04,2026-06-09
$open,2001,260578,1140,6106,2000-01-04,2026-06-09
$open,2002,270358,1207,6106,2000-01-04,2026-06-09
$open,2003,291004,1267,6106,2000-01-04,2026-06-09
$open,2004,313448,1363,6106,2000-01-04,2026-06-09
$open,2005,316077,1372,6106,2000-01-04,2026-06-09
$open,2006,289675,1425,6106,2000-01-04,2026-06-09
$open,2007,325296,1524,6106,2000-01-04,2026-06-09
$open,2008,362283,1584,6106,2000-01-04,2026-06-09
$open,2009,377234,1687,6106,2000-01-04,2026-06-09
$open,2010,433498,2027,6106,2000-01-04,2026-06-09
$open,2011,513321,2306,6106,2000-01-04,2026-06-09
$open,2012,567121,2461,6106,2000-01-04,2026-06-09
$open,2013,565574,2475,6106,2000-01-04,2026-06-09
$open,2014,572153,2601,6106,2000-01-04,2026-06-09
$open,2015,571772,2820,6106,2000-01-04,2026-06-09
$open,2016,643673,3042,6106,2000-01-04,2026-06-09
$open,2017,745297,3474,6106,2000-01-04,2026-06-09
$open,2018,818830,3577,6106,2000-01-04,2026-06-09
$open,2019,886421,3773,6106,2000-01-04,2026-06-09
$open,2020,947319,4160,6106,2000-01-04,2026-06-09
$open,2021,1063059,4704,6106,2000-01-04,2026-06-09
$open,2022,1172247,5115,6106,2000-01-04,2026-06-09
$open,2023,1259518,5386,6106,2000-01-04,2026-06-09
$open,2024,1293779,5437,6106,2000-01-04,2026-06-09
$open,2025,1312327,5754,6106,2000-01-04,2026-06-09
$open,2026,559747,5540,6106,2000-01-04,2026-06-09
$high,2000,230867,1061,6106,2000-01-04,2026-06-09
$high,2001,260578,1140,6106,2000-01-04,2026-06-09
$high,2002,270358,1207,6106,2000-01-04,2026-06-09
$high,2003,291004,1267,6106,2000-01-04,2026-06-09
$high,2004,313448,1363,6106,2000-01-04,2026-06-09
$high,2005,316077,1372,6106,2000-01-04,2026-06-09
$high,2006,289675,1425,6106,2000-01-04,2026-06-09
$high,2007,325296,1524,6106,2000-01-04,2026-06-09
$high,2008,362283,1584,6106,2000-01-04,2026-06-09
$high,2009,377234,1687,6106,2000-01-04,2026-06-09
$high,2010,433498,2027,6106,2000-01-04,2026-06-09
$high,2011,513321,2306,6106,2000-01-04,2026-06-09
$high,2012,567121,2461,6106,2000-01-04,2026-06-09
$high,2013,565574,2475,6106,2000-01-04,2026-06-09
$high,2014,572153,2601,6106,2000-01-04,2026-06-09
$high,2015,571772,2820,6106,2000-01-04,2026-06-09
$high,2016,643673,3042,6106,2000-01-04,2026-06-09
$high,2017,745297,3474,6106,2000-01-04,2026-06-09
$high,2018,818830,3577,6106,2000-01-04,2026-06-09
$high,2019,886421,3773,6106,2000-01-04,2026-06-09
$high,2020,947319,4160,6106,2000-01-04,2026-06-09
$high,2021,1063059,4704,6106,2000-01-04,2026-06-09
$high,2022,1172247,5115,6106,2000-01-04,2026-06-09
$high,2023,1259518,5386,6106,2000-01-04,2026-06-09
$high,2024,1293779,5437,6106,2000-01-04,2026-06-09
$high,2025,1312327,5754,6106,2000-01-04,2026-06-09
$high,2026,559747,5540,6106,2000-01-04,2026-06-09
$low,2000,230867,1061,6106,2000-01-04,2026-06-09
$low,2001,260578,1140,6106,2000-01-04,2026-06-09
$low,2002,270358,1207,6106,2000-01-04,2026-06-09
$low,2003,291004,1267,6106,2000-01-04,2026-06-09
$low,2004,313448,1363,6106,2000-01-04,2026-06-09
$low,2005,316077,1372,6106,2000-01-04,2026-06-09
$low,2006,289675,1425,6106,2000-01-04,2026-06-09
$low,2007,325296,1524,6106,2000-01-04,2026-06-09
$low,2008,362283,1584,6106,2000-01-04,2026-06-09
$low,2009,377234,1687,6106,2000-01-04,2026-06-09
$low,2010,433498,2027,6106,2000-01-04,2026-06-09
$low,2011,513321,2306,6106,2000-01-04,2026-06-09
$low,2012,567121,2461,6106,2000-01-04,2026-06-09
$low,2013,565574,2475,6106,2000-01-04,2026-06-09
$low,2014,572153,2601,6106,2000-01-04,2026-06-09
$low,2015,571772,2820,6106,2000-01-04,2026-06-09
$low,2016,643673,3042,6106,2000-01-04,2026-06-09
$low,2017,745297,3474,6106,2000-01-04,2026-06-09
$low,2018,818830,3577,6106,2000-01-04,2026-06-09
$low,2019,886421,3773,6106,2000-01-04,2026-06-09
$low,2020,947319,4160,6106,2000-01-04,2026-06-09
$low,2021,1063059,4704,6106,2000-01-04,2026-06-09
$low,2022,1172247,5115,6106,2000-01-04,2026-06-09
$low,2023,1259518,5386,6106,2000-01-04,2026-06-09
$low,2024,1293779,5437,6106,2000-01-04,2026-06-09
$low,2025,1312327,5754,6106,2000-01-04,2026-06-09
$low,2026,559747,5540,6106,2000-01-04,2026-06-09
$close,2000,230867,1061,6106,2000-01-04,2026-06-09
$close,2001,260578,1140,6106,2000-01-04,2026-06-09
$close,2002,270358,1207,6106,2000-01-04,2026-06-09
$close,2003,291004,1267,6106,2000-01-04,2026-06-09
$close,2004,313448,1363,6106,2000-01-04,2026-06-09
$close,2005,316077,1372,6106,2000-01-04,2026-06-09
$close,2006,289675,1425,6106,2000-01-04,2026-06-09
$close,2007,325296,1524,6106,2000-01-04,2026-06-09
$close,2008,362283,1584,6106,2000-01-04,2026-06-09
$close,2009,377234,1687,6106,2000-01-04,2026-06-09
$close,2010,433498,2027,6106,2000-01-04,2026-06-09
$close,2011,513321,2306,6106,2000-01-04,2026-06-09
$close,2012,567121,2461,6106,2000-01-04,2026-06-09
$close,2013,565574,2475,6106,2000-01-04,2026-06-09
$close,2014,572153,2601,6106,2000-01-04,2026-06-09
$close,2015,571772,2820,6106,2000-01-04,2026-06-09
$close,2016,643673,3042,6106,2000-01-04,2026-06-09
$close,2017,745297,3474,6106,2000-01-04,2026-06-09
$close,2018,818830,3577,6106,2000-01-04,2026-06-09
$close,2019,886421,3773,6106,2000-01-04,2026-06-09
$close,2020,947319,4160,6106,2000-01-04,2026-06-09
$close,2021,1063059,4704,6106,2000-01-04,2026-06-09
$close,2022,1172247,5115,6106,2000-01-04,2026-06-09
$close,2023,1259518,5386,6106,2000-01-04,2026-06-09
$close,2024,1293779,5437,6106,2000-01-04,2026-06-09
$close,2025,1312327,5754,6106,2000-01-04,2026-06-09
$close,2026,559747,5540,6106,2000-01-04,2026-06-09
$volume,2000,230867,1061,6106,2000-01-04,2026-06-09
$volume,2001,260578,1140,6106,2000-01-04,2026-06-09
$volume,2002,270358,1207,6106,2000-01-04,2026-06-09
$volume,2003,291004,1267,6106,2000-01-04,2026-06-09
$volume,2004,313448,1363,6106,2000-01-04,2026-06-09
$volume,2005,316077,1372,6106,2000-01-04,2026-06-09
$volume,2006,289675,1425,6106,2000-01-04,2026-06-09
$volume,2007,325296,1524,6106,2000-01-04,2026-06-09
$volume,2008,362283,1584,6106,2000-01-04,2026-06-09
$volume,2009,377234,1687,6106,2000-01-04,2026-06-09
$volume,2010,433498,2027,6106,2000-01-04,2026-06-09
$volume,2011,513321,2306,6106,2000-01-04,2026-06-09
$volume,2012,567121,2461,6106,2000-01-04,2026-06-09
$volume,2013,565574,2475,6106,2000-01-04,2026-06-09
$volume,2014,572153,2601,6106,2000-01-04,2026-06-09
$volume,2015,571772,2820,6106,2000-01-04,2026-06-09
$volume,2016,643673,3042,6106,2000-01-04,2026-06-09
$volume,2017,745297,3474,6106,2000-01-04,2026-06-09
$volume,2018,818830,3577,6106,2000-01-04,2026-06-09
$volume,2019,886421,3773,6106,2000-01-04,2026-06-09
$volume,2020,947319,4160,6106,2000-01-04,2026-06-09
$volume,2021,1063059,4704,6106,2000-01-04,2026-06-09
$volume,2022,1172247,5115,6106,2000-01-04,2026-06-09
$volume,2023,1259518,5386,6106,2000-01-04,2026-06-09
$volume,2024,1293779,5437,6106,2000-01-04,2026-06-09
$volume,2025,1312327,5754,6106,2000-01-04,2026-06-09
$volume,2026,559747,5540,6106,2000-01-04,2026-06-09
$amount,2000,230867,1061,6106,2000-01-04,2026-06-09
$amount,2001,260578,1140,6106,2000-01-04,2026-06-09
$amount,2002,270358,1207,6106,2000-01-04,2026-06-09
$amount,2003,291004,1267,6106,2000-01-04,2026-06-09
$amount,2004,313448,1363,6106,2000-01-04,2026-06-09
$amount,2005,316077,1372,6106,2000-01-04,2026-06-09
$amount,2006,289675,1425,6106,2000-01-04,2026-06-09
$amount,2007,325296,1524,6106,2000-01-04,2026-06-09
$amount,2008,362283,1584,6106,2000-01-04,2026-06-09
$amount,2009,377234,1687,6106,2000-01-04,2026-06-09
$amount,2010,433498,2027,6106,2000-01-04,2026-06-09
$amount,2011,513321,2306,6106,2000-01-04,2026-06-09
$amount,2012,567121,2461,6106,2000-01-04,2026-06-09
$amount,2013,565574,2475,6106,2000-01-04,2026-06-09
$amount,2014,572153,2601,6106,2000-01-04,2026-06-09
$amount,2015,571772,2820,6106,2000-01-04,2026-06-09
$amount,2016,643673,3042,6106,2000-01-04,2026-06-09
$amount,2017,745297,3474,6106,2000-01-04,2026-06-09
$amount,2018,818830,3577,6106,2000-01-04,2026-06-09
$amount,2019,886421,3773,6106,2000-01-04,2026-06-09
$amount,2020,947319,4160,6106,2000-01-04,2026-06-09
$amount,2021,1063059,4704,6106,2000-01-04,2026-06-09
$amount,2022,1172247,5115,6106,2000-01-04,2026-06-09
$amount,2023,1259518,5386,6106,2000-01-04,2026-06-09
$amount,2024,1293779,5437,6106,2000-01-04,2026-06-09
$amount,2025,1312327,5754,6106,2000-01-04,2026-06-09
$amount,2026,559747,5540,6106,2000-01-04,2026-06-09
