factor,valid_rows,total_rows,coverage,missing_rate,min,max,mean
alpha360_CLOSE59,88183,88797,0.993085351982612,0.006914648017387948,0.23670530319213867,5.948051929473877,1.0283393859863281
alpha360_CLOSE58,88183,88797,0.993085351982612,0.006914648017387948,0.24854792654514313,5.70121955871582,1.027747631072998
alpha360_CLOSE57,88186,88797,0.9931191369077784,0.0068808630922215785,0.2609894573688507,5.948051929473877,1.0270161628723145
alpha360_CLOSE56,88189,88797,0.9931529218329448,0.0068470781670552094,0.26592764258384705,5.948051929473877,1.0263559818267822
alpha360_CLOSE55,88193,88797,0.9931979683998333,0.00680203160016668,0.27000701427459717,5.636363506317139,1.0257599353790283
alpha360_CLOSE54,88198,88797,0.993254276608444,0.006745723391555991,0.2624019682407379,5.5853657722473145,1.0254051685333252
alpha360_CLOSE53,88202,88797,0.9932993231753325,0.006700676824667462,0.2754988968372345,5.636363506317139,1.0250232219696045
alpha360_CLOSE52,88207,88797,0.9933556313839431,0.006644368616056884,0.284369558095932,5.948051929473877,1.0243957042694092
alpha360_CLOSE51,88210,88797,0.9933894163091096,0.006610583690890404,0.2851492464542389,5.636363506317139,1.0237832069396973
alpha360_CLOSE50,88212,88797,0.9934119395925538,0.006588060407446195,0.2710353136062622,5.383117198944092,1.0231475830078125
alpha360_CLOSE49,88216,88797,0.9934569861594423,0.0065430138405576654,0.28425654768943787,5.5853657722473145,1.022579550743103
alpha360_CLOSE48,88221,88797,0.993513294368053,0.006486705631946976,0.27876463532447815,5.292682647705078,1.0222833156585693
alpha360_CLOSE47,88223,88797,0.9935358176514972,0.006464182348502767,0.2926865220069885,5.264367580413818,1.0219640731811523
alpha360_CLOSE46,88226,88797,0.9935696025766636,0.006430397423336398,0.2985089123249054,5.2131147384643555,1.0215706825256348
alpha360_CLOSE45,88227,88797,0.9935808642183858,0.006419135781614238,0.29578015208244324,5.2131147384643555,1.0210621356964111
alpha360_CLOSE44,88229,88797,0.99360338750183,0.006396612498170029,0.3089810907840729,5.005464553833008,1.020485520362854
alpha360_CLOSE43,88228,88797,0.9935921258601079,0.006407874139892078,0.3111208379268646,5.005464553833008,1.019840955734253
alpha360_CLOSE42,88226,88797,0.9935696025766636,0.006430397423336398,0.30640286207199097,5.005464553833008,1.018996000289917
alpha360_CLOSE41,88223,88797,0.9935358176514972,0.006464182348502767,0.3091316521167755,5.005464553833008,1.018195390701294
alpha360_CLOSE40,88217,88797,0.9934682478011645,0.006531752198835505,0.31790274381637573,4.7461137771606445,1.0173261165618896
alpha360_CLOSE39,88208,88797,0.9933668930256653,0.006633106974334724,0.3294025957584381,5.005464553833008,1.0164059400558472
alpha360_CLOSE38,88207,88797,0.9933556313839431,0.006644368616056884,0.3145892024040222,5.005464553833008,1.0155867338180542
alpha360_CLOSE37,88206,88797,0.9933443697422211,0.006655630257778933,0.3252119719982147,5.005464553833008,1.014736533164978
alpha360_CLOSE36,88205,88797,0.9933331081004989,0.006666891899501093,0.3348129391670227,4.74316930770874,1.0140358209609985
alpha360_CLOSE35,88201,88797,0.9932880615336104,0.006711938466389622,0.33349576592445374,4.530055046081543,1.0134122371673584
alpha360_CLOSE34,88200,88797,0.9932767998918882,0.006723200108111782,0.31855592131614685,4.1039605140686035,1.012786626815796
alpha360_CLOSE33,88200,88797,0.9932767998918882,0.006723200108111782,0.3354140818119049,3.9103777408599854,1.012086033821106
alpha360_CLOSE32,88196,88797,0.9932317533249997,0.006768246675000311,0.32755517959594727,3.588744640350342,1.0113439559936523
alpha360_CLOSE31,88193,88797,0.9931979683998333,0.00680203160016668,0.3448896110057831,3.1884617805480957,1.0105217695236206
alpha360_CLOSE30,88187,88797,0.9931303985495006,0.0068696014504994185,0.3586263656616211,2.8685123920440674,1.0097966194152832
alpha360_CLOSE29,88184,88797,0.9930966136243341,0.006903386375665899,0.35288259387016296,4.818181991577148,1.0092155933380127
alpha360_CLOSE28,88187,88797,0.9931303985495006,0.0068696014504994185,0.37051793932914734,4.52439022064209,1.0085645914077759
alpha360_CLOSE27,88188,88797,0.9931416601912226,0.0068583398087773695,0.377964049577713,4.264368057250977,1.007920742034912
alpha360_CLOSE26,88189,88797,0.9931529218329448,0.0068470781670552094,0.3697562515735626,4.52439022064209,1.0073585510253906
alpha360_CLOSE25,88191,88797,0.9931754451163891,0.006824554883610889,0.3850480318069458,4.264368057250977,1.0069291591644287
alpha360_CLOSE24,88193,88797,0.9931979683998333,0.00680203160016668,0.3963221311569214,4.264368057250977,1.0064893960952759
alpha360_CLOSE23,88195,88797,0.9932204916832776,0.00677950831672236,0.37603044509887695,4.05464506149292,1.0059800148010254
alpha360_CLOSE22,88197,88797,0.9932430149667218,0.006756985033278151,0.39378565549850464,4.05464506149292,1.0054560899734497
alpha360_CLOSE21,88199,88797,0.9932655382501661,0.006734461749833942,0.4137241840362549,4.05464506149292,1.0049611330032349
alpha360_CLOSE20,88200,88797,0.9932767998918882,0.006723200108111782,0.4304170310497284,3.844559669494629,1.0044946670532227
alpha360_CLOSE19,88201,88797,0.9932880615336104,0.006711938466389622,0.44058993458747864,3.844559669494629,1.0040342807769775
alpha360_CLOSE18,88202,88797,0.9932993231753325,0.006700676824667462,0.4340541660785675,4.05464506149292,1.0036556720733643
alpha360_CLOSE17,88203,88797,0.9933105848170546,0.006689415182945413,0.42294955253601074,3.844559669494629,1.003365159034729
alpha360_CLOSE16,88204,88797,0.9933218464587767,0.006678153541223253,0.4525874853134155,4.05464506149292,1.0030649900436401
alpha360_CLOSE15,88207,88797,0.9933556313839431,0.006644368616056884,0.434265673160553,4.201680660247803,1.0028458833694458
alpha360_CLOSE14,88212,88797,0.9934119395925538,0.006588060407446195,0.42315563559532166,4.201680660247803,1.0027729272842407
alpha360_CLOSE13,88212,88797,0.9934119395925538,0.006588060407446195,0.4491569399833679,3.8759689331054688,1.002631664276123
