parent_role,manifest_path,stage_id,artifact_id,artifact_status,lineage_status,direct_parent
research_model_protocol_v1_1,E:/qlib_prj/qlib_baseline/outputs/research_model_protocol_v1_1/current/artifact_manifest.json,research_model_protocol_v1_1,research_model_protocol_v1_1:ae43f92603de397c8249c8c50ea6db2b0001fabeaabb98f00a183f1d34c7401c,pass,complete,True
research_linear_models_v1,E:/qlib_prj/qlib_baseline/outputs/research_linear_models_v1/current/artifact_manifest.json,research_linear_model_test_release_v1,research_linear_model_test_release_v1:05490ec686e66efabda95a9529520978d884defa7123448505d20b785c126429,pass,complete,True
lightgbm_resource_canary,E:/qlib_prj/qlib_baseline/outputs/research_lightgbm_v1/resource_canary/artifact_manifest.json,research_lightgbm_v1,research_lightgbm_v1:5ba98f44385383702770335255f31d434d16f02fcab60c4d390e90680f8a5da2,pass,complete,True
