outer_split_id,method,importance_type,factor,feature_order,importance,selection_authority
split_001,lightgbm,gain,alpha158_BETA10,0,0.47635950345193123,diagnostic_only
split_001,lightgbm,gain,alpha158_BETA5,1,0.16213968748343177,diagnostic_only
split_001,lightgbm,gain,alpha158_CNTD30,2,0.324025951312251,diagnostic_only
split_001,lightgbm,gain,alpha158_CNTP60,3,0.5922372945860843,diagnostic_only
split_001,lightgbm,gain,alpha158_CORD10,4,0.14752665871492354,diagnostic_only
split_001,lightgbm,gain,alpha158_CORD20,5,0.3533590991410165,diagnostic_only
split_001,lightgbm,gain,alpha158_CORD5,6,0.0907784621558676,diagnostic_only
split_001,lightgbm,gain,alpha158_CORD60,7,0.7507887981137173,diagnostic_only
split_001,lightgbm,gain,alpha158_CORR10,8,0.17470490102641634,diagnostic_only
split_001,lightgbm,gain,alpha158_CORR20,9,0.4874272503438988,diagnostic_only
split_001,lightgbm,gain,alpha158_CORR5,10,0.0508513991971995,diagnostic_only
split_001,lightgbm,gain,alpha158_HIGH0,11,0.09203117122524418,diagnostic_only
split_001,lightgbm,gain,alpha158_IMIN20,12,0.5115838775827797,diagnostic_only
split_001,lightgbm,gain,alpha158_KLEN,13,2.254838560402277,diagnostic_only
split_001,lightgbm,gain,alpha158_KLOW,14,0.22401886865554843,diagnostic_only
split_001,lightgbm,gain,alpha158_KMID,15,0.04178359714933322,diagnostic_only
split_001,lightgbm,gain,alpha158_KUP,16,0.10251359869289445,diagnostic_only
split_001,lightgbm,gain,alpha158_LOW0,17,0.14640596433673636,diagnostic_only
split_001,lightgbm,gain,alpha158_MAX5,18,1.0105906391545432,diagnostic_only
split_001,lightgbm,gain,alpha158_MIN10,19,1.262271855455765,diagnostic_only
split_001,lightgbm,gain,alpha158_QTLD60,20,4.087017714736703,diagnostic_only
split_001,lightgbm,gain,alpha158_RSQR30,21,1.0376481161538322,diagnostic_only
split_001,lightgbm,gain,alpha158_VMA30,22,0.17692470956535544,diagnostic_only
split_001,lightgbm,gain,alpha158_VMA60,23,0.34079804269845226,diagnostic_only
split_001,lightgbm,gain,alpha158_VSUMD60,24,0.34101089401019635,diagnostic_only
split_001,lightgbm,gain,alpha360_LOW1,25,0.3236156088245252,diagnostic_only
split_001,lightgbm,gain,alpha360_VOLUME13,26,0.07349220014111779,diagnostic_only
split_001,lightgbm,gain,amount_cv_20,27,0.5816755914293026,diagnostic_only
split_001,lightgbm,gain,amount_std_20,28,6.960596105465811,diagnostic_only
split_001,lightgbm,gain,corr_ret_amount_20,29,0.5790092449915392,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha003,30,0.09879205499964883,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha011,31,0.15806200565111794,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha012,32,0.03609789731854107,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha013,33,0.2147965287540501,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha020,34,0.08224757910829794,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha029,35,0.09879993514732632,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha034,36,0.03354330592264887,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha050,37,0.18646431757042592,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha055,38,0.10324898474812017,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha062,39,0.03281722406973131,diagnostic_only
split_001,lightgbm,gain,kunquant_alpha101_alpha094,40,0.21545406862969685,diagnostic_only
split_001,lightgbm,gain,ta_trend_mass_index,41,1.146157992850931,diagnostic_only
split_001,lightgbm,gain,ta_volatility_bbhi,42,0.04613200441963272,diagnostic_only
split_001,lightgbm,gain,ta_volume_cmf,43,0.4687079026844003,diagnostic_only
split_001,lightgbm,gain,ta_volume_sma_em,44,0.8785520918431757,diagnostic_only
split_001,lightgbm,split,alpha158_BETA10,0,313.0,diagnostic_only
split_001,lightgbm,split,alpha158_BETA5,1,144.0,diagnostic_only
split_001,lightgbm,split,alpha158_CNTD30,2,286.0,diagnostic_only
split_001,lightgbm,split,alpha158_CNTP60,3,481.0,diagnostic_only
split_001,lightgbm,split,alpha158_CORD10,4,191.0,diagnostic_only
split_001,lightgbm,split,alpha158_CORD20,5,290.0,diagnostic_only
split_001,lightgbm,split,alpha158_CORD5,6,126.0,diagnostic_only
split_001,lightgbm,split,alpha158_CORD60,7,568.0,diagnostic_only
split_001,lightgbm,split,alpha158_CORR10,8,138.0,diagnostic_only
split_001,lightgbm,split,alpha158_CORR20,9,349.0,diagnostic_only
split_001,lightgbm,split,alpha158_CORR5,10,80.0,diagnostic_only
split_001,lightgbm,split,alpha158_HIGH0,11,61.0,diagnostic_only
split_001,lightgbm,split,alpha158_IMIN20,12,276.0,diagnostic_only
split_001,lightgbm,split,alpha158_KLEN,13,463.0,diagnostic_only
split_001,lightgbm,split,alpha158_KLOW,14,132.0,diagnostic_only
