instrument,window_start,window_end,scheduled,finite_open,positive_factor,zero_volume,missing_volume,unit_check_pairs,amount_volume_inside_ohlc,ohlc_order_pass,interpretation
sh600000,2015-01-05,2015-02-13,30,30,30,0,0,30,30,30,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh600000,2015-07-01,2015-08-10,29,29,29,0,0,29,29,29,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh600000,2020-07-20,2020-08-25,27,27,27,0,0,27,27,27,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh600000,2022-04-01,2022-05-06,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh600000,2023-08-01,2023-08-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh600000,2023-12-01,2023-12-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz000001,2015-01-05,2015-02-13,30,30,30,0,0,30,30,30,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz000001,2015-07-01,2015-08-10,29,29,29,0,0,29,29,29,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz000001,2020-07-20,2020-08-25,27,27,27,0,0,27,27,27,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz000001,2022-04-01,2022-05-06,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz000001,2023-08-01,2023-08-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz000001,2023-12-01,2023-12-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz300001,2015-01-05,2015-02-13,30,20,30,0,10,20,20,20,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz300001,2015-07-01,2015-08-10,29,25,29,0,4,25,25,25,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz300001,2020-07-20,2020-08-25,27,27,27,0,0,27,27,27,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz300001,2022-04-01,2022-05-06,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz300001,2023-08-01,2023-08-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sz300001,2023-12-01,2023-12-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh688001,2015-01-05,2015-02-13,30,0,0,0,30,0,0,0,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh688001,2015-07-01,2015-08-10,29,0,0,0,29,0,0,0,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh688001,2020-07-20,2020-08-25,27,27,27,0,0,27,27,27,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh688001,2022-04-01,2022-05-06,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh688001,2023-08-01,2023-08-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
sh688001,2023-12-01,2023-12-29,21,21,21,0,0,21,21,21,"small non-random quote-unit canary; no PIT, auction, lifecycle or nine-year certification"
