method,datetime,rows,minimum_components,median_components,outer_split_id,expected_component_count,required_component_count
equal_weight,2024-08-01,2000,14,45.0,split_001,45,5
equal_weight,2024-08-02,2000,16,45.0,split_001,45,5
equal_weight,2024-08-05,2000,16,45.0,split_001,45,5
equal_weight,2024-08-06,2000,14,45.0,split_001,45,5
equal_weight,2024-08-07,2000,14,45.0,split_001,45,5
equal_weight,2024-08-08,2000,26,45.0,split_001,45,5
equal_weight,2024-08-09,2000,34,45.0,split_001,45,5
equal_weight,2024-08-12,2000,36,45.0,split_001,45,5
equal_weight,2024-08-13,2000,36,45.0,split_001,45,5
equal_weight,2024-08-14,2000,37,45.0,split_001,45,5
equal_weight,2024-08-15,1999,37,45.0,split_001,45,5
equal_weight,2024-08-16,1999,37,45.0,split_001,45,5
equal_weight,2024-08-19,1999,37,45.0,split_001,45,5
equal_weight,2024-08-20,1999,37,45.0,split_001,45,5
equal_weight,2024-08-21,1999,37,45.0,split_001,45,5
equal_weight,2024-08-22,1999,18,45.0,split_001,45,5
equal_weight,2024-08-23,1998,18,45.0,split_001,45,5
equal_weight,2024-08-26,1998,17,45.0,split_001,45,5
equal_weight,2024-08-27,1998,16,45.0,split_001,45,5
equal_weight,2024-08-28,1998,16,45.0,split_001,45,5
equal_weight,2024-08-29,1998,16,45.0,split_001,45,5
equal_weight,2024-08-30,1998,16,45.0,split_001,45,5
equal_weight,2024-09-02,2000,15,45.0,split_001,45,5
equal_weight,2024-09-03,2000,14,45.0,split_001,45,5
equal_weight,2024-09-04,2000,14,45.0,split_001,45,5
equal_weight,2024-09-05,2000,16,45.0,split_001,45,5
equal_weight,2024-09-06,2000,16,45.0,split_001,45,5
equal_weight,2024-09-09,2000,14,45.0,split_001,45,5
equal_weight,2024-09-10,2000,14,45.0,split_001,45,5
equal_weight,2024-09-11,2000,16,45.0,split_001,45,5
equal_weight,2024-09-12,2000,16,45.0,split_001,45,5
equal_weight,2024-09-13,2000,14,45.0,split_001,45,5
equal_weight,2024-09-18,2000,14,45.0,split_001,45,5
equal_weight,2024-09-19,2000,16,45.0,split_001,45,5
equal_weight,2024-09-20,2000,14,45.0,split_001,45,5
equal_weight,2024-09-23,2000,14,45.0,split_001,45,5
equal_weight,2024-09-24,2000,14,45.0,split_001,45,5
equal_weight,2024-09-25,2000,14,45.0,split_001,45,5
equal_weight,2024-09-26,2000,14,45.0,split_001,45,5
equal_weight,2024-09-27,2000,14,45.0,split_001,45,5
equal_weight,2024-09-30,2000,14,45.0,split_001,45,5
equal_weight,2024-10-08,2000,14,45.0,split_001,45,5
equal_weight,2024-10-09,2000,14,45.0,split_001,45,5
equal_weight,2024-10-10,2000,16,45.0,split_001,45,5
equal_weight,2024-10-11,2000,16,45.0,split_001,45,5
equal_weight,2024-10-14,2000,16,45.0,split_001,45,5
equal_weight,2024-10-15,2000,14,45.0,split_001,45,5
equal_weight,2024-10-16,2000,14,45.0,split_001,45,5
equal_weight,2024-10-17,2000,26,45.0,split_001,45,5
equal_weight,2024-10-18,2000,34,45.0,split_001,45,5
equal_weight,2024-10-21,2000,18,45.0,split_001,45,5
equal_weight,2024-10-22,2000,18,45.0,split_001,45,5
equal_weight,2024-10-23,2000,18,45.0,split_001,45,5
equal_weight,2024-10-24,2000,16,45.0,split_001,45,5
equal_weight,2024-10-25,2000,16,45.0,split_001,45,5
equal_weight,2024-10-28,2000,16,45.0,split_001,45,5
equal_weight,2024-10-29,2000,16,45.0,split_001,45,5
equal_weight,2024-10-30,2000,16,45.0,split_001,45,5
equal_weight,2024-10-31,2000,16,45.0,split_001,45,5
equal_weight,2024-11-01,2000,16,45.0,split_001,45,5
equal_weight,2024-11-04,2000,16,45.0,split_001,45,5
equal_weight,2024-11-05,2000,16,45.0,split_001,45,5
equal_weight,2024-11-06,2000,16,45.0,split_001,45,5
equal_weight,2024-11-07,2000,14,45.0,split_001,45,5
equal_weight,2024-11-08,2000,14,45.0,split_001,45,5
equal_weight,2024-11-11,2000,16,45.0,split_001,45,5
equal_weight,2024-11-12,2000,16,45.0,split_001,45,5
equal_weight,2024-11-13,2000,16,45.0,split_001,45,5
equal_weight,2024-11-14,2000,16,45.0,split_001,45,5
equal_weight,2024-11-15,2000,16,45.0,split_001,45,5
equal_weight,2024-11-18,2000,14,45.0,split_001,45,5
equal_weight,2024-11-19,2000,14,45.0,split_001,45,5
equal_weight,2024-11-20,2000,16,45.0,split_001,45,5
equal_weight,2024-11-21,2000,16,45.0,split_001,45,5
equal_weight,2024-11-22,2000,14,45.0,split_001,45,5
equal_weight,2024-11-25,2000,14,45.0,split_001,45,5
equal_weight,2024-11-26,2000,16,45.0,split_001,45,5
equal_weight,2024-11-27,2000,14,45.0,split_001,45,5
equal_weight,2024-11-28,2000,14,45.0,split_001,45,5
equal_weight,2024-11-29,2000,16,45.0,split_001,45,5
equal_weight,2024-12-02,2000,16,45.0,split_001,45,5
equal_weight,2024-12-03,2000,16,45.0,split_001,45,5
equal_weight,2024-12-04,2000,16,45.0,split_001,45,5
equal_weight,2024-12-05,2000,14,45.0,split_001,45,5
equal_weight,2024-12-06,2000,14,45.0,split_001,45,5
equal_weight,2024-12-09,2000,16,45.0,split_001,45,5
equal_weight,2024-12-10,2000,16,45.0,split_001,45,5
equal_weight,2024-12-11,2000,16,45.0,split_001,45,5
equal_weight,2024-12-12,2000,14,45.0,split_001,45,5
equal_weight,2024-12-13,2000,14,45.0,split_001,45,5
equal_weight,2024-12-16,2000,26,45.0,split_001,45,5
equal_weight,2024-12-17,2000,18,45.0,split_001,45,5
equal_weight,2024-12-18,2000,18,45.0,split_001,45,5
equal_weight,2024-12-19,2000,18,45.0,split_001,45,5
equal_weight,2024-12-20,2000,16,45.0,split_001,45,5
equal_weight,2024-12-23,2000,16,45.0,split_001,45,5
equal_weight,2024-12-24,2000,16,45.0,split_001,45,5
equal_weight,2024-12-25,2000,16,45.0,split_001,45,5
equal_weight,2024-12-26,2000,16,45.0,split_001,45,5
equal_weight,2024-12-27,2000,14,45.0,split_001,45,5
equal_weight,2024-12-30,2000,14,45.0,split_001,45,5
equal_weight,2024-12-31,2000,16,45.0,split_001,45,5
equal_weight,2025-01-02,2000,16,45.0,split_001,45,5
equal_weight,2025-01-03,2000,14,45.0,split_001,45,5
equal_weight,2025-01-06,2000,14,45.0,split_001,45,5
equal_weight,2025-01-07,2000,16,45.0,split_001,45,5
equal_weight,2025-01-08,2000,16,45.0,split_001,45,5
equal_weight,2025-01-09,2000,14,45.0,split_001,45,5
equal_weight,2025-01-10,2000,14,45.0,split_001,45,5
equal_weight,2025-01-13,2000,14,45.0,split_001,45,5
equal_weight,2025-01-14,2000,14,45.0,split_001,45,5
equal_weight,2025-01-15,2000,14,45.0,split_001,45,5
equal_weight,2025-01-16,2000,16,45.0,split_001,45,5
equal_weight,2025-01-17,2000,16,45.0,split_001,45,5
equal_weight,2025-01-20,2000,14,45.0,split_001,45,5
equal_weight,2025-01-21,2000,14,45.0,split_001,45,5
equal_weight,2025-01-22,2000,16,45.0,split_001,45,5
equal_weight,2025-01-23,2000,29,45.0,split_001,45,5
equal_weight,2025-01-24,2000,18,45.0,split_001,45,5
equal_weight,2025-01-27,2000,18,45.0,split_001,45,5
stability_weight,2024-08-01,2000,14,45.0,split_001,45,5
stability_weight,2024-08-02,2000,16,45.0,split_001,45,5
stability_weight,2024-08-05,2000,16,45.0,split_001,45,5
stability_weight,2024-08-06,2000,14,45.0,split_001,45,5
stability_weight,2024-08-07,2000,14,45.0,split_001,45,5
stability_weight,2024-08-08,2000,26,45.0,split_001,45,5
stability_weight,2024-08-09,2000,34,45.0,split_001,45,5
stability_weight,2024-08-12,2000,36,45.0,split_001,45,5
stability_weight,2024-08-13,2000,36,45.0,split_001,45,5
stability_weight,2024-08-14,2000,37,45.0,split_001,45,5
stability_weight,2024-08-15,1999,37,45.0,split_001,45,5
stability_weight,2024-08-16,1999,37,45.0,split_001,45,5
stability_weight,2024-08-19,1999,37,45.0,split_001,45,5
stability_weight,2024-08-20,1999,37,45.0,split_001,45,5
stability_weight,2024-08-21,1999,37,45.0,split_001,45,5
stability_weight,2024-08-22,1999,18,45.0,split_001,45,5
stability_weight,2024-08-23,1998,18,45.0,split_001,45,5
stability_weight,2024-08-26,1998,17,45.0,split_001,45,5
stability_weight,2024-08-27,1998,16,45.0,split_001,45,5
stability_weight,2024-08-28,1998,16,45.0,split_001,45,5
stability_weight,2024-08-29,1998,16,45.0,split_001,45,5
stability_weight,2024-08-30,1998,16,45.0,split_001,45,5
stability_weight,2024-09-02,2000,15,45.0,split_001,45,5
stability_weight,2024-09-03,2000,14,45.0,split_001,45,5
stability_weight,2024-09-04,2000,14,45.0,split_001,45,5
stability_weight,2024-09-05,2000,16,45.0,split_001,45,5
stability_weight,2024-09-06,2000,16,45.0,split_001,45,5
stability_weight,2024-09-09,2000,14,45.0,split_001,45,5
stability_weight,2024-09-10,2000,14,45.0,split_001,45,5
stability_weight,2024-09-11,2000,16,45.0,split_001,45,5
stability_weight,2024-09-12,2000,16,45.0,split_001,45,5
stability_weight,2024-09-13,2000,14,45.0,split_001,45,5
stability_weight,2024-09-18,2000,14,45.0,split_001,45,5
stability_weight,2024-09-19,2000,16,45.0,split_001,45,5
stability_weight,2024-09-20,2000,14,45.0,split_001,45,5
stability_weight,2024-09-23,2000,14,45.0,split_001,45,5
stability_weight,2024-09-24,2000,14,45.0,split_001,45,5
stability_weight,2024-09-25,2000,14,45.0,split_001,45,5
stability_weight,2024-09-26,2000,14,45.0,split_001,45,5
stability_weight,2024-09-27,2000,14,45.0,split_001,45,5
stability_weight,2024-09-30,2000,14,45.0,split_001,45,5
stability_weight,2024-10-08,2000,14,45.0,split_001,45,5
stability_weight,2024-10-09,2000,14,45.0,split_001,45,5
stability_weight,2024-10-10,2000,16,45.0,split_001,45,5
stability_weight,2024-10-11,2000,16,45.0,split_001,45,5
stability_weight,2024-10-14,2000,16,45.0,split_001,45,5
stability_weight,2024-10-15,2000,14,45.0,split_001,45,5
stability_weight,2024-10-16,2000,14,45.0,split_001,45,5
stability_weight,2024-10-17,2000,26,45.0,split_001,45,5
stability_weight,2024-10-18,2000,34,45.0,split_001,45,5
stability_weight,2024-10-21,2000,18,45.0,split_001,45,5
stability_weight,2024-10-22,2000,18,45.0,split_001,45,5
stability_weight,2024-10-23,2000,18,45.0,split_001,45,5
stability_weight,2024-10-24,2000,16,45.0,split_001,45,5
stability_weight,2024-10-25,2000,16,45.0,split_001,45,5
stability_weight,2024-10-28,2000,16,45.0,split_001,45,5
stability_weight,2024-10-29,2000,16,45.0,split_001,45,5
stability_weight,2024-10-30,2000,16,45.0,split_001,45,5
stability_weight,2024-10-31,2000,16,45.0,split_001,45,5
stability_weight,2024-11-01,2000,16,45.0,split_001,45,5
stability_weight,2024-11-04,2000,16,45.0,split_001,45,5
stability_weight,2024-11-05,2000,16,45.0,split_001,45,5
stability_weight,2024-11-06,2000,16,45.0,split_001,45,5
stability_weight,2024-11-07,2000,14,45.0,split_001,45,5
stability_weight,2024-11-08,2000,14,45.0,split_001,45,5
stability_weight,2024-11-11,2000,16,45.0,split_001,45,5
stability_weight,2024-11-12,2000,16,45.0,split_001,45,5
stability_weight,2024-11-13,2000,16,45.0,split_001,45,5
stability_weight,2024-11-14,2000,16,45.0,split_001,45,5
stability_weight,2024-11-15,2000,16,45.0,split_001,45,5
stability_weight,2024-11-18,2000,14,45.0,split_001,45,5
stability_weight,2024-11-19,2000,14,45.0,split_001,45,5
stability_weight,2024-11-20,2000,16,45.0,split_001,45,5
stability_weight,2024-11-21,2000,16,45.0,split_001,45,5
stability_weight,2024-11-22,2000,14,45.0,split_001,45,5
