datetime,instrument,method,composite_score,component_count,outer_split_id,expected_component_count,component_fraction,component_policy_pass,renormalization_applied
2024-08-01,SH600000,equal_weight,-0.15579946024682526,45,split_001,45,1.0,True,False
2024-08-01,SH600004,equal_weight,0.3379246541180579,45,split_001,45,1.0,True,False
2024-08-01,SH600006,equal_weight,-1.1813256644750878,45,split_001,45,1.0,True,False
2024-08-01,SH600000,stability_weight,-0.15318856367989211,45,split_001,45,1.0,True,False
2024-08-01,SH600004,stability_weight,0.3522026446757148,45,split_001,45,1.0,True,False
2024-08-01,SH600006,stability_weight,-1.1997031443255208,45,split_001,45,1.0,True,False
2025-02-05,SH600000,equal_weight,-0.07638291122179508,46,split_002,46,1.0,True,False
2025-02-05,SH600004,equal_weight,0.43924425209536166,46,split_002,46,1.0,True,False
2025-02-05,SH600006,equal_weight,0.16613912109678022,45,split_002,46,0.9782608695652174,True,True
2025-02-05,SH600000,stability_weight,-0.19671565271570499,46,split_002,46,1.0,True,False
2025-02-05,SH600004,stability_weight,0.3857361934295209,46,split_002,46,1.0,True,False
2025-02-05,SH600006,stability_weight,0.19821399988614213,45,split_002,46,0.9782608695652174,True,True
2025-08-05,SH600000,equal_weight,-0.45342162550317483,52,split_003,52,1.0,True,False
2025-08-05,SH600006,equal_weight,0.4409079075546248,51,split_003,52,0.9807692307692307,True,True
2025-08-05,SH600008,equal_weight,0.5541815058405184,51,split_003,52,0.9807692307692307,True,True
2025-08-05,SH600000,stability_weight,-0.4767747108583251,52,split_003,52,1.0,True,False
2025-08-05,SH600006,stability_weight,0.4708280009820147,51,split_003,52,0.9807692307692307,True,True
2025-08-05,SH600008,stability_weight,0.6166947597314448,51,split_003,52,0.9807692307692307,True,True
