outer_split_id,factor,development_missing_count,development_row_count
split_001,alpha158_CNTD30,0,1408
split_001,alpha158_CNTP60,0,1408
split_001,alpha158_KLEN,5,1408
split_001,alpha158_KLOW,5,1408
split_001,alpha158_KMID,5,1408
split_001,alpha158_KUP,5,1408
split_001,alpha158_CORD10,2,1408
split_001,alpha158_CORD20,1,1408
split_001,alpha158_CORD5,3,1408
split_001,alpha158_CORD60,0,1408
split_001,alpha158_CORR10,2,1408
split_001,alpha158_CORR20,1,1408
split_001,alpha158_CORR5,3,1408
split_001,alpha158_HIGH0,5,1408
split_001,alpha158_LOW0,5,1408
split_001,alpha158_BETA10,5,1408
split_001,alpha158_BETA5,5,1408
split_001,alpha158_IMIN20,1,1408
split_001,alpha158_MAX5,5,1408
split_001,alpha158_MIN10,5,1408
split_001,alpha158_QTLD60,5,1408
split_001,alpha158_RSQR30,0,1408
split_001,alpha158_VMA30,5,1408
split_001,alpha158_VMA60,5,1408
split_001,alpha158_VSUMD60,0,1408
split_001,alpha360_LOW1,6,1408
split_001,alpha360_VOLUME13,6,1408
split_001,ta_trend_mass_index,0,1408
split_001,ta_volatility_bbhi,0,1408
split_001,ta_volume_cmf,12,1408
split_001,ta_volume_sma_em,11,1408
split_001,kunquant_alpha101_alpha003,0,1408
split_001,kunquant_alpha101_alpha011,8,1408
split_001,kunquant_alpha101_alpha012,8,1408
split_001,kunquant_alpha101_alpha013,12,1408
split_001,kunquant_alpha101_alpha020,8,1408
split_001,kunquant_alpha101_alpha029,27,1408
split_001,kunquant_alpha101_alpha034,8,1408
split_001,kunquant_alpha101_alpha050,0,1408
split_001,kunquant_alpha101_alpha055,0,1408
split_001,kunquant_alpha101_alpha062,0,1408
split_001,kunquant_alpha101_alpha094,27,1408
split_001,amount_cv_20,12,1408
split_001,amount_std_20,12,1408
split_001,corr_ret_amount_20,13,1408
