datetime,signal_date,gross_return,turnover,cost,net_return,universe_return,excess_return,net_excess_return
2024-02-01,2024-01-30,-0.0051170168444514275,1.0,0.0005,-0.005617016844451428,-0.010363990440964699,0.005246973596513271,0.004746973596513271
2024-02-02,2024-01-30,-0.013219892047345638,0.0,0.0,-0.013219892047345638,-0.030025748535990715,0.016805856488645077,0.016805856488645077
2024-02-05,2024-01-30,-0.007384140510112047,0.0,0.0,-0.007384140510112047,-0.05565432459115982,0.04827018408104777,0.04827018408104777
2024-02-06,2024-01-30,0.04810043424367905,0.0,0.0,0.04810043424367905,0.045001450926065445,0.0030989833176136017,0.0030989833176136017
2024-02-07,2024-01-30,0.026371635496616364,0.0,0.0,0.026371635496616364,0.017862962558865547,0.008508672937750816,0.008508672937750816
2024-02-08,2024-01-30,0.005097898188978434,0.0,0.0,0.005097898188978434,0.0395796075463295,-0.034481709357351065,-0.034481709357351065
2024-02-19,2024-01-30,0.0036358353681862354,0.0,0.0,0.0036358353681862354,0.021873656660318375,-0.01823782129213214,-0.01823782129213214
2024-02-20,2024-01-30,0.00322961388155818,0.0,0.0,0.00322961388155818,0.00830140896141529,-0.005071795079857111,-0.005071795079857111
2024-02-21,2024-01-30,0.006418440490961075,0.0,0.0,0.006418440490961075,0.009546847082674503,-0.0031284065917134285,-0.0031284065917134285
2024-02-22,2024-01-30,0.00695892795920372,0.0,0.0,0.00695892795920372,0.01793045923113823,-0.01097153127193451,-0.01097153127193451
2024-02-23,2024-01-30,0.001999753527343273,0.0,0.0,0.001999753527343273,0.015886181965470314,-0.01388642843812704,-0.01388642843812704
2024-02-26,2024-01-30,-0.007775359321385622,0.0,0.0,-0.007775359321385622,0.004466712474822998,-0.01224207179620862,-0.01224207179620862
2024-02-27,2024-01-30,0.00975974090397358,0.0,0.0,0.00975974090397358,0.024142349138855934,-0.014382608234882355,-0.014382608234882355
2024-02-28,2024-01-30,-0.011308223009109497,0.0,0.0,-0.011308223009109497,-0.040526341646909714,0.029218118637800217,0.029218118637800217
2024-02-29,2024-01-30,0.016914011910557747,0.0,0.0,0.016914011910557747,0.03376943618059158,-0.016855424270033836,-0.016855424270033836
2024-03-01,2024-01-30,0.0024886084720492363,0.0,0.0,0.0024886084720492363,0.010010981000959873,-0.007522372528910637,-0.007522372528910637
2024-03-04,2024-01-30,-2.2264421204454266e-05,0.0,0.0,-2.2264421204454266e-05,0.0032281922176480293,-0.0032504566388524836,-0.0032504566388524836
2024-03-05,2024-01-30,0.0013080600183457136,0.0,0.0,0.0013080600183457136,-0.008429447188973427,0.00973750720731914,0.00973750720731914
2024-03-06,2024-01-30,-0.0017481375252828002,0.0,0.0,-0.0017481375252828002,0.00409972807392478,-0.00584786559920758,-0.00584786559920758
2024-03-07,2024-01-30,-0.0019049507100135088,0.0,0.0,-0.0019049507100135088,-0.009855976328253746,0.007951025618240237,0.007951025618240237
2024-03-08,2024-03-06,0.003421620698645711,0.355,0.0001775,0.003244120698645711,0.01174974162131548,-0.008328120922669768,-0.008505620922669769
2024-03-11,2024-03-06,0.005487458780407906,0.0,0.0,0.005487458780407906,0.016414105892181396,-0.010926647111773491,-0.010926647111773491
2024-03-12,2024-03-06,-0.0012591168051585555,0.0,0.0,-0.0012591168051585555,0.005870944354683161,-0.007130061159841716,-0.007130061159841716
2024-03-13,2024-03-06,-0.006575283594429493,0.0,0.0,-0.006575283594429493,0.0002355240285396576,-0.0068108076229691505,-0.0068108076229691505
2024-03-14,2024-03-06,0.0013996935449540615,0.0,0.0,0.0013996935449540615,-0.006099421996623278,0.007499115541577339,0.007499115541577339
2024-03-15,2024-03-06,0.007064152508974075,0.0,0.0,0.007064152508974075,0.010578962974250317,-0.0035148104652762413,-0.0035148104652762413
2024-03-18,2024-03-06,0.006591630168259144,0.0,0.0,0.006591630168259144,0.016488386318087578,-0.009896756149828434,-0.009896756149828434
2024-03-19,2024-03-06,-0.00647008279338479,0.0,0.0,-0.00647008279338479,-0.005869707558304071,-0.000600375235080719,-0.000600375235080719
2024-03-20,2024-03-06,0.0017524749273434281,0.0,0.0,0.0017524749273434281,0.009359351359307766,-0.007606876431964338,-0.007606876431964338
2024-03-21,2024-03-06,9.569316898705438e-05,0.0,0.0,9.569316898705438e-05,0.0022783419117331505,-0.002182648742746096,-0.002182648742746096
2024-03-22,2024-03-06,-0.012658056803047657,0.0,0.0,-0.012658056803047657,-0.01080650556832552,-0.0018515512347221375,-0.0018515512347221375
2024-03-25,2024-03-06,-0.0025468184612691402,0.0,0.0,-0.0025468184612691402,-0.020586850121617317,0.018040031660348177,0.018040031660348177
2024-03-26,2024-03-06,0.004092573653906584,0.0,0.0,0.004092573653906584,-0.0014941975241526961,0.00558677117805928,0.00558677117805928
2024-03-27,2024-03-06,-0.008490746840834618,0.0,0.0,-0.008490746840834618,-0.03303951025009155,0.024548763409256935,0.024548763409256935
2024-03-28,2024-03-06,0.003222326748073101,0.0,0.0,0.003222326748073101,0.022395240142941475,-0.019172913394868374,-0.019172913394868374
2024-03-29,2024-03-06,0.010950226336717606,0.0,0.0,0.010950226336717606,0.011331710033118725,-0.00038148369640111923,-0.00038148369640111923
2024-04-01,2024-03-06,0.014764713123440742,0.0,0.0,0.014764713123440742,0.020766524598002434,-0.006001811474561691,-0.006001811474561691
2024-04-02,2024-03-06,-1.1076032933488023e-05,0.0,0.0,-1.1076032933488023e-05,-0.0061669317074120045,0.0061558556744785164,0.0061558556744785164
2024-04-03,2024-03-06,0.005239192396402359,0.0,0.0,0.005239192396402359,-0.006585535127669573,0.011824727524071932,0.011824727524071932
2024-04-08,2024-03-06,-0.00524428253993392,0.0,0.0,-0.00524428253993392,-0.01732170768082142,0.012077425140887499,0.012077425140887499
2024-04-09,2024-04-03,0.00276852841489017,0.355,0.0001775,0.00259102841489017,0.008688249625265598,-0.005919721210375428,-0.006097221210375429
2024-04-10,2024-04-03,-0.00737073365598917,0.0,0.0,-0.00737073365598917,-0.017721382901072502,0.010350649245083332,0.010350649245083332
2024-04-11,2024-04-03,0.004656345117837191,0.0,0.0,0.004656345117837191,0.0035180069971829653,0.0011383381206542253,0.0011383381206542253
2024-04-12,2024-04-03,-0.006229399237781763,0.0,0.0,-0.006229399237781763,-0.007836115546524525,0.0016067163087427616,0.0016067163087427616
2024-04-15,2024-04-03,0.016408471390604973,0.0,0.0,0.016408471390604973,-0.014293541200459003,0.030702012591063976,0.030702012591063976
2024-04-16,2024-04-03,-0.012908834964036942,0.0,0.0,-0.012908834964036942,-0.04873940721154213,0.03583057224750519,0.03583057224750519
2024-04-17,2024-04-03,0.020977947860956192,0.0,0.0,0.020977947860956192,0.04584458842873573,-0.02486664056777954,-0.02486664056777954
2024-04-18,2024-04-03,0.0034162329975515604,0.0,0.0,0.0034162329975515604,0.0002898411185014993,0.003126391879050061,0.003126391879050061
2024-04-19,2024-04-03,0.002741396427154541,0.0,0.0,0.002741396427154541,-0.003525900188833475,0.006267296615988016,0.006267296615988016
2024-04-22,2024-04-03,-0.0069035496562719345,0.0,0.0,-0.0069035496562719345,-0.01002587378025055,0.003122324123978615,0.003122324123978615
2024-04-23,2024-04-03,-0.011107303202152252,0.0,0.0,-0.011107303202152252,-0.004689328838139772,-0.00641797436401248,-0.00641797436401248
2024-04-24,2024-04-03,0.0033399316016584635,0.0,0.0,0.0033399316016584635,0.01643463596701622,-0.013094704365357757,-0.013094704365357757
2024-04-25,2024-04-03,0.003495913464576006,0.0,0.0,0.003495913464576006,0.0011340237688273191,0.002361889695748687,0.002361889695748687
2024-04-26,2024-04-03,0.012154935859143734,0.0,0.0,0.012154935859143734,0.018144551664590836,-0.005989615805447102,-0.005989615805447102
2024-04-29,2024-04-03,0.008721929974853992,0.0,0.0,0.008721929974853992,0.02293798141181469,-0.014216051436960697,-0.014216051436960697
2024-04-30,2024-04-03,-0.0037776934914290905,0.0,0.0,-0.0037776934914290905,-0.007470995653420687,0.0036933021619915962,0.0036933021619915962
2024-05-06,2024-04-03,0.017743950709700584,0.0,0.0,0.017743950709700584,0.0185942891985178,-0.000850338488817215,-0.000850338488817215
2024-05-07,2024-04-03,-0.0004169505846221,0.0,0.0,-0.0004169505846221,0.004284136928617954,-0.004701087513240054,-0.004701087513240054
2024-05-08,2024-04-03,-0.007400239817798138,0.0,0.0,-0.007400239817798138,-0.01371888630092144,0.0063186464831233025,0.0063186464831233025
2024-05-09,2024-04-03,0.011060826480388641,0.0,0.0,0.011060826480388641,0.013589104637503624,-0.0025282781571149826,-0.0025282781571149826
2024-05-10,2024-05-08,0.0012496620183810592,0.33999999999999997,0.00016999999999999999,0.0010796620183810592,-0.00539202056825161,0.006641682586632669,0.006471682586632669
2024-05-13,2024-05-08,0.0024940469302237034,0.0,0.0,0.0024940469302237034,-0.00979702454060316,0.012291071470826864,0.012291071470826864
