datetime,batch_id,factor,rank_ic,cross_section_count
2021-02-01,alpha158,alpha158_BETA30,-0.3780268622822926,1992
2021-02-01,alpha158,alpha158_CNTD30,-0.364269277107706,1993
2021-02-01,alpha158,alpha158_CNTN30,0.28930170157685964,1993
2021-02-01,alpha158,alpha158_CNTP5,-0.06662298290098041,1993
2021-02-01,alpha158,alpha158_CORD30,-0.11997346986416817,1993
2021-02-01,alpha158,alpha158_CORR30,-0.05013014725305145,1993
2021-02-01,alpha158,alpha158_IMAX60,-0.35131019212758585,1993
2021-02-01,alpha158,alpha158_IMXD10,-0.3225665686210825,1993
2021-02-01,alpha158,alpha158_KLOW2,0.019601108019396192,1992
2021-02-01,alpha158,alpha158_KSFT2,-0.023189707974872145,1992
2021-02-01,alpha158,alpha158_MA10,0.1268691918473088,1992
2021-02-01,alpha158,alpha158_MAX20,0.06808368630370955,1992
2021-02-01,alpha158,alpha158_MIN20,0.30293877001118547,1992
2021-02-01,alpha158,alpha158_OPEN0,0.07153228094870635,1992
2021-02-01,alpha158,alpha158_QTLD30,0.3296649657582037,1992
2021-02-01,alpha158,alpha158_QTLU5,0.050744026258327295,1992
2021-02-01,alpha158,alpha158_RANK60,-0.43541607167456614,1992
2021-02-01,alpha158,alpha158_ROC10,0.1933956851326687,1986
2021-02-01,alpha158,alpha158_RSQR10,0.2566350062773197,1992
2021-02-01,alpha158,alpha158_RSV20,-0.23857437849674218,1992
2021-02-01,alpha158,alpha158_STD30,-0.18546054500997555,1992
2021-02-01,alpha158,alpha158_SUMD30,-0.47317676973663014,1993
2021-02-01,alpha158,alpha158_SUMN30,0.4731767646104326,1993
2021-02-01,alpha158,alpha158_SUMP30,-0.4731768216345553,1993
2021-02-01,alpha158,alpha158_VMA30,0.00010526594397803482,1992
2021-02-01,alpha158,alpha158_VSTD30,0.07855056368779482,1992
2021-02-01,alpha158,alpha158_VSUMD30,-0.03842976736269169,1993
2021-02-01,alpha158,alpha158_VSUMN30,0.03842884724940151,1993
2021-02-01,alpha158,alpha158_VSUMP30,-0.03842976736269169,1993
2021-02-01,alpha158,alpha158_WVMA30,0.1435364230221384,1993
2021-02-02,alpha158,alpha158_BETA30,-0.3664109368571024,1992
2021-02-02,alpha158,alpha158_CNTD30,-0.3689056015023492,1993
2021-02-02,alpha158,alpha158_CNTN30,0.2970901804895161,1993
2021-02-02,alpha158,alpha158_CNTP5,-0.21108238482964092,1993
2021-02-02,alpha158,alpha158_CORD30,-0.10218899407950051,1993
2021-02-02,alpha158,alpha158_CORR30,-0.0047038951439847265,1993
2021-02-02,alpha158,alpha158_IMAX60,-0.3571382785073549,1993
2021-02-02,alpha158,alpha158_IMXD10,-0.3257666523641952,1993
2021-02-02,alpha158,alpha158_KLOW2,-0.08223498303930646,1992
2021-02-02,alpha158,alpha158_KSFT2,-0.26701746975654955,1992
2021-02-02,alpha158,alpha158_MA10,0.22214981960803643,1992
2021-02-02,alpha158,alpha158_MAX20,0.1448147016558102,1992
2021-02-02,alpha158,alpha158_MIN20,0.3698154257506587,1992
2021-02-02,alpha158,alpha158_OPEN0,0.1962030246190938,1992
2021-02-02,alpha158,alpha158_QTLD30,0.36547496378220723,1992
2021-02-02,alpha158,alpha158_QTLU5,0.21527129747997537,1992
2021-02-02,alpha158,alpha158_RANK60,-0.455284147877475,1992
2021-02-02,alpha158,alpha158_ROC10,0.32998536749483215,1987
2021-02-02,alpha158,alpha158_RSQR10,0.24869423842800542,1993
2021-02-02,alpha158,alpha158_RSV20,-0.3166660640037854,1992
2021-02-02,alpha158,alpha158_STD30,-0.16149092264910733,1992
2021-02-02,alpha158,alpha158_SUMD30,-0.4692421526896672,1993
2021-02-02,alpha158,alpha158_SUMN30,0.4692407980428743,1993
2021-02-02,alpha158,alpha158_SUMP30,-0.4692404780182503,1993
2021-02-02,alpha158,alpha158_VMA30,0.12859273046805192,1992
2021-02-02,alpha158,alpha158_VSTD30,0.18680108470150392,1992
2021-02-02,alpha158,alpha158_VSUMD30,-0.049262437699477295,1993
2021-02-02,alpha158,alpha158_VSUMN30,0.04926323354548657,1993
2021-02-02,alpha158,alpha158_VSUMP30,-0.049261784381796014,1993
2021-02-02,alpha158,alpha158_WVMA30,0.1443954575620069,1993
2021-02-03,alpha158,alpha158_BETA30,-0.3909393291688574,1993
2021-02-03,alpha158,alpha158_CNTD30,-0.3592854362703484,1993
2021-02-03,alpha158,alpha158_CNTN30,0.293934892874825,1993
2021-02-03,alpha158,alpha158_CNTP5,-0.2479863791944435,1993
2021-02-03,alpha158,alpha158_CORD30,-0.08146949209381456,1993
2021-02-03,alpha158,alpha158_CORR30,0.019577722222918405,1993
2021-02-03,alpha158,alpha158_IMAX60,-0.38692836494428334,1993
2021-02-03,alpha158,alpha158_IMXD10,-0.301429378975829,1993
2021-02-03,alpha158,alpha158_KLOW2,-0.03196219566357879,1993
2021-02-03,alpha158,alpha158_KSFT2,-0.08741614215289231,1993
2021-02-03,alpha158,alpha158_MA10,0.2148894470271634,1993
2021-02-03,alpha158,alpha158_MAX20,0.17410983963735063,1993
2021-02-03,alpha158,alpha158_MIN20,0.34864751917798015,1993
2021-02-03,alpha158,alpha158_OPEN0,0.06350147553938594,1993
2021-02-03,alpha158,alpha158_QTLD30,0.3721220885262196,1993
2021-02-03,alpha158,alpha158_QTLU5,0.21639777996755305,1993
2021-02-03,alpha158,alpha158_RANK60,-0.46233787941571497,1993
2021-02-03,alpha158,alpha158_ROC10,0.282929841250452,1987
2021-02-03,alpha158,alpha158_RSQR10,0.22568455610886234,1993
2021-02-03,alpha158,alpha158_RSV20,-0.3150558917445571,1993
2021-02-03,alpha158,alpha158_STD30,-0.108743022287261,1993
2021-02-03,alpha158,alpha158_SUMD30,-0.4573962578333222,1993
2021-02-03,alpha158,alpha158_SUMN30,0.4573961869345148,1993
2021-02-03,alpha158,alpha158_SUMP30,-0.4573962578333222,1993
2021-02-03,alpha158,alpha158_VMA30,0.09877609939245087,1993
2021-02-03,alpha158,alpha158_VSTD30,0.16915511675073272,1993
2021-02-03,alpha158,alpha158_VSUMD30,-0.13910726935082743,1993
2021-02-03,alpha158,alpha158_VSUMN30,0.13910726935082743,1993
2021-02-03,alpha158,alpha158_VSUMP30,-0.13910726935082743,1993
2021-02-03,alpha158,alpha158_WVMA30,0.11663812508919731,1993
2021-02-04,alpha158,alpha158_BETA30,-0.32751359592734797,1992
2021-02-04,alpha158,alpha158_CNTD30,-0.31283894080289376,1992
2021-02-04,alpha158,alpha158_CNTN30,0.25853531589829354,1992
2021-02-04,alpha158,alpha158_CNTP5,-0.2789884372470089,1992
2021-02-04,alpha158,alpha158_CORD30,-0.036284179892067864,1992
2021-02-04,alpha158,alpha158_CORR30,0.05674303026690673,1992
2021-02-04,alpha158,alpha158_IMAX60,-0.33356413333368934,1992
2021-02-04,alpha158,alpha158_IMXD10,-0.23751083698137979,1992
2021-02-04,alpha158,alpha158_KLOW2,0.053977574128307455,1992
2021-02-04,alpha158,alpha158_KSFT2,-0.09578217273610755,1992
2021-02-04,alpha158,alpha158_MA10,0.19815358279159273,1992
2021-02-04,alpha158,alpha158_MAX20,0.15667159218062482,1992
2021-02-04,alpha158,alpha158_MIN20,0.301605415128059,1992
2021-02-04,alpha158,alpha158_OPEN0,0.17542161292589406,1992
2021-02-04,alpha158,alpha158_QTLD30,0.32129476201948154,1992
2021-02-04,alpha158,alpha158_QTLU5,0.19807221618650636,1992
2021-02-04,alpha158,alpha158_RANK60,-0.40024054939710585,1992
2021-02-04,alpha158,alpha158_ROC10,0.23188702333792674,1986
2021-02-04,alpha158,alpha158_RSQR10,0.1512337393944841,1992
2021-02-04,alpha158,alpha158_RSV20,-0.2748110222315305,1992
2021-02-04,alpha158,alpha158_STD30,-0.06870331120872529,1992
2021-02-04,alpha158,alpha158_SUMD30,-0.3936233129636859,1992
2021-02-04,alpha158,alpha158_SUMN30,0.3936234201423303,1992
2021-02-04,alpha158,alpha158_SUMP30,-0.393623279863276,1992
2021-02-04,alpha158,alpha158_VMA30,0.021346563867001428,1992
2021-02-04,alpha158,alpha158_VSTD30,0.12711015137604353,1992
2021-02-04,alpha158,alpha158_VSUMD30,-0.007092411574125638,1992
2021-02-04,alpha158,alpha158_VSUMN30,0.007092411574125638,1992
2021-02-04,alpha158,alpha158_VSUMP30,-0.007092411574125638,1992
2021-02-04,alpha158,alpha158_WVMA30,0.10760695301683255,1992
2021-02-05,alpha158,alpha158_BETA30,-0.35883028080362234,1990
2021-02-05,alpha158,alpha158_CNTD30,-0.3448728930458691,1991
2021-02-05,alpha158,alpha158_CNTN30,0.2806301623300909,1991
2021-02-05,alpha158,alpha158_CNTP5,-0.27614004667599146,1991
2021-02-05,alpha158,alpha158_CORD30,-0.04255034074025164,1991
2021-02-05,alpha158,alpha158_CORR30,0.07050259446825155,1991
2021-02-05,alpha158,alpha158_IMAX60,-0.37949663058947747,1991
2021-02-05,alpha158,alpha158_IMXD10,-0.18832090557917025,1991
2021-02-05,alpha158,alpha158_KLOW2,-0.08610318944521364,1990
2021-02-05,alpha158,alpha158_KSFT2,-0.08566160019113604,1990
2021-02-05,alpha158,alpha158_MA10,0.19824265719072584,1990
2021-02-05,alpha158,alpha158_MAX20,0.1698301121675702,1990
2021-02-05,alpha158,alpha158_MIN20,0.30036716934386315,1990
2021-02-05,alpha158,alpha158_OPEN0,-0.021762586027182403,1990
2021-02-05,alpha158,alpha158_QTLD30,0.33573634508193306,1990
2021-02-05,alpha158,alpha158_QTLU5,0.1374859723034267,1990
2021-02-05,alpha158,alpha158_RANK60,-0.4231789643708369,1990
2021-02-05,alpha158,alpha158_ROC10,0.19016585501453157,1984
2021-02-05,alpha158,alpha158_RSQR10,0.18289934531866703,1991
2021-02-05,alpha158,alpha158_RSV20,-0.27604656768310837,1990
2021-02-05,alpha158,alpha158_STD30,-0.0335925373192275,1990
2021-02-05,alpha158,alpha158_SUMD30,-0.4352313330049034,1991
2021-02-05,alpha158,alpha158_SUMN30,0.4352322030240437,1991
2021-02-05,alpha158,alpha158_SUMP30,-0.4352316030473803,1991
2021-02-05,alpha158,alpha158_VMA30,0.15247091764417284,1990
2021-02-05,alpha158,alpha158_VSTD30,0.21947040694011397,1990
2021-02-05,alpha158,alpha158_VSUMD30,-0.18298770534241773,1991
2021-02-05,alpha158,alpha158_VSUMN30,0.18298770534241773,1991
2021-02-05,alpha158,alpha158_VSUMP30,-0.18298893468288796,1991
2021-02-05,alpha158,alpha158_WVMA30,0.13604647432556077,1991
2021-02-08,alpha158,alpha158_BETA30,-0.35083655091959376,1991
2021-02-08,alpha158,alpha158_CNTD30,-0.39075856502532863,1992
2021-02-08,alpha158,alpha158_CNTN30,0.32577964691827305,1992
2021-02-08,alpha158,alpha158_CNTP5,-0.26854797791456153,1992
2021-02-08,alpha158,alpha158_CORD30,-0.05770298940681211,1992
2021-02-08,alpha158,alpha158_CORR30,0.08387863450819948,1992
2021-02-08,alpha158,alpha158_IMAX60,-0.4203958321454235,1992
2021-02-08,alpha158,alpha158_IMXD10,-0.16809095650788247,1992
2021-02-08,alpha158,alpha158_KLOW2,-0.11912159011654484,1991
2021-02-08,alpha158,alpha158_KSFT2,-0.2512070398462277,1991
2021-02-08,alpha158,alpha158_MA10,0.221590793419186,1991
2021-02-08,alpha158,alpha158_MAX20,0.16119389702938572,1991
2021-02-08,alpha158,alpha158_MIN20,0.3634240299264317,1991
2021-02-08,alpha158,alpha158_OPEN0,0.17177749565655764,1991
2021-02-08,alpha158,alpha158_QTLD30,0.32194060723165324,1991
2021-02-08,alpha158,alpha158_QTLU5,0.12786662506801416,1991
2021-02-08,alpha158,alpha158_RANK60,-0.42584934761359977,1991
2021-02-08,alpha158,alpha158_ROC10,0.12893676753278574,1984
2021-02-08,alpha158,alpha158_RSQR10,0.17088886205836867,1992
2021-02-08,alpha158,alpha158_RSV20,-0.3088649124912613,1991
2021-02-08,alpha158,alpha158_STD30,-0.039388062682691495,1991
2021-02-08,alpha158,alpha158_SUMD30,-0.46438258120578846,1992
2021-02-08,alpha158,alpha158_SUMN30,0.4643824902392428,1992
2021-02-08,alpha158,alpha158_SUMP30,-0.46438258120578846,1992
2021-02-08,alpha158,alpha158_VMA30,0.16265640339769633,1991
2021-02-08,alpha158,alpha158_VSTD30,0.23742037083351678,1991
2021-02-08,alpha158,alpha158_VSUMD30,-0.17354525055509257,1992
2021-02-08,alpha158,alpha158_VSUMN30,0.17354574174098156,1992
2021-02-08,alpha158,alpha158_VSUMP30,-0.17354574174098156,1992
2021-02-08,alpha158,alpha158_WVMA30,0.1510392793079807,1992
2021-02-09,alpha158,alpha158_BETA30,-0.33679935101370656,1992
2021-02-09,alpha158,alpha158_CNTD30,-0.3611607682115858,1995
2021-02-09,alpha158,alpha158_CNTN30,0.29818757856002326,1995
2021-02-09,alpha158,alpha158_CNTP5,-0.1954931543584816,1995
2021-02-09,alpha158,alpha158_CORD30,-0.04735993576244484,1995
2021-02-09,alpha158,alpha158_CORR30,0.11389556454026409,1995
2021-02-09,alpha158,alpha158_IMAX60,-0.4147433316466575,1995
2021-02-09,alpha158,alpha158_IMXD10,-0.21843229708760525,1995
2021-02-09,alpha158,alpha158_KLOW2,0.01779563907071149,1992
2021-02-09,alpha158,alpha158_KSFT2,-0.028330272180282313,1992
2021-02-09,alpha158,alpha158_MA10,0.30569158090204923,1992
2021-02-09,alpha158,alpha158_MAX20,0.2065000889477782,1992
2021-02-09,alpha158,alpha158_MIN20,0.3864612954466907,1992
2021-02-09,alpha158,alpha158_OPEN0,0.13167640652437526,1992
2021-02-09,alpha158,alpha158_QTLD30,0.3506333119249651,1992
2021-02-09,alpha158,alpha158_QTLU5,0.19653902671073814,1992
2021-02-09,alpha158,alpha158_RANK60,-0.41849170928370216,1992
2021-02-09,alpha158,alpha158_ROC10,0.2420301068199091,1986
2021-02-09,alpha158,alpha158_RSQR10,0.16049487541507862,1995
2021-02-09,alpha158,alpha158_RSV20,-0.3340755117287904,1992
2021-02-09,alpha158,alpha158_STD30,0.004809204859288076,1992
2021-02-09,alpha158,alpha158_SUMD30,-0.44032617347198283,1995
2021-02-09,alpha158,alpha158_SUMN30,0.44032609278343127,1995
2021-02-09,alpha158,alpha158_SUMP30,-0.44032609278343127,1995
2021-02-09,alpha158,alpha158_VMA30,0.1787893574869709,1992
2021-02-09,alpha158,alpha158_VSTD30,0.25658067389389017,1992
2021-02-09,alpha158,alpha158_VSUMD30,-0.19440587178906388,1995
2021-02-09,alpha158,alpha158_VSUMN30,0.19440587178906388,1995
2021-02-09,alpha158,alpha158_VSUMP30,-0.19440626329099953,1995
2021-02-09,alpha158,alpha158_WVMA30,0.15493108525416244,1995
2021-02-10,alpha158,alpha158_BETA30,-0.24167661094843607,1991
2021-02-10,alpha158,alpha158_CNTD30,-0.31859619457834704,1991
2021-02-10,alpha158,alpha158_CNTN30,0.2554585874405778,1991
2021-02-10,alpha158,alpha158_CNTP5,-0.1472908184388085,1991
2021-02-10,alpha158,alpha158_CORD30,-0.04929304314794626,1991
2021-02-10,alpha158,alpha158_CORR30,0.11684300083763038,1991
2021-02-10,alpha158,alpha158_IMAX60,-0.3748379185896937,1991
2021-02-10,alpha158,alpha158_IMXD10,-0.19223614382646215,1991
2021-02-10,alpha158,alpha158_KLOW2,-0.07324938545054412,1991
2021-02-10,alpha158,alpha158_KSFT2,-0.15587772308816583,1991
2021-02-10,alpha158,alpha158_MA10,0.26498875141830286,1991
2021-02-10,alpha158,alpha158_MAX20,0.15493664130689838,1991
2021-02-10,alpha158,alpha158_MIN20,0.37641689896289054,1991
2021-02-10,alpha158,alpha158_OPEN0,0.10783300840556634,1991
2021-02-10,alpha158,alpha158_QTLD30,0.2930663343295858,1991
2021-02-10,alpha158,alpha158_QTLU5,0.1431772510981979,1991
2021-02-10,alpha158,alpha158_RANK60,-0.36446463939765705,1991
2021-02-10,alpha158,alpha158_ROC10,0.195374459598604,1986
2021-02-10,alpha158,alpha158_RSQR10,0.060823604541733176,1991
2021-02-10,alpha158,alpha158_RSV20,-0.2860121657570431,1991
2021-02-10,alpha158,alpha158_STD30,-0.05688503794296225,1991
2021-02-10,alpha158,alpha158_SUMD30,-0.3826891079665632,1991
2021-02-10,alpha158,alpha158_SUMN30,0.38268868010983276,1991
2021-02-10,alpha158,alpha158_SUMP30,-0.3826891079665632,1991
2021-02-10,alpha158,alpha158_VMA30,0.17156012787615232,1991
2021-02-10,alpha158,alpha158_VSTD30,0.2496955854394346,1991
2021-02-10,alpha158,alpha158_VSUMD30,-0.1577604646094964,1991
2021-02-10,alpha158,alpha158_VSUMN30,0.1577604646094964,1991
2021-02-10,alpha158,alpha158_VSUMP30,-0.1577604646094964,1991
2021-02-10,alpha158,alpha158_WVMA30,0.17397610976095287,1991
2021-02-18,alpha158,alpha158_BETA30,-0.1857592736085415,1990
2021-02-18,alpha158,alpha158_CNTD30,-0.22658177361937296,1994
2021-02-18,alpha158,alpha158_CNTN30,0.16652069018204027,1994
2021-02-18,alpha158,alpha158_CNTP5,0.04912701877607839,1994
2021-02-18,alpha158,alpha158_CORD30,0.0007591846874117374,1994
2021-02-18,alpha158,alpha158_CORR30,0.12510680841471836,1994
2021-02-18,alpha158,alpha158_IMAX60,-0.33928710853945876,1994
2021-02-18,alpha158,alpha158_IMXD10,-0.15020309051370045,1993
2021-02-18,alpha158,alpha158_KLOW2,-0.1159979347644099,1990
2021-02-18,alpha158,alpha158_KSFT2,0.28747734268555236,1990
2021-02-18,alpha158,alpha158_MA10,-0.0035995966546769945,1990
2021-02-18,alpha158,alpha158_MAX20,0.011113474987383269,1990
2021-02-18,alpha158,alpha158_MIN20,0.19072921408084595,1990
2021-02-18,alpha158,alpha158_OPEN0,-0.30856580261317995,1990
2021-02-18,alpha158,alpha158_QTLD30,0.14831963433703407,1990
2021-02-18,alpha158,alpha158_QTLU5,-0.24534951369110888,1990
2021-02-18,alpha158,alpha158_RANK60,-0.24663200911522784,1990
2021-02-18,alpha158,alpha158_ROC10,0.13388295870405686,1988
2021-02-18,alpha158,alpha158_RSQR10,-0.056266509335062304,1993
2021-02-18,alpha158,alpha158_RSV20,-0.08080265634835927,1990
2021-02-18,alpha158,alpha158_STD30,-0.10714460407248103,1990
2021-02-18,alpha158,alpha158_SUMD30,-0.28363045735069187,1994
2021-02-18,alpha158,alpha158_SUMN30,0.283632119263658,1994
2021-02-18,alpha158,alpha158_SUMP30,-0.28363113175876925,1994
2021-02-18,alpha158,alpha158_VMA30,0.01662406201463192,1990
2021-02-18,alpha158,alpha158_VSTD30,0.12650373843105361,1990
2021-02-18,alpha158,alpha158_VSUMD30,-0.06939866166597236,1994
2021-02-18,alpha158,alpha158_VSUMN30,0.06939865036662828,1994
2021-02-18,alpha158,alpha158_VSUMP30,-0.0693979692547659,1994
2021-02-18,alpha158,alpha158_WVMA30,0.12895491939942308,1994
2021-02-19,alpha158,alpha158_BETA30,-0.09175468402486743,1997
2021-02-19,alpha158,alpha158_CNTD30,-0.1396702667508315,1997
2021-02-19,alpha158,alpha158_CNTN30,0.08696109686528646,1997
2021-02-19,alpha158,alpha158_CNTP5,0.10321967672188614,1997
2021-02-19,alpha158,alpha158_CORD30,-0.011574732637700435,1997
2021-02-19,alpha158,alpha158_CORR30,0.09043736675265363,1997
2021-02-19,alpha158,alpha158_IMAX60,-0.26754313691804754,1997
2021-02-19,alpha158,alpha158_IMXD10,0.0060808685883398505,1997
2021-02-19,alpha158,alpha158_KLOW2,-0.22493087980490462,1997
2021-02-19,alpha158,alpha158_KSFT2,0.14424614092501564,1997
2021-02-19,alpha158,alpha158_MA10,-0.11644912692830645,1997
2021-02-19,alpha158,alpha158_MAX20,-0.10212755629333321,1997
2021-02-19,alpha158,alpha158_MIN20,0.08333390063267213,1997
2021-02-19,alpha158,alpha158_OPEN0,-0.1877270157003401,1997
2021-02-19,alpha158,alpha158_QTLD30,0.024338499267850058,1997
2021-02-19,alpha158,alpha158_QTLU5,-0.23361451153275,1997
2021-02-19,alpha158,alpha158_RANK60,-0.13915825384335187,1997
2021-02-19,alpha158,alpha158_ROC10,0.01372246465657832,1995
2021-02-19,alpha158,alpha158_RSQR10,-0.05344130902935755,1996
2021-02-19,alpha158,alpha158_RSV20,0.07494592986206643,1997
2021-02-19,alpha158,alpha158_STD30,-0.15377430786867627,1997
2021-02-19,alpha158,alpha158_SUMD30,-0.17208480084056837,1997
2021-02-19,alpha158,alpha158_SUMN30,0.17208609604003913,1997
2021-02-19,alpha158,alpha158_SUMP30,-0.17208480084056837,1997
2021-02-19,alpha158,alpha158_VMA30,-0.05507973731928563,1997
2021-02-19,alpha158,alpha158_VSTD30,0.06471488633866572,1997
2021-02-19,alpha158,alpha158_VSUMD30,-0.016817994856649556,1997
2021-02-19,alpha158,alpha158_VSUMN30,0.016817994856649556,1997
2021-02-19,alpha158,alpha158_VSUMP30,-0.016817994856649556,1997
2021-02-19,alpha158,alpha158_WVMA30,0.10008285451992309,1997
2021-02-22,alpha158,alpha158_BETA30,-0.11837599756746112,1995
2021-02-22,alpha158,alpha158_CNTD30,-0.11447140337737545,1995
2021-02-22,alpha158,alpha158_CNTN30,0.06627641174397454,1995
2021-02-22,alpha158,alpha158_CNTP5,0.24157522369483458,1995
2021-02-22,alpha158,alpha158_CORD30,-0.00046001917833458163,1995
2021-02-22,alpha158,alpha158_CORR30,0.07460321220593212,1995
2021-02-22,alpha158,alpha158_IMAX60,-0.3098447151186411,1995
2021-02-22,alpha158,alpha158_IMXD10,0.14886096413941202,1995
2021-02-22,alpha158,alpha158_KLOW2,-0.044367297113272065,1995
2021-02-22,alpha158,alpha158_KSFT2,0.051534613678086816,1995
2021-02-22,alpha158,alpha158_MA10,-0.18584094421331496,1995
2021-02-22,alpha158,alpha158_MAX20,-0.15259046221868328,1995
2021-02-22,alpha158,alpha158_MIN20,-0.0019007950232103623,1995
2021-02-22,alpha158,alpha158_OPEN0,-0.19131935652865995,1995
2021-02-22,alpha158,alpha158_QTLD30,-0.027714309065813982,1995
2021-02-22,alpha158,alpha158_QTLU5,-0.23400672120339838,1995
2021-02-22,alpha158,alpha158_RANK60,-0.1546386984582804,1995
2021-02-22,alpha158,alpha158_ROC10,-0.03995666850067439,1992
2021-02-22,alpha158,alpha158_RSQR10,0.056389809356708814,1995
2021-02-22,alpha158,alpha158_RSV20,0.13034332598690918,1995
2021-02-22,alpha158,alpha158_STD30,-0.17101721244911686,1995
2021-02-22,alpha158,alpha158_SUMD30,-0.16984077785326906,1995
2021-02-22,alpha158,alpha158_SUMN30,0.16984136871013447,1995
2021-02-22,alpha158,alpha158_SUMP30,-0.16984077785326906,1995
2021-02-22,alpha158,alpha158_VMA30,-0.1428724884524249,1995
2021-02-22,alpha158,alpha158_VSTD30,-0.005538303862408115,1995
2021-02-22,alpha158,alpha158_VSUMD30,0.05118570081122518,1995
2021-02-22,alpha158,alpha158_VSUMN30,-0.05118522252124094,1995
2021-02-22,alpha158,alpha158_VSUMP30,0.05118522252124094,1995
2021-02-22,alpha158,alpha158_WVMA30,0.09106636136149658,1995
2021-02-23,alpha158,alpha158_BETA30,-0.07190854806680114,1994
2021-02-23,alpha158,alpha158_CNTD30,-0.0779712147480272,1995
2021-02-23,alpha158,alpha158_CNTN30,0.029717047747441373,1995
2021-02-23,alpha158,alpha158_CNTP5,0.16513448974753886,1995
2021-02-23,alpha158,alpha158_CORD30,0.008727359898905903,1995
2021-02-23,alpha158,alpha158_CORR30,0.04685617263437613,1995
2021-02-23,alpha158,alpha158_IMAX60,-0.2698345316965227,1995
2021-02-23,alpha158,alpha158_IMXD10,0.1767121211966134,1995
2021-02-23,alpha158,alpha158_KLOW2,-0.039294815515664855,1994
2021-02-23,alpha158,alpha158_KSFT2,-0.16552407482614312,1994
2021-02-23,alpha158,alpha158_MA10,-0.07340470004793813,1994
2021-02-23,alpha158,alpha158_MAX20,-0.14767801650677673,1994
2021-02-23,alpha158,alpha158_MIN20,0.07532410248008467,1994
2021-02-23,alpha158,alpha158_OPEN0,0.10634390695024046,1994
2021-02-23,alpha158,alpha158_QTLD30,0.03673769700562187,1994
2021-02-23,alpha158,alpha158_QTLU5,-0.1362232842768499,1994
2021-02-23,alpha158,alpha158_RANK60,-0.14557927142881452,1994
2021-02-23,alpha158,alpha158_ROC10,-0.048952528788947215,1991
2021-02-23,alpha158,alpha158_RSQR10,0.17327001215297813,1995
2021-02-23,alpha158,alpha158_RSV20,0.08524952414507839,1994
2021-02-23,alpha158,alpha158_STD30,-0.2307046155724463,1994
2021-02-23,alpha158,alpha158_SUMD30,-0.1356380239419323,1995
2021-02-23,alpha158,alpha158_SUMN30,0.1356365695652587,1995
2021-02-23,alpha158,alpha158_SUMP30,-0.13563480516567428,1995
2021-02-23,alpha158,alpha158_VMA30,-0.0037464329784479325,1994
2021-02-23,alpha158,alpha158_VSTD30,0.0937285879802926,1994
2021-02-23,alpha158,alpha158_VSUMD30,-0.024366119002340557,1995
2021-02-23,alpha158,alpha158_VSUMN30,0.024365803904055256,1995
2021-02-23,alpha158,alpha158_VSUMP30,-0.02436613639157623,1995
2021-02-23,alpha158,alpha158_WVMA30,0.09254706794224864,1995
2021-02-24,alpha158,alpha158_BETA30,-0.06569960449556068,1996
2021-02-24,alpha158,alpha158_CNTD30,-0.04455847915560589,1996
2021-02-24,alpha158,alpha158_CNTN30,0.0003162526497373452,1996
2021-02-24,alpha158,alpha158_CNTP5,0.20241245817440348,1996
2021-02-24,alpha158,alpha158_CORD30,-0.008289029084386976,1996
2021-02-24,alpha158,alpha158_CORR30,0.014872150143366056,1996
