projection,path,sha256,row_count,factor_count,outer_split_count,inner_split_count,start_date,end_date,canonical_key_sha256
outer_train_daily_ic,E:/qlib_prj/qlib_baseline/outputs/selection_input_projection_v2/runtime/outer_train_daily_ic.parquet,ee54a6be9d1eb900bcef56a88dc59a0e5032316ec5257886674ef6b071bb177d,1620318,669,3,0,2021-02-01,2024-11-28,d9fa823abf532ee030720fe92db68ca6dfbedcab3b315984413fb07cd8b79a16
inner_development_daily_ic,E:/qlib_prj/qlib_baseline/outputs/selection_input_projection_v2/runtime/inner_development_daily_ic.parquet,5c6f838408a218e3b894ae90d9223551c7a4655b525a609110355eca9ad2de4c,4031394,669,3,9,2021-02-01,2025-05-08,5c775095fdce7def7af3f83c01fc9fd613f89bf93b549647dfae77b7d4ff1c9b
