input_name,artifact_id,path,sha256
raw_market_data_snapshot_v1,raw_market_data_snapshot_v1:e2f213da365ea6ba4d8375c830ff32e45f78fc847b814a11aaeb9e26b49d8cd9,E:/qlib_prj/qlib_baseline/outputs/raw_market_data_snapshot_v1/full_research_669/artifact_manifest.json,15e5635ae52a517ab8e4a686ec297ab3e0d04ee37d4cc56c082b6c0bccb1abed
full_research_feature_matrix_v4,full_research_feature_matrix_v4:10f6e026d5c6c13eda166f702fb2bae2e7ca76c6747bd9e9482ee482e605df1d,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4/current/artifact_manifest.json,ada2050e4c2280bc7bfaa1bef50a8310fd22b4e96a61495fd2fb9df31b41a07d
full_research_labels_v2,full_research_labels_v2:404fe40807d674d4ec5fc7b7b0727c4e679bec6ddaa2c00d967eaeb08c80102b,E:/qlib_prj/qlib_baseline/outputs/full_research_labels_v2/current/artifact_manifest.json,9b7929713184d860b20875009916d55d588d64a4318391ce9173fdf262e13fe0
full_research_daily_ic_v2,full_research_daily_ic_v2:3e20d76d7473953d81408d5a229af27d84f9c4c93cad10f4a7b5d12eff35eea7,E:/qlib_prj/qlib_baseline/outputs/full_research_daily_ic_v2/current/artifact_manifest.json,12096260b7900f61ba72cc3dea5542f06f4326be390ac17379bb6b9e0758317c
purged_walk_forward_v1,purged_walk_forward_v1:78568e0fe2387fce3d1defda1e777e6ae58746fb8c9aba0ebf36f55129bdc718,E:/qlib_prj/qlib_baseline/outputs/purged_walk_forward_v1/full_research_669/artifact_manifest.json,b8a72e6912015cdc3e0bb14c459f7dc2b8ee42e57aad3462e8256adf06b916bc
selection_input_projection_v2,selection_input_projection_v2:4bec5868f5868f004da8c13357690776fcca0d59dee72235c0e63b4e65b4b3d1,E:/qlib_prj/qlib_baseline/outputs/selection_input_projection_v2/current/artifact_manifest.json,57547b80e3c51466282bd887d026f509cd0ee69ad490984d199a4843ce3d5d75
bootstrap_gap_sensitivity_v1,bootstrap_gap_sensitivity_v1:e73494f6dab4210a76a9315a5ac36e7d3b572095e7d9d4958b5f9a16d67bf0db,E:/qlib_prj/qlib_baseline/outputs/bootstrap_gap_sensitivity_v1/current/artifact_manifest.json,f174ab1ddcba8b37eff1c7a41f103574f4a26ef5f081a1e701891c33e10e015d
factor_multiple_testing_v2,factor_multiple_testing_v2:bccfb0ee4f17d279071505c5c29a0b8b52d1f220113b07b1ed1ea4cbda9f9275,E:/qlib_prj/qlib_baseline/outputs/factor_multiple_testing_v2/current/artifact_manifest.json,487f90062738482be7cb86fc4e30f6d3510716f25c7f9136b28c38eb946af02d
factor_rolling_stability_v2,factor_rolling_stability_v2:8d49e0c1e6c251848e739291bf4522fdb885a288d75589d24fa7743e9bf63608,E:/qlib_prj/qlib_baseline/outputs/factor_rolling_stability_v2/current/artifact_manifest.json,8d5f7e97c7a99ba86fc8e279f0c9c5f72dd0f43d5abd607ea13dfd6a0c69d49e
clustering_input_projection_v2,clustering_input_projection_v2:c91e31290de104bcc6a55afab52d76c595b31aa5f45ae23142b28007da9687c8,E:/qlib_prj/qlib_baseline/outputs/clustering_input_projection_v2/current/artifact_manifest.json,1c37bb3b04ccdd62b570660fd6ff1fd89bd7647453b2a1afb98d048ce15b7cda
development_robustness_split_v1,development_robustness_split_v1:2cb5b7a7286450235c1215b8f3c4876dec02f27a44ea4a3d7b9674df5191586b,E:/qlib_prj/qlib_baseline/outputs/development_robustness_split_v1/full_research_669/artifact_manifest.json,475185d023c0f444df93cc61596efb44e5cb7ca3a1b5476a8705c545881ae71d
factor_clustering_v2,factor_clustering_v2:11145476650ea7602b0598d66cac5721390ad193defa245fa4a72d0951689e86,E:/qlib_prj/qlib_baseline/outputs/factor_clustering_v2/current/artifact_manifest.json,13ca674ec7c1c55a97315fabb19db8e9f65aa628f1175d166e9c4d95929f6cbc
split_specific_allowlist_v2,split_specific_allowlist_v2:f58b3f13c061e3ead62ae862a071940242ccc4f1d151703da464784b7f46684d,E:/qlib_prj/qlib_baseline/outputs/split_specific_allowlist_v2/current/artifact_manifest.json,8cf6382d05d906e9d6c67a098ec5b55f595d7dab1be7136572a0639c0069e4d6
split_transparent_weights_v2,split_transparent_weights_v2:0528636298ba857da231817187c848b0ee7ce36d3714a8382bf9758f9fb102df,E:/qlib_prj/qlib_baseline/outputs/split_transparent_weights_v2/current/artifact_manifest.json,8117caf1d5accebcf3b1f65c75af517f06aba9792b7caf3d89fe1e2c24dd6531
full_research_feature_matrix_v4_canary,full_research_feature_matrix_v4_canary:0afddf7b4bdebeb183b2e8a178ddb072b7771b37cb6ebf5fa14d861505db1b8e,E:/qlib_prj/qlib_baseline/outputs/full_research_feature_matrix_v4_canary/current/artifact_manifest.json,c0547d2d4eef3af6b41a02c42f58c5a9a415cfd5e1be8a07316648b63b6dac0f
point_in_time_universe_v2,point_in_time_universe_v2:325e39d7dd68afe0828154840b813287d0bf991487a42ed51a7d6476e85d7838,E:/qlib_prj/qlib_baseline/outputs/point_in_time_universe_v2/full_research/artifact_manifest.json,5e405348b2935aeb354f06d256d14ccb3a77a2e00c576fbd3fd67d37e58ae452
selection_mutation_contract_v2,selection_mutation_contract_v2:30f3cb3d8362bf417842d12348004b332db07ed7be9070e70404cc55b0b8420c,E:/qlib_prj/qlib_baseline/outputs/selection_mutation_contract_v2/canary/artifact_manifest.json,8d31d7d21712a7d4b8f71e715ab22a948a2bd8f879f47c9dc42a6cf419f5b9f7
