outer_split_id,factor,injected_gap_count,baseline_p_value,injected_p_value,p_value_absolute_change,baseline_segment_count,injected_segment_count
split_001,alpha158_BETA10,14,0.021956087824351298,0.0499001996007984,0.027944111776447105,1,15
split_001,alpha158_BETA20,14,0.001996007984031936,0.001996007984031936,0.0,1,15
split_001,alpha158_BETA30,14,0.001996007984031936,0.001996007984031936,0.0,1,15
split_001,alpha158_BETA5,14,0.029940119760479042,0.12574850299401197,0.09580838323353293,1,15
split_001,alpha158_BETA60,14,0.003992015968063872,0.003992015968063872,0.0,1,15
split_001,alpha158_CNTD10,14,0.14770459081836326,0.22355289421157684,0.07584830339321358,1,15
split_001,alpha158_CNTD20,14,0.06986027944111776,0.08183632734530938,0.011976047904191614,1,15
split_001,alpha158_CNTD30,14,0.007984031936127744,0.015968063872255488,0.007984031936127744,1,15
split_001,alpha158_CNTD5,14,0.19161676646706588,0.3712574850299401,0.17964071856287422,1,15
split_001,alpha158_CNTD60,14,0.03992015968063872,0.0499001996007984,0.00998003992015968,1,15
split_001,alpha158_CNTN10,14,0.3473053892215569,0.46107784431137727,0.11377245508982037,1,15
split_001,alpha158_CNTN20,14,0.21357285429141717,0.24550898203592814,0.03193612774451096,1,15
split_002,alpha158_BETA10,17,0.00998003992015968,0.013972055888223553,0.003992015968063872,1,18
split_002,alpha158_BETA20,17,0.001996007984031936,0.001996007984031936,0.0,1,18
split_002,alpha158_BETA30,17,0.001996007984031936,0.001996007984031936,0.0,1,18
split_002,alpha158_BETA5,17,0.04790419161676647,0.09181636726546906,0.04391217564870259,1,18
split_002,alpha158_BETA60,17,0.003992015968063872,0.005988023952095809,0.001996007984031937,1,18
split_002,alpha158_CNTD10,17,0.07385229540918163,0.0998003992015968,0.025948103792415175,1,18
split_002,alpha158_CNTD20,17,0.05788423153692615,0.04590818363273453,0.011976047904191621,1,18
split_002,alpha158_CNTD30,17,0.015968063872255488,0.013972055888223553,0.001996007984031935,1,18
split_002,alpha158_CNTD5,17,0.09780439121756487,0.1596806387225549,0.06187624750499002,1,18
split_002,alpha158_CNTD60,17,0.07984031936127745,0.04590818363273453,0.033932135728542916,1,18
split_002,alpha158_CNTN10,17,0.2315369261477046,0.2894211576846307,0.05788423153692612,1,18
split_002,alpha158_CNTN20,17,0.1377245508982036,0.1437125748502994,0.0059880239520958,1,18
split_003,alpha158_BETA10,19,0.003992015968063872,0.001996007984031936,0.001996007984031936,1,20
split_003,alpha158_BETA20,19,0.001996007984031936,0.001996007984031936,0.0,1,20
split_003,alpha158_BETA30,19,0.003992015968063872,0.001996007984031936,0.001996007984031936,1,20
split_003,alpha158_BETA5,19,0.003992015968063872,0.007984031936127744,0.003992015968063872,1,20
split_003,alpha158_BETA60,19,0.001996007984031936,0.003992015968063872,0.001996007984031936,1,20
split_003,alpha158_CNTD10,19,0.031936127744510975,0.05588822355289421,0.023952095808383235,1,20
split_003,alpha158_CNTD20,19,0.03992015968063872,0.041916167664670656,0.0019960079840319334,1,20
split_003,alpha158_CNTD30,19,0.005988023952095809,0.003992015968063872,0.001996007984031937,1,20
split_003,alpha158_CNTD5,19,0.03992015968063872,0.0658682634730539,0.025948103792415175,1,20
split_003,alpha158_CNTD60,19,0.05189620758483034,0.04590818363273453,0.005988023952095807,1,20
split_003,alpha158_CNTN10,19,0.1596806387225549,0.1936127744510978,0.03393213572854292,1,20
split_003,alpha158_CNTN20,19,0.1217564870259481,0.1536926147704591,0.03193612774451099,1,20
