artifact_type,superseded_artifact,corrected_artifact,status
market_cache,market_cache_v2:43a4f4f175f07f8cd9a80d40e73a8f566ed98deb249fa083eccd7c3e87759e89,market_cache_v3:2c8048cb24fa97c7dadc2202c8721ae144e2b24e57d46ba24f131149ade9b835,superseded_unit_error
execution,execution_accuracy_correction_v1:74975242ff112dcb850de4946b0c5ab149e230bb4c4a12791fc6459177e51fb2,execution_unit_semantics_correction_v1_2:81b762882c4f99323e53d433c92163a1d1dbb1d8e0efe99782697fd390a4dcc8,corrected_non_authoritative
