instrument,old_fill_count,old_buy_executed_shares,old_sell_executed_shares,old_gross_value,old_cash_fee,old_slippage_cost,new_fill_count,new_buy_executed_shares,new_sell_executed_shares,new_gross_value,new_cash_fee,new_slippage_cost,delta_fill_count,delta_buy_executed_shares,delta_sell_executed_shares,delta_gross_value,delta_cash_fee,delta_slippage_cost,is_focus_instrument,absolute_gross_value_impact
SH600575,167,1178600.0,1145411.1496227556,8020131.800044626,4572.352587718186,8020.060480491356,126,1992600.0,1992625.553263158,13823604.740512349,7996.508858200196,13823.69982633093,-41,814000.0,847214.4036404025,5803472.940467723,3424.15627048201,5803.639345839574,False,5803472.940467723
SZ000598,127,579300.0,579300.9073195808,8072183.023603361,4578.403475784546,8072.172562171875,98,992600.0,992598.9586615727,13820251.715035243,7844.709000852046,13820.230069182317,-29,413300.0,413298.0513419919,5748068.691431882,3266.3055250675006,5748.057507010441,False,5748068.691431882
SH601799,118,34300.0,34299.873698407726,8871120.443327846,4984.291180599566,8871.152015264768,80,56400.0,56399.717695987994,14571091.15024275,8171.278847434312,14571.12122732082,-38,22100.0,22099.84399758027,5699970.706914904,3186.987666834746,5699.969212056052,False,5699970.706914904
SZ002262,138,228400.0,211500.28488288575,10658325.185737941,5939.2343822483135,10657.934894596408,103,340100.0,323601.7475448162,16334528.516448788,9147.739183728554,16334.138635166351,-35,111700.0,112101.46266193042,5676203.330710847,3208.5048014802405,5676.203740569943,False,5676203.330710847
SH600329,90,80600.0,80600.0486647697,5681759.4567834595,3211.804130233875,5681.781458213633,63,166500.0,166500.13196103854,11337027.083979297,6386.075025672218,11337.082396197062,-27,85900.0,85900.08329626884,5655267.627195838,3174.2708954383424,5655.300937983428,False,5655267.627195838
SZ300536,62,143500.0,143505.05643637988,1708305.5335727974,1027.6156455674964,1708.4371166976623,49,624200.0,624230.2616266696,7198308.37666103,4081.2173704322545,7198.339638351673,-13,480700.0,480725.20519028965,5490002.843088232,3053.601724864758,5489.90252165401,False,5490002.843088232
SH600282,133,818900.0,818923.8725399374,6988762.712166075,3975.254163901009,6988.766694871888,95,1461000.0,1461025.712611954,12477991.859492296,7115.78120034991,12478.007471015191,-38,642100.0,642101.8400720166,5489229.147326222,3140.527036448901,5489.240776143303,False,5489229.147326222
SH600750,79,101700.0,101700.40552757401,4361926.082277463,2468.620108884617,4361.949613901892,57,227000.0,227000.7874115769,9700973.010381915,5473.152778623847,9701.02297739243,-22,125300.0,125300.38188400288,5339046.928104452,3004.5326697392297,5339.073363490537,False,5339046.928104452
SZ002011,44,104100.0,88497.84573390635,2158097.3089379547,1175.5606084734402,2157.911416409998,40,344400.0,329088.3597109388,7466646.435524512,4144.225914443379,7466.488482216269,-4,240300.0,240590.51397703247,5308549.126586557,2968.6653059699393,5308.577065806272,False,5308549.126586557
SZ000690,131,684600.0,684604.871779201,5933304.166682494,3388.1135572825524,5933.28152824841,101,1290100.0,1290108.9730783536,11205514.168083655,6439.138121414328,11205.469229480772,-30,605500.0,605504.1012991526,5272210.001401161,3051.024564131776,5272.187701232362,False,5272210.001401161
SH601298,115,307100.0,306936.66327251017,5266835.234688841,3026.835318200381,5266.842709457679,89,616200.0,616301.0234760854,10533234.39852057,6043.595806112169,10533.281720371524,-26,309100.0,309364.3602035752,5266399.163831729,3016.760487911788,5266.439010913845,False,5266399.163831729
SH600039,117,509100.0,456008.0847903416,7023793.822854872,3879.880637722184,7023.328923819783,95,880100.0,841417.4982935593,12285360.426524088,6916.1684638417955,12284.991984630742,-22,371000.0,385409.4135032177,5261566.603669216,3036.2878261196115,5261.663060810959,False,5261566.603669216
SH603899,106,102300.0,102301.39618912288,5858357.695273593,3330.436577141284,5858.354503808235,71,195100.0,195105.82580684999,11063018.388031488,6244.522376154027,11063.01471685093,-35,92800.0,92804.4296177271,5204660.692757895,2914.0857990127433,5204.660213042695,False,5204660.692757895
SZ002737,89,107000.0,99800.67021007804,3751092.5215732986,2085.5740989635733,3750.9775531195282,59,246300.0,246300.13979882977,8893890.714466974,5013.984790696966,8893.88141385945,-30,139300.0,146499.46958875173,5142798.1928936755,2928.410691733393,5142.903860739922,False,5142798.1928936755
SH605296,52,34500.0,32900.386655765,1888426.7468937472,1059.7635578715199,1888.4268717847133,37,133400.0,116599.84286194926,6984919.490626071,3848.3847308534882,6984.630551260163,-15,98900.0,83699.45620618426,5096492.743732324,2788.6211729819684,5096.2036794754495,False,5096492.743732324
