check_name,artifact_id,reason,stage_id,severity
config_sha256,factor_multiple_testing_v1:33ed4935305ecfff600a4d1a3b35349f7f2732c4beb4e657b4ca75ab11e4eb46,current config hash differs from manifest,factor_multiple_testing_v1,critical
stale_upstream_artifact,full_research_labels_v1:eb21e11cd5a7e3b99722fbcc4c67b012680b7e9ba09bd0d885c984fc60b4fb3e,missing current matrix: full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,full_research_labels_v1,critical
stale_upstream_artifact,full_research_labels_v1:eb21e11cd5a7e3b99722fbcc4c67b012680b7e9ba09bd0d885c984fc60b4fb3e,missing current raw_snapshot: raw_market_data_snapshot_v1:e2f213da365ea6ba4d8375c830ff32e45f78fc847b814a11aaeb9e26b49d8cd9,full_research_labels_v1,critical
stale_upstream_artifact,full_research_daily_ic_v1:b73d32984d0a2204edc1d55b9b56e24d174f15ee90bb800caad2ea3561166e4a,missing current matrix: full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,full_research_daily_ic_v1,critical
stale_upstream_artifact,purged_walk_forward_v1:bc8b8ead903d9b444e8ec02c3ef420e34703446f74b601bf7b7d3549de767f88,missing current matrix: full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,purged_walk_forward_v1,critical
stale_upstream_artifact,factor_multiple_testing_v1:33ed4935305ecfff600a4d1a3b35349f7f2732c4beb4e657b4ca75ab11e4eb46,missing current splits: purged_walk_forward_v1:bc8b8ead903d9b444e8ec02c3ef420e34703446f74b601bf7b7d3549de767f88,factor_multiple_testing_v1,critical
stale_upstream_artifact,factor_rolling_stability_v1:b1c28af58cd2feb36e3b7ceaa050a0f2619d37a250f668285c1976807a6780a3,missing current splits: purged_walk_forward_v1:bc8b8ead903d9b444e8ec02c3ef420e34703446f74b601bf7b7d3549de767f88,factor_rolling_stability_v1,critical
stale_upstream_artifact,factor_clustering_v1:be2a91c7207b17504378273ab703f88e57de11ab7b343530715aba495ee7a507,missing current matrix: full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,factor_clustering_v1,critical
stale_upstream_artifact,factor_score_construction_v1:84ff612e8946efc7207ef1471af261ec04c97acc3265b44ea334c2a9d00d2f52,missing current matrix: full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,factor_score_construction_v1,critical
stale_upstream_artifact,factor_score_construction_v1:84ff612e8946efc7207ef1471af261ec04c97acc3265b44ea334c2a9d00d2f52,missing current splits: purged_walk_forward_v1:bc8b8ead903d9b444e8ec02c3ef420e34703446f74b601bf7b7d3549de767f88,factor_score_construction_v1,critical
