selection_name,selection_status,model_input_allowed,representative_count,source_artifact_id,superseded_by,outer_split_factor_counts
exploratory_global_representatives_v1,test_influenced,False,16,factor_clustering_v1:be2a91c7207b17504378273ab703f88e57de11ab7b343530715aba495ee7a507,split_specific_holdout_clean_allowlists_v1,
split_specific_holdout_clean_allowlists_v1,holdout_clean,True,148,split_specific_allowlist_v1:82dc8e41976ce8da225d46573971ed73b21432262b4c2726df2e89423dd10236,,48|46|54
