outer_split_id,freeze_id,freeze_path,freeze_sha256,freeze_type,historical_test_already_observed,unbiased_final_estimate
split_001,bugfix_research_freeze_v1_2:579234d9d55f69a59d44d0b98a670c84b60b4db648480d36fc9453bf636e46de,split_001/freeze_manifest.json,b469adc403c4d02c178f421b4ebf4ef3571edd22af093314dc3023685b6439bd,post_observation_bugfix,True,False
split_002,bugfix_research_freeze_v1_2:836201e02ec36fd79730dc9bd57488c0f772be9f13ebf24b09946a2302c3cdc7,split_002/freeze_manifest.json,8b4ee00143c86492099d7338b4fad4381c701a23bf777d2aae0c881c999c35a0,post_observation_bugfix,True,False
split_003,bugfix_research_freeze_v1_2:851d01e5906f582e61cdc0ba20a43643861f6c2715bb507773bf5ef6afbc018d,split_003/freeze_manifest.json,32854135ff174c081ae5e9be8a6f969fc4081503b7e1b2b9116de17e96aacb03,post_observation_bugfix,True,False
