trading_day_count,accounting_day_count,order_count,fill_count,partial_count,rejected_count,ending_nav,total_cash_fee,total_slippage_cost,outer_split_id,method
119,119,10750,10234,7711,516,11515402.581916207,420947.3715450553,743820.374047701,split_001,equal_weight
119,119,10739,10197,7680,542,11535710.456010789,417228.5517475876,736987.3571043219,split_001,stability_weight
123,123,11359,10709,7883,650,9923982.951738184,453522.25678773166,802955.6478287275,split_002,equal_weight
123,123,11277,10584,7739,693,9820158.530671624,458393.8118431603,811940.2351212593,split_002,stability_weight
123,123,10834,10045,7615,789,10052608.166802589,423359.3051239688,747654.3735390571,split_003,equal_weight
123,123,10642,9837,7413,805,9911249.271680793,424222.06948764314,749017.5538581577,split_003,stability_weight
