trading_day_count_old_superseded,accounting_day_count_old_superseded,order_count_old_superseded,fill_count_old_superseded,partial_count_old_superseded,rejected_count_old_superseded,ending_nav_old_superseded,total_cash_fee_old_superseded,total_slippage_cost_old_superseded,outer_split_id,method,trading_day_count_new_corrected,accounting_day_count_new_corrected,order_count_new_corrected,fill_count_new_corrected,partial_count_new_corrected,rejected_count_new_corrected,ending_nav_new_corrected,total_cash_fee_new_corrected,total_slippage_cost_new_corrected,ending_nav_delta,total_cash_fee_delta,total_slippage_cost_delta,order_count_delta,fill_count_delta,partial_count_delta,rejected_count_delta
119,119,10164,10164,5720,0,11559113.542855248,564657.9983252543,702869.0177570486,split_001,equal_weight,119,119,10750,10234,7711,516,11515402.581916207,420947.3715450553,743820.374047701,-43710.96093904041,-143710.626780199,40951.35629065242,586,70,1991,516
119,119,10105,10105,5729,0,11610420.277133817,567468.4902580464,706531.6887515874,split_001,stability_weight,119,119,10739,10197,7680,542,11535710.456010789,417228.5517475876,736987.3571043219,-74709.82112302817,-150239.9385104588,30455.66835273453,634,92,1951,542
123,123,10596,10593,5828,3,10171711.792408802,632571.0202444049,789988.8931817114,split_002,equal_weight,123,123,11359,10709,7883,650,9923982.951738184,453522.25678773166,802955.6478287275,-247728.8406706173,-179048.76345667324,12966.75464701606,763,116,2055,647
123,123,10670,10668,5889,2,10189351.418790327,638399.1872578203,797301.0658968121,split_002,stability_weight,123,123,11277,10584,7739,693,9820158.530671624,458393.8118431603,811940.2351212593,-369192.8881187029,-180005.37541465997,14639.169224447221,607,-84,1850,691
123,123,10143,10142,5276,1,10009624.231802192,585618.9793144587,729974.7537467233,split_003,equal_weight,123,123,10834,10045,7615,789,10052608.166802589,423359.3051239688,747654.3735390571,42983.935000397265,-162259.67419048987,17679.619792333804,691,-97,2339,788
123,123,10002,10001,5062,1,9887593.916145366,592572.0548801898,738635.8988655064,split_003,stability_weight,123,123,10642,9837,7413,805,9911249.271680793,424222.06948764314,749017.5538581577,23655.35553542711,-168349.9853925467,10381.65499265131,640,-164,2351,804
