portfolio_id,outer_split_id,top_k,rebalance_interval,start_date,end_date,trading_days,initial_nav,ending_nav,total_return,gross_return_approx,annualized_return,benchmark_total_return,benchmark_annualized_return,common_period_portfolio_total_return,annualized_excess_return,annualized_volatility,sharpe_ratio,information_ratio,max_drawdown,calmar_ratio,positive_day_ratio,average_daily_turnover,annualized_turnover,order_count,fill_count,partial_fill_count,rejected_order_count,fill_rate,average_holding_count,maximum_single_position_weight,commission,stamp_tax,slippage_cost,total_transaction_cost,cost_drag,prediction_coverage,benchmark_coverage,benchmark_common_date_count,stale_valuation_date_count,stale_valuation_instrument_count,held_stale_valuation_date_count,unknown_tradability_count,historical_execution_approximate,tradability_source_complete,authoritative_historical_execution_ready,unbiased_final_estimate,production_model_selected,live_trading_ready,expected_rebalance_count,signal_lag_trading_days
P01,split_001,50,5,2024-08-02,2025-01-27,119,10000000.0,13927462.238186965,0.3927462238186963,0.4682439337495897,1.0168337285946505,0.2231923341751098,0.7064412412691148,0.4540318940698118,0.9928438013217646,0.2865201650403954,2.7866206044073456,2.9897926283678617,-0.1011758602728408,10.050161430330869,0.5714285714285714,0.2838740582779023,71.53626268603138,2079,2011,1076,68,0.968071712935366,49.27731092436975,0.0245801844351331,127103.60079140268,206296.68951910557,421576.8089984261,754977.0993089343,0.0754977099308934,0.9969664391496028,0.7983193277310925,95,90,2,0,269400,True,False,False,False,False,False,24,1
P01,split_002,50,5,2025-02-06,2025-08-04,123,10000000.0,11891703.79477078,0.189170379477078,0.2538291502906661,0.4261283362159029,0.1207906007766723,0.2631786848675963,0.220570418311031,0.2411691246260414,0.1704906781701073,2.482538270927287,1.4244946839715036,-0.0693871252937762,6.141317058629105,0.6016260162601627,0.2684907559529434,67.65967050014174,2095,2003,1118,92,0.9969719943157554,50.040650406504064,0.0274084574555477,109423.29396577625,176018.1498034314,361146.2643666728,646587.7081358804,0.064658770813588,0.9953051643192488,1.0,123,103,9,0,294376,True,False,False,False,False,False,25,1
P02,split_001,100,5,2024-08-02,2025-01-27,119,10000000.0,13633283.281937117,0.3633283281937114,0.4303027201173943,0.927685878340095,0.2231923341751098,0.7064412412691148,0.4226915409317624,0.8412477391542703,0.2964224085315012,2.5293009621551805,2.6821981284752736,-0.1054775269074766,8.795104564348073,0.5378151260504201,0.2532768252064242,63.82575995201891,3949,3693,2030,256,0.9765072019884756,98.26050420168067,0.0125251050156817,113976.86934417082,182253.82433223663,373513.2255604219,669743.9192368293,0.0669743919236829,0.9969664391496028,0.7983193277310925,95,90,2,0,269400,True,False,False,False,False,False,24,1
P02,split_002,100,5,2025-02-06,2025-08-04,123,10000000.0,11813837.770597564,0.1813837770597564,0.2397639657345068,0.4070621282689182,0.1207906007766723,0.2631786848675963,0.2097056390028808,0.2138623689989003,0.1590940471109366,2.5334365595782207,1.4745112770238356,-0.0664399824962307,6.126764532064884,0.6178861788617886,0.2434409252215566,61.34711315583228,4033,3678,2063,355,0.9961440303772362,100.20325203252033,0.0139096031826622,99963.03998106848,158248.23454473165,325590.6122217044,583801.8867475045,0.0583801886747504,0.9953051643192488,1.0,123,103,9,0,294376,True,False,False,False,False,False,25,1
P03,split_001,200,5,2024-08-02,2025-01-27,119,10000000.0,13522607.46973696,0.352260746973696,0.4094912113040563,0.8946969620764667,0.2231923341751098,0.7064412412691148,0.4139955576061125,0.8001483691589044,0.2927594841920073,2.475431494512468,2.806421888632099,-0.1123905229693397,7.960608585481368,0.5294117647058824,0.2179731228516834,54.92922695862422,7443,6518,3624,925,0.9810540002932796,196.6638655462185,0.0068914165145541,99628.97636087947,154568.00892599794,318107.65801672527,572304.6433036027,0.0572304643303602,0.9969664391496028,0.7983193277310925,95,90,2,0,269400,True,False,False,False,False,False,24,1
P03,split_002,200,5,2025-02-06,2025-08-04,123,10000000.0,11679943.022054492,0.1679943022054493,0.2177247406992354,0.374583858545545,0.1207906007766723,0.2631786848675963,0.192201125969909,0.1704062303919447,0.1588744172620088,2.349110515351148,1.437976358071026,-0.076406422707803,4.902517946404135,0.6260162601626016,0.2095572122254415,52.80841748081127,7627,6334,3533,1293,0.9926649940123098,200.16260162601623,0.008087797123017,86958.95711155346,133756.19514193147,276589.23268437665,497304.3849378616,0.0497304384937861,0.9953051643192488,1.0,123,103,9,0,294376,True,False,False,False,False,False,25,1
P04,split_001,50,20,2024-08-02,2025-01-27,119,10000000.0,14222931.461947622,0.4222931461947621,0.4418545389040367,1.1085162585863095,0.2231923341751098,0.7064412412691148,0.4858947842787611,1.1526035187949102,0.2898667634793307,2.7633012017840786,2.954817198218186,-0.0811865932704405,13.65393242815021,0.5714285714285714,0.0745060858020972,18.775533622128503,518,494,261,24,0.9779428111262588,46.12605042016807,0.0497650822446634,33375.21453717426,51022.97188498032,111215.74067059156,195613.92709274613,0.0195613927092746,0.9969664391496028,0.7983193277310925,95,90,2,0,269400,True,False,False,False,False,False,6,1
P04,split_002,50,20,2025-02-06,2025-08-04,123,10000000.0,11356749.68234845,0.135674968234845,0.1552831678144981,0.2977870212981819,0.1207906007766723,0.2631786848675963,0.1445924063550279,0.0555721215184077,0.1484297085604643,1.9398486449702232,0.3354497577724544,-0.0783362849130397,3.801393206593239,0.6016260162601627,0.0838929633031825,21.14102675240201,598,587,337,11,0.9966908286946248,50.51219512195122,0.0282122057147873,33565.75569037598,51063.3779479341,111452.86215822084,196081.9957965309,0.019608199579653,0.9953051643192488,1.0,123,103,9,55,294376,True,False,False,False,False,False,7,1
P05,split_001,100,20,2024-08-02,2025-01-27,119,10000000.0,13761924.003797935,0.3761924003797936,0.3944408632028145,0.9664074242467826,0.2231923341751098,0.7064412412691148,0.4262696237050694,0.8582797169162273,0.2958780543535021,2.4729231644891008,2.4121878110903303,-0.080705060801566,11.97455791059921,0.5462184873949579,0.0703006243156404,17.7157573275414,1002,948,516,54,0.9710521746842224,92.26050420168067,0.0253798138381903,31255.757750807352,47362.14776713948,103866.72271226236,182484.6282302092,0.0182484628230209,0.9969664391496028,0.7983193277310925,95,90,2,0,269400,True,False,False,False,False,False,6,1
P05,split_002,100,20,2025-02-06,2025-08-04,123,10000000.0,11370769.237663403,0.1370769237663403,0.154642593190307,0.3010714519263284,0.1207906007766723,0.2631786848675963,0.1451114468967844,0.0567976173850981,0.1449621766170816,1.989239097738468,0.3688826640961726,-0.0782445753030605,3.8478252423277217,0.6341463414634146,0.0756385134946314,19.060905400647137,1143,1119,656,24,0.9949796551094408,100.83739837398376,0.0143031681780425,30505.098214760383,45287.17762128166,99864.41840362552,175656.69423966756,0.0175656694239667,0.9953051643192488,1.0,123,103,9,55,294376,True,False,False,False,False,False,7,1
P06,split_001,200,20,2024-08-02,2025-01-27,119,10000000.0,13471239.64972188,0.3471239649721882,0.3634485570267229,0.8794879404615688,0.2231923341751098,0.7064412412691148,0.3980829157448469,0.7260161558039764,0.2884526439297786,2.3684074198150005,2.377264600404134,-0.0961761958529624,9.144549050434067,0.5462184873949579,0.0635930766676876,16.025455320257283,1913,1803,1018,110,0.9688021054286846,186.890756302521,0.0147949170089577,28346.853954996724,41957.20419712478,92941.86239322597,163245.92054534747,0.0163245920545347,0.9969664391496028,0.7983193277310925,95,90,2,0,269400,True,False,False,False,False,False,6,1
