datetime,portfolio_id,outer_split_id,return,benchmark_return,excess_return,turnover,implementation_cost,drawdown
2024-08-02,P01,split_001,-0.008076802442593,,,0.9492698795624206,12331.025218730574,-0.0083615834064617
2024-08-05,P01,split_001,-0.0149077759812175,,,0.0,0.0,-0.0231447067754074
2024-08-06,P01,split_001,0.0076432420001116,,,0.0,0.0,-0.0156783653702018
2024-08-07,P01,split_001,-0.0007564024189957,,,0.0,0.0,-0.0164229086357057
2024-08-08,P01,split_001,0.001573330553718,,,0.0,0.0,-0.0148754167459251
2024-08-09,P01,split_001,-0.0088593789802959,,,1.639696027884623,29265.37602381383,-0.02491420738462
2024-08-12,P01,split_001,-0.0075271407320622,,,0.0,0.0,-0.0322538153714705
2024-08-13,P01,split_001,0.0044582011397792,,,0.0,0.0,-0.0279394082281425
2024-08-14,P01,split_001,-0.004857498288581,,,0.0,0.0,-0.0326611908890714
2024-08-15,P01,split_001,0.0076523004112899,,,0.0,0.0,-0.0252588237222551
2024-08-16,P01,split_001,-0.0012841927195514,,,1.5176751251744234,26588.30280091828,-0.027690079211924
2024-08-19,P01,split_001,5.7489589197221616e-05,,,0.0,0.0,-0.0276341815140055
2024-08-20,P01,split_001,-0.0108690478314204,,,0.0,0.0,-0.0382028721047681
2024-08-21,P01,split_001,-0.0011716545034605,,,0.0,0.0,-0.0393297660410819
2024-08-22,P01,split_001,-0.0019646913482491,,,0.0,0.0,-0.0412171865382615
2024-08-23,P01,split_001,-0.0030968617210671,,,1.411745766735095,24372.69942784291,-0.0452701178898936
2024-08-26,P01,split_001,0.014610770989804,,,0.0,0.0,-0.0313207782252602
2024-08-27,P01,split_001,-0.0122025562716962,,,0.0,0.0,-0.0431411409381894
2024-08-28,P01,split_001,0.0080557767788761,,,0.0,0.0,-0.0354328995606973
2024-08-29,P01,split_001,0.0102554243805532,,,0.0,0.0,-0.0255408546021725
2024-08-30,P01,split_001,0.0196139384976929,,,1.4657282488628007,25774.51705250539,-0.0075770220974143
2024-09-02,P01,split_001,-0.0204162899986313,,,0.0,0.0,-0.0278386174155788
2024-09-03,P01,split_001,0.0095117074362543,,,0.0,0.0,-0.0185917027636112
2024-09-04,P01,split_001,-0.0028496341416154,,,0.0,0.0,-0.0213883573542806
2024-09-05,P01,split_001,0.0033500765693102,0.004441023,-0.0010909463036145,0.0,0.0,-0.018109933419799
2024-09-06,P01,split_001,-0.0188012722779373,-0.012091994,-0.0067092779923538,1.5885213240517944,27975.054120733203,-0.0378084891549886
2024-09-09,P01,split_001,-0.0044301270014749,-0.008618534,0.0041884066098226,0.0,0.0,-0.0420711197477732
2024-09-10,P01,split_001,0.0088921088684213,0.0019271374,0.0069649714935434,0.0,0.0,-0.0335531118563653
2024-09-11,P01,split_001,-0.0037453566149189,-0.0024216175,-0.0013237391069843,0.0,0.0,-0.0371728001018419
2024-09-12,P01,split_001,0.0031552693100867,-0.0036681294,0.006823398754209,0.0,0.0,-0.0341348209870865
2024-09-13,P01,split_001,-0.0107138535159166,-0.0077703,-0.0029435536044175,1.2887329363938596,22556.523367875805,-0.0454938454406418
2024-09-18,P01,split_001,-0.0056563693829104,0.0007388592,-0.0063952285595461,0.0,0.0,-0.0508928848290909
2024-09-19,P01,split_001,0.0184223537156386,0.012855053,0.0055673007676405,0.0,0.0,-0.033408097839383
2024-09-20,P01,split_001,0.0037368980132875,-0.0009942055,0.0047311034881411,0.0,0.0,-0.0297960424805391
2024-09-23,P01,split_001,0.0095503175706867,0.0023498535,0.0072004640550617,0.0,0.0,-0.0205302865778911
2024-09-24,P01,split_001,0.0310640430826059,0.040580034,-0.0095159911733755,1.5098083735573593,26544.131412003957,0.0
2024-09-25,P01,split_001,0.01562505316284,0.012697339,0.0029277141049176,0.0,0.0,0.0
2024-09-26,P01,split_001,0.0387877700938484,0.040296435,-0.0015086652622916,0.0,0.0,0.0
2024-09-27,P01,split_001,0.053402232274737,0.04806125,0.0053409806344172,0.0,0.0,0.0
2024-09-30,P01,split_001,0.0984373992526072,0.096354365,0.0020830339037913,0.0,0.0,0.0
2024-10-08,P01,split_001,0.0925479424640922,0.07016277,0.022385169331768,1.262652767808793,33148.07680643245,0.0
2024-10-09,P01,split_001,-0.0157837564543446,-0.07450849,0.0587247317239085,0.0,0.0,-0.0157837564543446
2024-10-10,P01,split_001,0.000374579725626,0.0018556118,-0.0014810320755213,0.0,0.0,-0.0154150890038804
2024-10-11,P01,split_001,-0.0050715147541639,-0.033438623,0.0283671081973436,0.0,0.0,-0.0204084259067245
2024-10-14,P01,split_001,0.0034380470596272,0.025546074,-0.022108026853947,0.0,0.0,-0.0170405439757775
2024-10-15,P01,split_001,-0.0179998653316229,-0.02264595,0.0046460849857598,1.0636943497308176,20230.150985913817,-0.0351945211592361
2024-10-16,P01,split_001,0.003650313683867,-0.0020421743,0.0056924880231614,0.0,0.0,-0.0316726785175539
2024-10-17,P01,split_001,-0.0088690410358026,-0.007653713,-0.0012153278094842,0.0,0.0,-0.0402608132678704
2024-10-18,P01,split_001,0.0188177834857415,0.037142277,-0.0183244932781744,0.0,0.0,-0.0222006490491636
2024-10-21,P01,split_001,0.0042640539883743,0.01065135,-0.0063872960329879,0.0,0.0,-0.0180312598269117
2024-10-22,P01,split_001,0.017591203608748,0.006736517,0.0108546866562333,1.4844114631375347,35282.636928839944,-0.0019255618615978
2024-10-23,P01,split_001,0.0061569014060513,0.0034600496,0.0026968517768399,0.0,0.0,0.0
2024-10-24,P01,split_001,-0.0026226977264153,-0.008181632,0.0055589338386786,0.0,0.0,-0.0026226977264154
2024-10-25,P01,split_001,0.016400454006254,0.013057828,0.0033426260567301,0.0,0.0,0.0
2024-10-28,P01,split_001,0.0208149145740514,0.011549234,0.0092656801837926,0.0,0.0,0.0
2024-10-29,P01,split_001,-0.0159210322701678,-0.01216799,-0.0037530420624957,1.5717953163767069,39559.09024689173,-0.0171824063291713
