portfolio_id,outer_split_id,stale_valuation_date_count,stale_valuation_instrument_count,held_stale_valuation_date_count,unknown_tradability_count,maximum_stale_days,affected_instruments
P01,split_001,90,2,0,269400,110,SZ000413;SZ002308
P01,split_002,103,9,0,294376,123,SH600705;SH600777;SH600811;SH600837;SH601028;SZ000627;SZ300114;SZ300280;SZ300630
P02,split_001,90,2,0,269400,110,SZ000413;SZ002308
P02,split_002,103,9,0,294376,123,SH600705;SH600777;SH600811;SH600837;SH601028;SZ000627;SZ300114;SZ300280;SZ300630
P03,split_001,90,2,0,269400,110,SZ000413;SZ002308
P03,split_002,103,9,0,294376,123,SH600705;SH600777;SH600811;SH600837;SH601028;SZ000627;SZ300114;SZ300280;SZ300630
P04,split_001,90,2,0,269400,110,SZ000413;SZ002308
P04,split_002,103,9,55,294376,123,SH600705;SH600777;SH600811;SH600837;SH601028;SZ000627;SZ300114;SZ300280;SZ300630
P05,split_001,90,2,0,269400,110,SZ000413;SZ002308
P05,split_002,103,9,55,294376,123,SH600705;SH600777;SH600811;SH600837;SH601028;SZ000627;SZ300114;SZ300280;SZ300630
P06,split_001,90,2,0,269400,110,SZ000413;SZ002308
P06,split_002,103,9,55,294376,123,SH600705;SH600777;SH600811;SH600837;SH601028;SZ000627;SZ300114;SZ300280;SZ300630
P01,split_003,98,3,0,290160,118,SH601989;SZ000627;SZ300379
