portfolio_id,outer_split_id,month,net_return,benchmark_return,turnover,transaction_cost
P01,split_001,2024-08,-0.0024678207438466604,,6.984115048219363,118331.92052381099
P01,split_001,2024-09,0.24516712744835778,0.24275755882263184,4.387062634003013,77075.70890061295
P01,split_001,2024-10,0.11575341828986319,0.018562912940979004,5.382553897053852,128219.95496807795
P01,split_001,2024-11,0.0361154560106729,0.010796308517456055,5.71761527374122,145478.5204445699
P01,split_001,2024-12,-0.017934701199049607,-0.01965177059173584,6.90724519865545,176990.73512464899
P01,split_001,2025-01,0.014245546662154496,-0.024838745594024658,4.402420883397471,108880.2593472135
P01,split_002,2025-02,0.04270727747103842,0.04488086700439453,4.880378170562631,87474.60145523144
P01,split_002,2025-03,0.011965574280568436,-0.004239320755004883,5.013891435536159,95462.49807034551
P01,split_002,2025-04,0.02414876953056999,-0.03316015005111694,5.944065316239384,112102.81031091293
P01,split_002,2025-05,0.040311993803779256,0.02095627784729004,5.5765137499864075,111052.84172134503
P01,split_002,2025-06,0.018980730534165602,0.03979945182800293,4.718891416658177,95241.38571849436
P01,split_002,2025-07,0.05976466153692628,0.043300628662109375,6.890622893229281,145253.5708595512
P01,split_002,2025-08,0.005385549705696713,0.005962729454040527,0.0,0.0
P02,split_001,2024-08,-0.008979770887518335,,6.039318512256319,101817.06964435741
P02,split_001,2024-09,0.2427390287948077,0.24275755882263184,4.013780631402826,70614.68788333226
P02,split_001,2024-10,0.11375591782123995,0.018562912940979004,5.012073529168641,118801.62365068455
P02,split_001,2024-11,0.034010540990775606,0.010796308517456055,5.216171357814623,131448.93705739186
P02,split_001,2024-12,-0.016750549279290983,-0.01965177059173584,6.01520432379579,153028.92770980296
P02,split_001,2025-01,0.0011097520978766706,-0.024838745594024658,3.8433938451262804,94032.67329126026
P02,split_002,2025-02,0.03328024572868471,0.04488086700439453,4.371552541269929,77375.22634225903
P02,split_002,2025-03,0.0147922303518091,-0.004239320755004883,4.223718641784598,80339.18561819478
P02,split_002,2025-04,0.020087376408312485,-0.03316015005111694,5.773856726543552,108589.60583975584
P02,split_002,2025-05,0.04096409729318351,0.02095627784729004,4.975318986721138,98581.68700756128
P02,split_002,2025-06,0.028636691924751156,0.03979945182800293,4.503326197575164,90927.339097187
P02,split_002,2025-07,0.04826076181805106,0.043300628662109375,6.095460708357087,127988.84284254658
P02,split_002,2025-08,0.007581023172248846,0.005962729454040527,0.0,0.0
P03,split_001,2024-08,-0.01440750336247043,,5.3628509740470305,90265.40326641499
P03,split_001,2024-09,0.23446256318881398,0.24275755882263184,3.2505553687279707,57358.96879575221
P03,split_001,2024-10,0.1111987642985024,0.018562912940979004,4.5267353646149155,105533.43210514987
P03,split_001,2024-11,0.03533677222562259,0.010796308517456055,4.181256459589319,104509.64411637242
P03,split_001,2024-12,-0.012856271216466597,-0.01965177059173584,5.050023759891436,128084.45082854968
P03,split_001,2025-01,-0.0009851504993108051,-0.024838745594024658,3.567379692479657,86552.74419136351
P03,split_002,2025-02,0.02074507778006951,0.04488086700439453,3.756019665098766,65516.34926492679
P03,split_002,2025-03,0.018607303855615598,-0.004239320755004883,3.4552873583126305,65550.5531288872
P03,split_002,2025-04,0.014371381285587459,-0.03316015005111694,5.276530566824617,98294.99312550985
P03,split_002,2025-05,0.03685565746293662,0.02095627784729004,4.295458969153197,84091.1293408615
P03,split_002,2025-06,0.03483572287444736,0.03979945182800293,3.930553421585834,78519.14548536458
P03,split_002,2025-07,0.044796535348744504,0.043300628662109375,5.061687122754261,105332.2145923117
P03,split_002,2025-08,0.00834006072372051,0.005962729454040527,0.0,0.0
P04,split_001,2024-08,-0.02432181614795237,,2.84367920090538,44991.35412474921
P04,split_001,2024-09,0.2413490845390558,0.24275755882263184,0.0,0.0
P04,split_001,2024-10,0.09531461392743257,0.018562912940979004,1.3357127497354087,33972.51610556785
P04,split_001,2024-11,0.07597153365476306,0.010796308517456055,1.174707039708261,23156.843016328912
P04,split_001,2024-12,0.032651032196872265,-0.01965177059173584,3.512125220100523,93493.21384610019
P04,split_001,2025-01,-0.028762851971109615,-0.024838745594024658,0.0,0.0
P04,split_002,2025-02,0.05350999965706715,0.04488086700439453,0.9482871422790596,12318.259451601776
P04,split_002,2025-03,0.007554270402359231,-0.004239320755004883,1.6839619457406654,32223.072800070873
P04,split_002,2025-04,-0.007653804694926047,-0.03316015005111694,1.518888031768469,29180.236630419575
P04,split_002,2025-05,0.02736486415276418,0.02095627784729004,1.4493914468879954,27729.705164612315
P04,split_002,2025-06,0.014666861055245617,0.03979945182800293,1.516613621626011,29760.05028703812
P04,split_002,2025-07,0.03684446800825958,0.043300628662109375,3.2016922979892586,64870.67146278826
P04,split_002,2025-08,0.005353376616594074,0.005962729454040527,0.0,0.0
P05,split_001,2024-08,-0.02037442978138082,,2.6904154926644273,42442.5981727649
P05,split_001,2024-09,0.24365495372040358,0.24275755882263184,0.0,0.0
P05,split_001,2024-10,0.09656857170558597,0.018562912940979004,1.293544331806221,33030.97347358447
P05,split_001,2024-11,0.05115763808916207,0.010796308517456055,1.1602797401766383,23281.302032924945
P05,split_001,2024-12,0.018783949023789104,-0.01965177059173584,3.2215347289139284,83729.75455093489
P05,split_001,2025-01,-0.03218526675466005,-0.024838745594024658,0.0,0.0
P05,split_002,2025-02,0.039462376911913344,0.04488086700439453,0.9435358951346249,12256.540703730661
P05,split_002,2025-03,0.0188979461084664,-0.004239320755004883,1.4337409100225766,27215.18787151983
P05,split_002,2025-04,-0.01740895186761582,-0.03316015005111694,1.3150246733347957,25245.926614542255
P05,split_002,2025-05,0.02733549622538467,0.02095627784729004,1.41225033336844,26706.877753560966
P05,split_002,2025-06,0.026440038835803037,0.03979945182800293,1.3557590469989296,26516.9188890879
P05,split_002,2025-07,0.035665355903776064,0.043300628662109375,2.843226300980307,57715.242407225945
P05,split_002,2025-08,0.007558251279502937,0.005962729454040527,0.0,0.0
