datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error,benchmark_close,benchmark_return,portfolio_id,outer_split_id,implementation_cost,cumulative_cost,net_cumulative,gross_cumulative_approx,benchmark_cumulative,excess_return,drawdown
2024-08-02,9916384.165935382,-0.008076802442593048,9492698.795624206,0.9492698795624206,2847.8096386872608,0.0002847809638687261,9411930.771198273,504453.3947371093,0.0,True,9411930.771198273,0.0,,,P01,split_001,12331.025218730574,12331.025218730574,0.9916384165935382,0.9928715191154113,,,-0.008361583406461759
2024-08-05,9768552.932245925,-0.014907775981217515,9492698.795624206,0.0,2847.8096386872608,0.0,9264099.537508816,504453.3947371093,0.0,True,9264099.537508816,0.0,,,P01,split_001,0.0,12331.025218730574,0.9768552932245925,0.9780883957464656,,,-0.023144706775407475
2024-08-06,9843216.346297981,0.007643242000111679,9492698.795624206,0.0,2847.8096386872608,0.0,9338762.951560872,504453.3947371093,0.0,True,9338762.951560874,-1.862645149230957e-09,,,P01,split_001,0.0,12331.025218730574,0.9843216346297982,0.9855547371516712,,,-0.01567836537020184
2024-08-07,9835770.913642943,-0.0007564024189957512,9492698.795624206,0.0,2847.8096386872608,0.0,9331317.518905833,504453.3947371093,0.0,True,9331317.518905833,0.0,,,P01,split_001,0.0,12331.025218730574,0.9835770913642943,0.9848101938861674,,,-0.016422908635705724
2024-08-08,9851245.832540749,0.0015733305537180494,9492698.795624206,0.0,2847.8096386872608,0.0,9346792.43780364,504453.3947371093,0.0,True,9346792.437803637,1.862645149230957e-09,,,P01,split_001,0.0,12331.025218730574,0.9851245832540748,0.986357685775948,,,-0.014875416745925185
2024-08-09,9750857.9261538,-0.008859378980295983,25645747.45695622,1.639696027884623,15959.795767096482,0.0013309977591968681,8934435.833936475,816422.0922173244,0.0,True,8934435.833936477,-1.862645149230957e-09,,,P01,split_001,29265.37602381383,41596.40124254441,0.97508579261538,0.9792454327396345,,,-0.024914207384620024
2024-08-12,9677461.846285295,-0.007527140732062299,25645747.45695622,0.0,15959.795767096482,0.0,8861039.75406797,816422.0922173244,0.0,True,8861039.754067969,1.862645149230957e-09,,,P01,split_001,0.0,41596.40124254441,0.9677461846285295,0.971905824752784,,,-0.03225381537147054
2024-08-13,9720605.917718574,0.004458201139779287,25645747.45695622,0.0,15959.795767096482,0.0,8904183.82550125,816422.0922173244,0.0,True,8904183.825501248,1.862645149230957e-09,,,P01,split_001,0.0,41596.40124254441,0.9720605917718574,0.976220231896112,,,-0.02793940822814256
2024-08-14,9673388.091109285,-0.004857498288581098,25645747.45695622,0.0,15959.795767096482,0.0,8856965.99889196,816422.0922173244,0.0,True,8856965.998891963,-1.862645149230957e-09,,,P01,split_001,0.0,41596.40124254441,0.9673388091109285,0.971498449235183,,,-0.03266119088907149
2024-08-15,9747411.762777448,0.007652300411289917,25645747.45695622,0.0,15959.795767096482,0.0,8930989.670560123,816422.0922173244,0.0,True,8930989.670560122,1.862645149230957e-09,,,P01,split_001,0.0,41596.40124254441,0.9747411762777448,0.9789008164019992,,,-0.025258823722255186
2024-08-16,9723099.20788076,-0.0012841927195514822,40439151.82415613,1.5176751251744234,27754.795443555293,0.0012100647806323839,9034508.157934988,688591.049945772,0.0,True,9034508.157934988,0.0,,,P01,split_001,26588.30280091828,68184.7040434627,0.972309920788076,0.9791283911924222,,,-0.027690079211924012
2024-08-19,9723658.184859945,5.7489589197221616e-05,40439151.82415613,0.0,27754.795443555293,0.0,9035067.134914173,688591.049945772,0.0,True,9035067.134914173,0.0,,,P01,split_001,0.0,68184.7040434627,0.9723658184859945,0.9791842888903407,,,-0.02763418151400554
