portfolio_id,outer_split_id,commission,stamp_tax,slippage_cost,total_transaction_cost,cost_drag,gross_return_approx,total_return
P01,split_001,127103.60079140268,206296.68951910554,421576.8089984261,754977.0993089343,0.07549770993089343,0.4682439337495897,0.3927462238186963
P01,split_002,109423.29396577623,176018.1498034314,361146.26436667284,646587.7081358804,0.06465877081358803,0.2538291502906661,0.18917037947707804
P02,split_001,113976.86934417082,182253.82433223663,373513.2255604219,669743.9192368293,0.06697439192368293,0.43030272011739434,0.3633283281937114
P02,split_002,99963.03998106849,158248.23454473165,325590.6122217044,583801.8867475045,0.05838018867475045,0.23976396573450684,0.1813837770597564
P03,split_001,99628.97636087949,154568.00892599794,318107.65801672527,572304.6433036027,0.05723046433036027,0.4094912113040563,0.352260746973696
P03,split_002,86958.95711155346,133756.19514193147,276589.23268437665,497304.38493786164,0.04973043849378617,0.21772474069923548,0.1679943022054493
P04,split_001,33375.21453717426,51022.97188498032,111215.74067059156,195613.92709274613,0.01956139270927461,0.4418545389040367,0.4222931461947621
P04,split_002,33565.75569037598,51063.3779479341,111452.86215822083,196081.99579653091,0.019608199579653093,0.15528316781449814,0.13567496823484504
P05,split_001,31255.757750807352,47362.147767139475,103866.72271226236,182484.62823020917,0.01824846282302092,0.3944408632028145,0.3761924003797936
P05,split_002,30505.098214760386,45287.17762128166,99864.41840362552,175656.69423966756,0.017565669423966757,0.15464259319030704,0.1370769237663403
P06,split_001,28346.853954996724,41957.20419712478,92941.86239322597,163245.92054534747,0.016324592054534747,0.36344855702672296,0.3471239649721882
P06,split_002,27991.256290208697,39966.564665356236,89151.32187876207,157109.142834327,0.0157109142834327,0.15747199438267728,0.1417610800992446
